dataset	subset	system	threshold	n	positive	AP	AUROC	ACC	MCC	sensitivity	specificity	TN	FP	FN	TP	Brier	log_loss	ECE
haloclass_newtest1402	all	ESMCHalo	0.5	1402	548	0.7445881073699621	0.8445870869587514	0.6654778887303852	0.44361407059496355	0.9324817518248175	0.49414519906323184	422	432	37	511	0.2635886237568566	0.9174907478776814	0.2622679332418523
haloclass_newtest1402	all	DeepSaltPro	0.5	1402	548	0.7206648539185456	0.8185097181148395	0.6740370898716119	0.40430852676357104	0.8394160583941606	0.5679156908665105	485	369	88	460	0.22552573257949277	0.6704183222907899	0.19824955661664223
haloclass_newtest1402	all	DeepSaltPro_R2_Platt	0.5	1402	548	0.7206648539185456	0.8185097181148395	0.6740370898716119	0.40430852676357104	0.8394160583941606	0.5679156908665105	485	369	88	460	0.257426705149453	0.9063238330614384	0.24561780394746716
haloclass_newtest1402	all	final_v3_calibrated_probability	0.47	1402	548	0.7529574391290499	0.797405724884186	0.615549215406562	0.3174665498064535	0.8375912408759124	0.47306791569086654	404	450	89	459	0.31095209808549085	1.2656365685439699	0.31482261302116504
haloclass_newtest1402	historical_strict40	ESMCHalo	0.5	1367	521	0.7293024883537126	0.8386082411075264	0.6598390636430139	0.4360294108918055	0.9289827255278311	0.4940898345153664	418	428	37	484	0.2684036835864519	0.9351988498583758	0.26656360117647304
haloclass_newtest1402	historical_strict40	DeepSaltPro	0.5	1367	521	0.7073546550234423	0.81253544964902	0.667885881492319	0.3926919930864014	0.8310940499040307	0.5673758865248227	480	366	88	433	0.22985295159490757	0.6822768708271394	0.20342183506236178
haloclass_newtest1402	historical_strict40	DeepSaltPro_R2_Platt	0.5	1367	521	0.7073546550234423	0.81253544964902	0.667885881492319	0.3926919930864014	0.8310940499040307	0.5673758865248227	480	366	88	433	0.2624488511329075	0.9247524015685897	0.25072490733662783
haloclass_newtest1402	historical_strict40	final_v3_calibrated_probability	0.47	1367	521	0.7397296812631913	0.7908130391182624	0.6093635698610095	0.3070381484865215	0.8291746641074856	0.4739952718676123	401	445	89	432	0.31638104336686423	1.2902100427640093	0.32009919809191456
haloclass_newtest1402	historical_strict25	ESMCHalo	0.5	1319	500	0.7188735554558819	0.833157509157509	0.6580742987111448	0.4322029198527935	0.926	0.4945054945054945	405	414	37	463	0.2705979911492807	0.9455708366764295	0.26685844225224764
haloclass_newtest1402	historical_strict25	DeepSaltPro	0.5	1319	500	0.6955720752487793	0.8061391941391942	0.6664139499620925	0.38835806704450415	0.826	0.568986568986569	466	353	87	413	0.23243803121940876	0.6903787161342739	0.20516829938268386
haloclass_newtest1402	historical_strict25	DeepSaltPro_R2_Platt	0.5	1319	500	0.6955720752487793	0.8061391941391942	0.6664139499620925	0.38835806704450415	0.826	0.568986568986569	466	353	87	413	0.2651832299563259	0.9382024710386667	0.25309862672869865
haloclass_newtest1402	historical_strict25	final_v3_calibrated_probability	0.47	1319	500	0.7318596935653913	0.7846898656898657	0.6065200909780136	0.2997276564600143	0.822	0.47496947496947495	389	430	89	411	0.3198309113522829	1.3091149706775804	0.3227831372431239
haloclass_zhang278	all	ESMCHalo	0.5	278	139	0.9781841599049103	0.9722064075358418	0.8561151079136691	0.7373905334966201	0.9856115107913669	0.7266187050359713	101	38	2	137	0.10298539484351164	0.3306248116875009	0.13540064496886955
haloclass_zhang278	all	DeepSaltPro	0.5	278	139	0.9576329610386111	0.9472077014647275	0.8489208633093526	0.7084823116466947	0.935251798561151	0.762589928057554	106	33	9	130	0.1130365899979688	0.3713900769855102	0.14934503893508652
haloclass_zhang278	all	DeepSaltPro_R2_Platt	0.5	278	139	0.9576329610386111	0.9472077014647275	0.8489208633093526	0.7084823116466947	0.935251798561151	0.762589928057554	106	33	9	130	0.10933718134170203	0.3613543284887287	0.10944488445375163
haloclass_zhang278	all	final_v3_calibrated_probability	0.47	278	139	0.9709116772362043	0.9625795766264685	0.8345323741007195	0.6927001981331886	0.9640287769784173	0.7050359712230215	98	41	5	134	0.10830743223569841	0.36867578910678467	0.1332806599013995
haloclass_zhang278	historical_strict40	ESMCHalo	0.5	275	138	0.9781016651342849	0.9720723579815932	0.8618181818181818	0.7466123865818425	0.9855072463768116	0.7372262773722628	101	36	2	136	0.10134550946142357	0.32721961647056397	0.13242808389856817
haloclass_zhang278	historical_strict40	DeepSaltPro	0.5	275	138	0.9576881629751843	0.9472654183856977	0.850909090909091	0.7116723056540156	0.9347826086956522	0.7664233576642335	105	32	9	129	0.11171679911581253	0.36867648249783636	0.14651826193860987
haloclass_zhang278	historical_strict40	DeepSaltPro_R2_Platt	0.5	275	138	0.9576881629751843	0.9472654183856977	0.850909090909091	0.7116723056540156	0.9347826086956522	0.7664233576642335	105	32	9	129	0.10746818363697563	0.35739184694546733	0.10606022615215882
haloclass_zhang278	historical_strict40	final_v3_calibrated_probability	0.47	275	138	0.9711379282903314	0.962710250714059	0.8363636363636363	0.6953684014144033	0.9637681159420289	0.708029197080292	97	40	5	133	0.1066900880190345	0.3648525050137256	0.13098631824264292
haloclass_zhang278	historical_strict25	ESMCHalo	0.5	269	135	0.9775538669940516	0.9714759535655058	0.862453531598513	0.747544785359573	0.9851851851851852	0.7388059701492538	99	35	2	133	0.10052380868931943	0.3259679227327746	0.13085603885764904
