utc	arm	fold	state	selected_epochs	best_inner_ap
2026-09-13T12:20:42.739909+00:00	B0	0	PASS	16	0.9871678432053546
2026-09-13T12:20:44.756498+00:00	B0	1	PASS	3	0.9882115961589616
2026-09-13T12:20:46.662589+00:00	B0	2	PASS	3	0.9897746635293889
2026-09-13T12:20:49.262698+00:00	B0	3	PASS	5	0.9878828431435396
2026-09-13T12:20:54.273208+00:00	B0	4	PASS	16	0.9854587222772976
2026-09-13T12:20:57.526282+00:00	M0	0	PASS	8	0.9862982411863058
2026-09-13T12:21:00.759264+00:00	M0	1	PASS	8	0.9880875651253962
2026-09-13T12:21:02.846085+00:00	M0	2	PASS	3	0.9898099447784551
2026-09-13T12:21:07.172851+00:00	M0	3	PASS	12	0.9863331689226891
2026-09-13T12:21:10.012579+00:00	M0	4	PASS	6	0.9843279503547165
