metric	direction	observed_delta_ESMCHalo_minus_DeepSaltPro	bootstrap_mean	ci_2_5	median	ci_97_5	fraction_gt_zero
ap	higher_is_better	0.0025346718536450874	0.0025280451985640186	0.0006539552752161199	0.0025204300879906327	0.004471901254321037	0.9958
auroc	higher_is_better	0.004181831616029585	0.004156253973433995	0.001307825530317408	0.004120291361669581	0.007077905779287651	0.9976
mcc	higher_is_better	0.02110179339728646	0.020927998940009723	2.777344597267039e-05	0.021013586377421345	0.04194943415582176	0.9756
accuracy	higher_is_better	0.010187667560321745	0.010105035561693251	0.0	0.01016586409844833	0.02027775197848891	0.9718
balanced_accuracy	higher_is_better	0.010245427872044854	0.01017231887600913	-0.0001915754722528305	0.010125162585025216	0.020760508498947363	0.9716
sensitivity	higher_is_better	0.009936766034327027	0.009801280407744209	-0.0027297543221109803	0.009865470852017943	0.021818181818181848	0.9366
specificity	higher_is_better	0.01055408970976257	0.010543357344274052	-0.006289704727688022	0.01054713708149524	0.027815491770161845	0.8666
ppv	higher_is_better	0.007318751014595781	0.007317462163940067	-0.003345558915483826	0.007327929499200636	0.018555578437982397	0.901
f1	higher_is_better	0.008617869324531346	0.008553203335722025	0.00010295509902647511	0.00851615613379103	0.017078311386316117	0.9754
brier	lower_is_better	-0.014578522536953416	-0.014559327556221677	-0.018872756808961683	-0.01462022478642155	-0.010083806601531983	0.0
ece_10_bins	lower_is_better	-0.06611632963677413	-0.0631154153501433	-0.07394492791788262	-0.06321856504810669	-0.05129314266053308	0.0
log_loss	lower_is_better	-0.07126694244331128	-0.07121813778391839	-0.08408536304158024	-0.07137389648032895	-0.05728654555205765	0.0
