n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	model	fold	fit_records	validation_records	shared_homology_groups
2114	0.9030274361400189	0.7995247235121978	0.9660657987463375	0.9752355159132994	0.9138755980861244	0.8872093023255814	0.9219629927594529	0.07947257902639712	763	97	108	1146	lr	0	8453	2114	0
2114	0.9006622516556292	0.793777893781975	0.9698518230035978	0.9797042338568528	0.9210526315789473	0.8709302325581395	0.9123222748815166	0.07828213319721625	749	111	99	1155	lr	1	8453	2114	0
2113	0.9119734973970658	0.8177118726541556	0.9707877748132634	0.9802381385437275	0.9242424242424242	0.8940628637951106	0.9272	0.07276726519475173	768	91	95	1159	lr	2	8454	2113	0
2113	0.9096071935636536	0.8130080986081052	0.9721858620516791	0.9817416021317471	0.9202551834130781	0.8940628637951106	0.9269076305220884	0.07229928365067985	768	91	100	1154	lr	3	8454	2113	0
2113	0.9195456696639849	0.8332103536949532	0.9727064347890644	0.97901643265747	0.9337589784517158	0.8988372093023256	0.9307875894988067	0.06496822190614504	773	87	83	1170	lr	4	8454	2113	0
2114	0.8916745506149479	0.7762494077534209	0.9563322947961872	0.9688050970361712	0.9027113237639554	0.8755813953488372	0.9136400322841001	0.08587270922366808	753	107	122	1132	linear_svm	0	8453	2114	0
2114	0.8874172185430463	0.7662723493362372	0.9603714624828457	0.9730666484537669	0.9098883572567783	0.8546511627906976	0.9012638230647709	0.08750097403628225	735	125	113	1141	linear_svm	1	8453	2114	0
2113	0.8868906767628963	0.7661059161513444	0.9581808527032472	0.9714053963174661	0.9003189792663477	0.8672875436554133	0.9082864038616251	0.08522634225119098	745	114	125	1129	linear_svm	2	8454	2113	0
2113	0.8906767628963559	0.7731631788572924	0.9617735470011679	0.9749498483189964	0.9106858054226475	0.8614668218859138	0.9056304520222046	0.0817147128765046	740	119	112	1142	linear_svm	3	8454	2113	0
2113	0.9015617605300521	0.7962237248305557	0.9633066686464115	0.9718593401211025	0.9154030327214685	0.8813953488372093	0.9183346677341874	0.07596235567797316	758	102	106	1147	linear_svm	4	8454	2113	0
2114	0.9262062440870388	0.8473504563151522	0.9800313415674492	0.9857030750500254	0.9346092503987241	0.913953488372093	0.9406099518459069	0.0725864391943762	786	74	82	1172	rbf_svm	0	8453	2114	0
2114	0.9323557237464523	0.8597697918724773	0.9827426653314046	0.9883803431226511	0.9441786283891547	0.9151162790697674	0.9419252187748608	0.06983348797251213	787	73	70	1184	rbf_svm	1	8453	2114	0
2113	0.9394226218646474	0.8750839015859226	0.9847027347180524	0.9901529194274661	0.9409888357256778	0.9371362048894063	0.9562398703403565	0.06808259650599822	805	54	74	1180	rbf_svm	2	8454	2113	0
2113	0.9417889256980596	0.8799325974515956	0.9865046519356916	0.9910522059514437	0.9433811802232854	0.9394644935972061	0.9578947368421052	0.06648887487494322	807	52	71	1183	rbf_svm	3	8454	2113	0
2113	0.9408424041646948	0.877225672559118	0.9844067261827428	0.9888633690366035	0.9553072625698324	0.9197674418604651	0.9454976303317536	0.06681483414433478	791	69	56	1197	rbf_svm	4	8454	2113	0
2114	0.9200567644276254	0.834590942094719	0.9771512555172286	0.9836189106027016	0.9298245614035088	0.9058139534883721	0.9350441058540497	0.05790593727980057	779	81	88	1166	catboost	0	8453	2114	0
2114	0.9224219489120151	0.8392604131894218	0.9791736211564852	0.985874585439974	0.9346092503987241	0.9046511627906977	0.9346092503987241	0.0555245312534544	778	82	82	1172	catboost	1	8453	2114	0
2113	0.9275911026975864	0.8504412796541339	0.9812465071027658	0.9877761832614171	0.9330143540669856	0.919674039580908	0.9443099273607748	0.053719412514958965	790	69	84	1170	catboost	2	8454	2113	0
2113	0.9323237103644108	0.8608325399022266	0.9827578524043201	0.9885901295785954	0.9314194577352473	0.9336437718277066	0.953469387755102	0.05079442634380256	802	57	86	1168	catboost	3	8454	2113	0
2113	0.9233317557974444	0.8409195048408108	0.9806798567159747	0.9869582072535488	0.9393455706304868	0.9	0.931908155186065	0.05353371569447509	774	86	76	1177	catboost	4	8454	2113	0
2114	0.9214758751182592	0.8371876483497153	0.9790938763398984	0.9835416608278512	0.9354066985645934	0.9011627906976745	0.9324324324324325	0.06865518363784151	775	85	81	1173	mlp_2layer	0	8453	2114	0
2114	0.9280983916745507	0.850919459631462	0.9784568450725122	0.9860383844924251	0.9409888357256778	0.9093023255813953	0.9379968203497615	0.06297157952767184	782	78	74	1180	mlp_2layer	1	8453	2114	0
2113	0.9323237103644108	0.8597722587837032	0.9816438386685308	0.9876965386098167	0.9425837320574163	0.9173457508731082	0.9433359936153233	0.06056415724626801	788	71	72	1182	mlp_2layer	2	8454	2113	0
2113	0.9275911026975864	0.8525128515022236	0.9835404470537121	0.9890146070649165	0.9178628389154705	0.9417927823050058	0.958368026644463	0.06183470092941287	809	50	103	1151	mlp_2layer	3	8454	2113	0
2113	0.9332702318977757	0.8614237365826136	0.9806594405983778	0.9862102749565504	0.960095770151636	0.8941860465116279	0.9296754250386399	0.06000687255129071	769	91	50	1203	mlp_2layer	4	8454	2113	0
