n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	fold	shared_groups
2114	0.9262062440870388	0.8473504563151522	0.9800313415674492	0.9857030750500254	0.9346092503987241	0.913953488372093	0.9406099518459069	0.0725864391943762	786	74	82	1172	canonical_b1	rbf_svm	0	0
2114	0.9323557237464523	0.8597697918724773	0.9827426653314046	0.9883803431226511	0.9441786283891547	0.9151162790697674	0.9419252187748608	0.06983348797251213	787	73	70	1184	canonical_b1	rbf_svm	1	0
2113	0.9394226218646474	0.8750839015859226	0.9847027347180524	0.9901529194274661	0.9409888357256778	0.9371362048894063	0.9562398703403565	0.06808259650599821	805	54	74	1180	canonical_b1	rbf_svm	2	0
2113	0.9417889256980596	0.8799325974515956	0.9865046519356916	0.9910522059514437	0.9433811802232854	0.9394644935972061	0.9578947368421052	0.06648887487494322	807	52	71	1183	canonical_b1	rbf_svm	3	0
2113	0.9408424041646948	0.877225672559118	0.9844067261827428	0.9888633690366035	0.9553072625698324	0.9197674418604651	0.9454976303317536	0.06681483414433478	791	69	56	1197	canonical_b1	rbf_svm	4	0
2114	0.9200567644276254	0.834590942094719	0.9771512555172286	0.9836189106027016	0.9298245614035088	0.9058139534883721	0.9350441058540497	0.05790593727980057	779	81	88	1166	canonical_b1	catboost	0	0
2114	0.9224219489120151	0.8392604131894218	0.9791736211564852	0.985874585439974	0.9346092503987241	0.9046511627906977	0.9346092503987241	0.055524531253454405	778	82	82	1172	canonical_b1	catboost	1	0
2113	0.9275911026975864	0.8504412796541339	0.9812465071027658	0.9877761832614171	0.9330143540669856	0.919674039580908	0.9443099273607748	0.053719412514958965	790	69	84	1170	canonical_b1	catboost	2	0
2113	0.9323237103644108	0.8608325399022266	0.9827578524043201	0.9885901295785954	0.9314194577352473	0.9336437718277066	0.953469387755102	0.05079442634380256	802	57	86	1168	canonical_b1	catboost	3	0
2113	0.9233317557974444	0.8409195048408108	0.9806798567159747	0.9869582072535488	0.9393455706304868	0.9	0.931908155186065	0.05353371569447509	774	86	76	1177	canonical_b1	catboost	4	0
