n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	dimension
10567	0.9361218888994038	0.8678046716908036	0.9836381625080787	0.9887684165980752	0.9436911788163982	0.9250814332247557	0.9483808913113178	0.06876171000337945	3976	322	353	5916	canonical_b1	rbf_svm	1152
10567	0.9251443172139681	0.8451517284706126	0.9801238205144401	0.9864650615271313	0.933641729143404	0.9127501163331783	0.9397880539499036	0.05429606257691776	3923	375	416	5853	canonical_b1	catboost	1152
10567	0.8105422541875651	0.6064251606355767	0.9020123542903282	0.9365267373220904	0.8462274684957729	0.7584923220102373	0.8363550370487152	0.13605576782921894	3260	1038	964	5305	layer24_mean	rbf_svm	1152
10567	0.7960632156714299	0.5767503719409142	0.8862462302594529	0.9266178635035806	0.8317115967458925	0.7440670079106562	0.8257839721254355	0.13529075792178263	3198	1100	1055	5214	layer24_mean	catboost	1152
10567	0.8252105611810353	0.637032800353445	0.9161947586271193	0.945218404929062	0.8577125538363375	0.7778036295951606	0.8491787744788376	0.1293062949867451	3343	955	892	5377	layer30_mean	rbf_svm	1152
10567	0.8111100596195704	0.6073079115604957	0.8986760842664172	0.9344147931872303	0.8486201946083904	0.7563983248022336	0.8355583477304853	0.12771461918011323	3251	1047	949	5320	layer30_mean	catboost	1152
10567	0.9362165231380714	0.86799470598782	0.9836461048593754	0.9887688229540139	0.9438506938905726	0.9250814332247557	0.9483891649302773	0.06872828652203145	3976	322	352	5917	layer36_mean	rbf_svm	1152
10567	0.9230623639632819	0.8410086366071505	0.980201685248181	0.9865155312058815	0.9301323975115648	0.9127501163331783	0.9395746052207541	0.05411093082803127	3923	375	438	5831	layer36_mean	catboost	1152
10567	0.8207627519636604	0.6277342540709205	0.91294578023989	0.943312819072047	0.8543627372786728	0.7717543043275942	0.8451948871705854	0.1304006777304739	3317	981	913	5356	layers24_30_36_fixed_mean	rbf_svm	1152
10567	0.8093120090848869	0.6038560043277961	0.8971363815285849	0.9332496373632577	0.8452703780507258	0.7568636575151233	0.8352774274905422	0.12862113335950365	3253	1045	970	5299	layers24_30_36_fixed_mean	catboost	1152
10567	0.9252389514526356	0.8454116044379468	0.9791243090061588	0.9860222791651041	0.933003668846706	0.9139134481154025	0.9405049043254543	0.07672999285480943	3928	370	420	5849	layers24_30_36_concat	rbf_svm	3456
10567	0.924103340588625	0.8432000082529328	0.9799657528781187	0.9861636711912743	0.9306109427340884	0.9146114471847371	0.940815997419771	0.054368427647223265	3931	367	435	5834	layers24_30_36_concat	catboost	3456
