n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	dimension
10567	0.9361218888994038	0.8678046716908036	0.9836381625080787	0.9887684165980752	0.9436911788163982	0.9250814332247557	0.9483808913113178	0.06876171000337945	3976	322	353	5916	canonical_mean	rbf_svm	1152
10567	0.9251443172139681	0.8451517284706126	0.9801238205144401	0.9864650615271313	0.933641729143404	0.9127501163331783	0.9397880539499036	0.05429606257691776	3923	375	416	5853	canonical_mean	catboost	1152
10567	0.9360272546607362	0.8676146840461175	0.9836379769391231	0.988771691196	0.9435316637422236	0.9250814332247557	0.9483726150392817	0.06875666330772054	3976	322	354	5915	streamed_layer36_mean	rbf_svm	1152
10567	0.9238194378726223	0.8425126870410173	0.9799238142941689	0.9859949877850869	0.931408518104961	0.9127501163331783	0.9396523978113936	0.05457547456333665	3923	375	430	5839	streamed_layer36_mean	catboost	1152
10567	0.9068799091511309	0.8074548423573177	0.9711454006251892	0.980639209721564	0.917371191577604	0.8915774778966962	0.9250442335531607	0.08786728400555831	3832	466	518	5751	layer36_max	rbf_svm	1152
10567	0.8963755086590328	0.7859125988042357	0.9644752358599982	0.9762706203962563	0.907002711756261	0.8808748255002327	0.9173927073249435	0.07412628563440667	3786	512	583	5686	layer36_max	catboost	1152
10567	0.9320526166366991	0.8595186522821037	0.9826162713837603	0.987973074503645	0.9385866964428139	0.9225221033038623	0.9464371883545118	0.07533379216751795	3965	333	385	5884	layer36_mean_max	rbf_svm	2304
10567	0.9251443172139681	0.8451799144580918	0.9795078058096591	0.9859907317733692	0.933322698995055	0.9132154490460679	0.9400706940874036	0.05496560828529467	3925	373	418	5851	layer36_mean_max	catboost	2304
10567	0.9319579823980316	0.8594001850708594	0.9832931155921644	0.9884460989716768	0.9376296059977668	0.9236854350860866	0.9471479213664196	0.06972235423498208	3970	328	391	5878	layer36_mean_std	rbf_svm	2304
10567	0.9229677297246144	0.840743744822775	0.9795579836552347	0.9859854167880261	0.9307704578082628	0.9115867845509539	0.9388576025744167	0.05477149125253989	3918	380	434	5835	layer36_mean_std	catboost	2304
10567	0.9300652976246806	0.8554013863722885	0.9822211579636434	0.9877010394491317	0.9369915457010688	0.9199627733829688	0.9446767449340624	0.07494088475485913	3954	344	395	5874	layer36_mean_max_std	rbf_svm	3456
10567	0.9246711460206303	0.844281539703676	0.979383326154289	0.9859802889283884	0.9320465784016589	0.9139134481154025	0.940447448897473	0.054982319055251756	3928	370	426	5843	layer36_mean_max_std	catboost	3456
