candidate	fold	n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	shared_strict40_groups
K0	0	2114	0.9238410596026491	0.8421178922674649	0.9796409628722971	0.984180023228546	0.9370015948963317	0.9046511627906977	0.9347653142402546	0.056573236888921935	778	82	79	1175	0
K0	1	2114	0.9210028382213813	0.8359986217937158	0.9804940469567153	0.9869320580425667	0.9385964912280702	0.8953488372093024	0.9289660615627466	0.058067103972089903	770	90	77	1177	0
K0	2	2113	0.9332702318977757	0.8613199899885262	0.9837391128365945	0.9893842985127502	0.956140350877193	0.89988358556461	0.9330739299610895	0.04966145094089988	773	86	55	1199	0
K0	3	2113	0.9275911026975864	0.8507830115457461	0.9833714883037842	0.9891728403033708	0.9298245614035088	0.9243306169965075	0.9471974004874086	0.049883171168612295	794	65	88	1166	0
K0	4	2113	0.9318504495977283	0.858415875678636	0.9811809796024424	0.9863620140642787	0.9545091779728652	0.8988372093023256	0.9321901792673422	0.05536565512641922	773	87	57	1196	0
K1	0	2114	0.9285714285714286	0.8518769153338077	0.9810429880197322	0.9847382271512497	0.9417862838915471	0.9093023255813953	0.938046068308181	0.05240041533123174	782	78	73	1181	0
K1	1	2114	0.934720908230842	0.8643814498258073	0.9826165572493603	0.9883126055065221	0.9553429027113237	0.9046511627906977	0.9359375	0.05021142444366614	778	82	56	1198	0
K1	2	2113	0.9351632749645055	0.8654786869119728	0.984800210919934	0.9899242214189784	0.9481658692185008	0.9161816065192084	0.9429024583663759	0.04708083064592887	787	72	65	1189	0
K1	3	2113	0.9375295787979177	0.8701984235428387	0.9839442770329357	0.9891720803637396	0.9585326953748007	0.9068684516880093	0.9375975039001561	0.0495786458101534	779	80	52	1202	0
K1	4	2113	0.9356365357311879	0.8663570635543697	0.9838805471519516	0.9879139663117962	0.9616919393455706	0.8976744186046511	0.9319412219644239	0.04810790245146688	772	88	48	1205	0
K2	0	2114	0.9337748344370861	0.8624470630672901	0.9825590668001929	0.9871318329292121	0.9521531100478469	0.9069767441860465	0.9372056514913658	0.05278330681833968	780	80	60	1194	0
K2	1	2114	0.9370860927152318	0.8693419107569783	0.9847084677868032	0.9896339131902208	0.9545454545454546	0.9116279069767442	0.9402985074626866	0.05025586179676373	784	76	57	1197	0
K2	2	2113	0.9365830572645528	0.868343911727404	0.9847148032001902	0.9899016045739523	0.9513556618819776	0.9150174621653085	0.9423380726698263	0.05019987867341064	786	73	61	1193	0
K2	3	2113	0.942262186464742	0.8806662758310536	0.987142424799431	0.9912590220655114	0.9465709728867624	0.9359720605355064	0.9557165861513688	0.04618216749978331	804	55	67	1187	0
K2	4	2113	0.9375295787979177	0.8706832465266201	0.9846507915885594	0.9889914585887394	0.945730247406225	0.9255813953488372	0.9487590072057646	0.04849090442941938	796	64	68	1185	0
K3	0	2114	0.9318826868495743	0.8586827201690529	0.982522903453136	0.986796405044326	0.9457735247208932	0.9116279069767442	0.9397781299524565	0.05250699551504786	784	76	68	1186	0
K3	1	2114	0.9333017975402081	0.861778324994374	0.9836690033752457	0.9889276120526034	0.9441786283891547	0.9174418604651163	0.9434262948207172	0.05160668904447852	789	71	70	1184	0
K3	2	2113	0.9384761003312825	0.8732103975339709	0.9846238254117673	0.9897732718579045	0.9393939393939394	0.9371362048894063	0.9561688311688312	0.04865756015811849	805	54	76	1178	0
K3	3	2113	0.9384761003312825	0.8728365913231637	0.9859411466543382	0.9908029415160573	0.9433811802232854	0.9313154831199069	0.9524959742351047	0.04853757519170094	800	59	71	1183	0
K3	4	2113	0.9365830572645528	0.8682863828979437	0.984854952764528	0.9870532167436399	0.9561053471667997	0.9081395348837209	0.9381362568519969	0.04848493735805678	781	79	55	1198	0
K4	0	2114	0.9318826868495743	0.8584638677662357	0.9819591261451726	0.9870736313894364	0.9537480063795853	0.9	0.9329173166926678	0.05307210635672234	774	86	58	1196	0
K4	1	2114	0.9333017975402081	0.8618825741346856	0.9836411854159713	0.9886594061055647	0.9425837320574163	0.9197674418604651	0.9448441247002398	0.05030030249622991	791	69	72	1182	0
K4	2	2113	0.9356365357311879	0.8664085213533413	0.9851195615241937	0.9900964197232958	0.9497607655502392	0.9150174621653085	0.942246835443038	0.04900806673736272	786	73	63	1191	0
K4	3	2113	0.9408424041646948	0.8782215031709449	0.9870430919079899	0.9911443628213561	0.9401913875598086	0.9417927823050058	0.9593165174938975	0.04600157834241051	809	50	75	1179	0
K4	4	2113	0.942262186464742	0.8801192346944923	0.9862330407023145	0.990455104971183	0.9592976855546688	0.9174418604651163	0.9442262372348782	0.046720242678408797	789	71	51	1202	0
K5	0	2114	0.934247871333964	0.8634396819138573	0.9827333926783132	0.9874661086526331	0.9521531100478469	0.9081395348837209	0.9379418695993715	0.05342693396520807	781	79	60	1194	0
K5	1	2114	0.9304635761589404	0.855536752386987	0.9824811765142243	0.9878677637823541	0.9577352472089314	0.8906976744186047	0.9274131274131274	0.05432487693275631	766	94	53	1201	0
K5	2	2113	0.9384761003312825	0.8727100187082758	0.985651503083033	0.9905610669377263	0.9449760765550239	0.9289871944121071	0.9510433386837881	0.046910146102809185	798	61	69	1185	0
K5	3	2113	0.9413156649313772	0.878844584742252	0.9872315458982943	0.9913318209095138	0.9441786283891547	0.9371362048894063	0.9563812600969306	0.04685353598126384	805	54	70	1184	0
K5	4	2113	0.9384761003312825	0.872642707623885	0.9855509567735111	0.9898530239773695	0.9465283320031923	0.9267441860465117	0.9495596477181746	0.04738991797290817	797	63	67	1186	0
