utc	arm	fold	state	selected_epochs	best_inner_ap
2026-09-03T08:25:43.461455+00:00	H0	0	PASS	16	0.9898626058579106
2026-09-03T08:25:46.672791+00:00	H0	1	PASS	8	0.9907103082918552
2026-09-03T08:25:50.480994+00:00	H0	2	PASS	11	0.9912479346887558
2026-09-03T08:25:56.392492+00:00	H0	3	PASS	20	0.98974513685486
2026-09-03T08:26:01.722827+00:00	H0	4	PASS	17	0.9871735081059687
2026-09-03T08:26:06.784479+00:00	H1	0	PASS	16	0.9896946608009325
2026-09-03T08:26:09.937978+00:00	H1	1	PASS	8	0.9903464778270477
2026-09-03T08:26:13.865172+00:00	H1	2	PASS	11	0.9909847644757453
2026-09-03T08:26:17.704310+00:00	H1	3	PASS	11	0.989530921645737
2026-09-03T08:26:26.565021+00:00	H1	4	PASS	32	0.9871089934466861
2026-09-03T08:26:31.631003+00:00	H2	0	PASS	16	0.9898291632421107
2026-09-03T08:26:34.867424+00:00	H2	1	PASS	8	0.9905346689204391
2026-09-03T08:26:38.706397+00:00	H2	2	PASS	11	0.9912619840799881
2026-09-03T08:26:44.681642+00:00	H2	3	PASS	20	0.9894861210481212
2026-09-03T08:26:50.052671+00:00	H2	4	PASS	17	0.9868323078771458
2026-09-03T08:26:55.115500+00:00	H3	0	PASS	16	0.9896790380531826
2026-09-03T08:26:58.270542+00:00	H3	1	PASS	8	0.9904013103610609
2026-09-03T08:27:02.195746+00:00	H3	2	PASS	11	0.9909602207891113
2026-09-03T08:27:06.039516+00:00	H3	3	PASS	11	0.9894470348296129
2026-09-03T08:27:11.413196+00:00	H3	4	PASS	17	0.9868269070409557
