arm	fold	n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	shared_strict40_groups
H0	0	2114	0.9337748344370861	0.8624470630672901	0.9825590668001929	0.9871318329292121	0.9521531100478469	0.9069767441860465	0.9372056514913658	0.05278330681833968	780	80	60	1194	0
H0	1	2114	0.9370860927152318	0.8693419107569783	0.9847084677868032	0.9896339131902208	0.9545454545454546	0.9116279069767442	0.9402985074626866	0.05025586179676373	784	76	57	1197	0
H0	2	2113	0.9365830572645528	0.868343911727404	0.9847148032001902	0.9899016045739523	0.9513556618819776	0.9150174621653085	0.9423380726698263	0.05019987867341064	786	73	61	1193	0
H0	3	2113	0.942262186464742	0.8806662758310536	0.987142424799431	0.9912590220655114	0.9465709728867624	0.9359720605355064	0.9557165861513688	0.04618216749978331	804	55	67	1187	0
H0	4	2113	0.9375295787979177	0.8706832465266201	0.9846507915885594	0.9889914585887394	0.945730247406225	0.9255813953488372	0.9487590072057646	0.04849090442941938	796	64	68	1185	0
H1	0	2114	0.9333017975402081	0.8614548831226173	0.9824561403508771	0.9871331131422262	0.9521531100478469	0.9058139534883721	0.9364705882352942	0.05285873597427888	779	81	60	1194	0
H1	1	2114	0.934720908230842	0.8644003595534909	0.984768740031898	0.9896691653099214	0.9537480063795853	0.9069767441860465	0.9373040752351097	0.050209613666604966	780	80	58	1196	0
H1	2	2113	0.9356365357311879	0.8663778570627876	0.9844697201783165	0.9897023462940938	0.9505582137161085	0.9138533178114087	0.9415481832543444	0.05071178231635715	785	74	62	1192	0
H1	3	2113	0.9398958826313298	0.8763567789094096	0.9867404515097671	0.990960216778485	0.9385964912280702	0.9417927823050058	0.9592502037489813	0.048231050803500035	809	50	77	1177	0
H1	4	2113	0.9309039280643635	0.8564890542603445	0.9842183410976447	0.9880735509096017	0.9584996009577015	0.8906976744186047	0.9274131274131274	0.050609163659727605	766	94	52	1201	0
H2	0	2114	0.934247871333964	0.8634098595078623	0.9824895219020067	0.9870141461334909	0.9537480063795853	0.9058139534883721	0.9365700861393892	0.053315696250332285	779	81	58	1196	0
H2	1	2114	0.934720908230842	0.8646100942071612	0.9845545417454841	0.9895940769561788	0.9473684210526315	0.9162790697674419	0.9428571428571428	0.050586178943496735	788	72	66	1188	0
H2	2	2113	0.9356365357311879	0.8666622698745925	0.984720373268869	0.9898815920699933	0.9449760765550239	0.9220023282887078	0.9464856230031949	0.05031715222924062	792	67	69	1185	0
H2	3	2113	0.9384761003312825	0.8731291024899774	0.9871247862486144	0.991230478390926	0.9401913875598086	0.9359720605355064	0.9554294975688817	0.04677399427758355	804	55	75	1179	0
H2	4	2113	0.9361097964978703	0.8679561595424997	0.9845960392731862	0.9888712984778677	0.9417398244213887	0.9279069767441861	0.9500805152979066	0.04867064900065497	798	62	73	1180	0
H3	0	2114	0.9333017975402081	0.8614722722994836	0.9824848855754609	0.9871157944520731	0.9513556618819776	0.9069767441860465	0.9371563236449332	0.053014431815406354	780	80	61	1193	0
H3	1	2114	0.9337748344370861	0.8624470630672901	0.9847195949705131	0.9896400711014426	0.9521531100478469	0.9069767441860465	0.9372056514913658	0.050370162640364126	780	80	60	1194	0
H3	2	2113	0.9361097964978703	0.8675686412387219	0.9845179941068674	0.9897394611484269	0.9465709728867624	0.9208381839348079	0.9458167330677291	0.05060679342019382	791	68	67	1187	0
H3	3	2113	0.9394226218646474	0.8753356644246651	0.9866104832405918	0.990836984155995	0.9385964912280702	0.940628637951106	0.9584690553745928	0.048138147069636886	808	51	77	1177	0
H3	4	2113	0.9361097964978703	0.8675722266719705	0.9844447744019006	0.9887660247365941	0.9473264166001596	0.9197674418604651	0.9450636942675159	0.048946357262566215	791	69	66	1187	0
