replicate	esmchalo_ap	deepsaltpro_ap	delta_ap	esmchalo_auroc	deepsaltpro_auroc	delta_auroc	esmchalo_mcc	deepsaltpro_mcc	delta_mcc	esmchalo_accuracy	deepsaltpro_accuracy	delta_accuracy	esmchalo_balanced_accuracy	deepsaltpro_balanced_accuracy	delta_balanced_accuracy	esmchalo_sensitivity	deepsaltpro_sensitivity	delta_sensitivity	esmchalo_specificity	deepsaltpro_specificity	delta_specificity	esmchalo_ppv	deepsaltpro_ppv	delta_ppv	esmchalo_f1	deepsaltpro_f1	delta_f1	esmchalo_brier	deepsaltpro_brier	delta_brier	esmchalo_ece_10_bins	deepsaltpro_ece_10_bins	delta_ece_10_bins	esmchalo_log_loss	deepsaltpro_log_loss	delta_log_loss
1	0.9907068354603976	0.9897688196721588	0.0009380157882388218	0.9853969371419754	0.9840142631203348	0.0013826740216406064	0.8656142110440334	0.8676164621850456	-0.002002251141012268	0.9354144241119483	0.9364908503767492	-0.0010764262648008671	0.9328071055220166	0.9328239821011823	-1.687657916571439e-05	0.9460431654676259	0.9514388489208633	-0.0053956834532373765	0.9195710455764075	0.9142091152815014	0.005361930294906059	0.9460431654676259	0.9429590017825312	0.0030841636850946763	0.9460431654676259	0.9471799462846912	-0.0011367808170652527	0.04740733892004746	0.05554817405498021	-0.008140835134932745	0.019673309543819715	0.08140359455920088	-0.061730285015381164	0.15625647909792292	0.21123752379799363	-0.0549810447000707
2	0.990990312817025	0.9878817034059659	0.00310860941105906	0.9864741131351871	0.9813458772770852	0.005128235858101848	0.8668732009674033	0.8545390796701551	0.012334121297248202	0.9361930294906167	0.9302949061662198	0.005898123324396876	0.9329428331735379	0.926683844678811	0.006258988494726836	0.9491071428571428	0.9446428571428571	0.004464285714285698	0.9167785234899329	0.9087248322147651	0.008053691275167862	0.9448888888888889	0.9396092362344582	0.005279652654430644	0.9469933184855234	0.9421193232413179	0.004873995244205509	0.04540893828052234	0.05912052219163897	-0.013711583911116633	0.021231911562537512	0.07909711181413356	-0.057865200251596055	0.15072939073104535	0.22138877651018624	-0.07065938577914088
3	0.9926567740282857	0.9908893779864022	0.0017673960418834733	0.98804306608234	0.9852758350893531	0.0027672309929869243	0.8851921284176699	0.8692186222583864	0.0159735061592835	0.9456	0.9381333333333334	0.0074666666666666215	0.9423681545233307	0.9334682548444542	0.0088998996788765	0.9565595134665508	0.9539530842745438	0.0026064291920069316	0.9281767955801105	0.9129834254143646	0.015193370165745845	0.9549002601908065	0.9457364341085271	0.009163826082279392	0.9557291666666666	0.9498269896193772	0.005902177047289459	0.04037368233544677	0.05509732653403079	-0.014723644198584018	0.016223707256212996	0.08743632886439559	-0.07121262160818259	0.138388614501665	0.21121681754279567	-0.07282820304113066
4	0.9930353509820526	0.9901214651246111	0.002913885857441567	0.9896155207546087	0.9853643895112455	0.004251131243363182	0.8999262607586357	0.8676558035207529	0.0322704572378828	0.9515868746637978	0.9359870898332436	0.015599784830554131	0.9497828395404234	0.9335663583051917	0.016216481235231672	0.9598540145985401	0.9470802919708029	0.012773722627737238	0.9397116644823067	0.9200524246395806	0.019659239842726106	0.9581056466302368	0.9444949954504095	0.013610651179827293	0.95897903372835	0.9457858769931663	0.013193156735183731	0.03864549672349729	0.05435865875791535	-0.01571316203441806	0.0180757536063536	0.08311370842077638	-0.06503795481442279	0.1318545638076327	0.20759519541063573	-0.07574063160300304
5	0.9906197683693133	0.98706041817669	0.003559350192623323	0.9867301990880604	0.9805661625354175	0.00616403655264286	0.8866688178019514	0.831513702220412	0.055155115581539405	0.9450373532550693	0.9183564567769477	0.026680896478121663	0.9425686769369335	0.9145373219747435	0.028031354962190003	0.9571167883211679	0.9370437956204379	0.02007299270072993	0.9280205655526992	0.8920308483290489	0.0359897172236503	0.9493212669683257	0.9243924392439244	0.024928827724401303	0.9532030895047705	0.9306751246035342	0.02252796490123632	0.043820260495995	0.06009841218378819	-0.016278151687793188	0.019290988646648397	0.07568814651036722	-0.05639715786371882	0.14981223364228294	0.2218505878507471	-0.07203835420846416
6	0.9927464700609245	0.9906347268021787	0.0021117432587458573	0.988998537577134	0.9857312708811395	0.0032672666959944197	0.8831278545355735	0.8642113291296192	0.018916525405954343	0.9438202247191011	0.9347244515783841	0.009095773140716967	0.9404942513702783	0.9311567408182434	0.009337510552034911	0.9578096947935368	0.9497307001795332	0.008078994614003632	0.9231788079470199	0.9125827814569536	0.010596026490066301	0.9484444444444444	0.9412811387900356	0.007163305654408814	0.9531040643144261	0.9454870420017873	0.0076170223126387215	0.04161745882663917	0.055218516930667705	-0.013601058104028535	0.024864695113602203	0.08204849835833031	-0.057183803244728104	0.13656215136211336	0.20952706653379827	-0.07296491517168491
7	0.9926949487126817	0.9895734077413143	0.003121540971367409	0.9896802456058458	0.9842151564660048	0.005465089139841006	0.8903692471895865	0.8655415493070432	0.024827697882543354	0.9467168998923574	0.9348762109795479	0.011840688912809538	0.9464496669599095	0.9330263260262004	0.013423340933709116	0.947945205479452	0.94337899543379	0.004566210045662045	0.944954128440367	0.9226736566186108	0.022280471821756187	0.9611111111111111	0.9459706959706959	0.015140415140415198	0.9544827586206897	0.9446730681298583	0.009809690490831358	0.03878122240001752	0.05638524103436744	-0.01760401863434992	0.015045290932175378	0.08357817781708163	-0.06853288688490625	0.13185310115877438	0.21413170961349984	-0.08227860845472545
8	0.9907888596474599	0.9881916660416106	0.002597193605849313	0.9860412055333563	0.9814146535077786	0.004626552025577713	0.8960114289120279	0.862072064582049	0.033939364329978905	0.9503507825148408	0.9341608202914193	0.016189962223421506	0.9467045556927287	0.9297841591728699	0.01692039651985877	0.9642537980339589	0.9508489722966935	0.013404825737265424	0.9291553133514986	0.9087193460490464	0.02043596730245223	0.9540229885057471	0.9407603890362511	0.013262599469495928	0.9591111111111111	0.9457777777777778	0.013333333333333308	0.041451793090787975	0.05786904871089908	-0.016417255620111107	0.012711667449210488	0.07913341475308898	-0.0664217473038785	0.14728848775512202	0.2167481823893279	-0.06945969463420587
9	0.9918553949380177	0.988058083936773	0.0037973110012446964	0.988335157963401	0.982011106061569	0.00632405190183194	0.8918582378324121	0.8740772948059228	0.01778094302648936	0.9477370689655172	0.9391163793103449	0.008620689655172376	0.9443491826336786	0.9362384721551059	0.008110710478572702	0.9634034766697164	0.9524245196706312	0.010978956999085132	0.9252948885976409	0.9200524246395806	0.005242463958060273	0.9486486486486486	0.9446460980036298	0.004002550645018865	0.9559691330004539	0.9485193621867881	0.007449770813665824	0.040298279311100194	0.05756415339627858	-0.017265874085178386	0.01746441323784604	0.08648322212167586	-0.06901880888382983	0.13886725981238232	0.21897410604325443	-0.08010684623087211
10	0.9918056035184628	0.9906669216837399	0.0011386818347228767	0.987977934182994	0.9856631634011794	0.0023147707818145236	0.8862841755375335	0.8752881379067451	0.01099603763078838	0.9454836985569214	0.9401389631213255	0.005344735435595882	0.9413032623169109	0.9370583269925813	0.0042449353243295684	0.9625	0.9526785714285714	0.009821428571428648	0.9201065246338216	0.9214380825565912	-0.0013315579227696217	0.9472759226713533	0.9476021314387212	-0.00032620876736788595	0.9548272807794509	0.95013357079252	0.004693709986930861	0.04041101590347611	0.055048515686956796	-0.014637499783480688	0.018501035488525944	0.08885796201006692	-0.07035692652154098	0.13884478361597846	0.21104838801854126	-0.0722036044025628
11	0.9907068823755345	0.9878458829570339	0.0028609994185005982	0.986421963946869	0.9818548387096774	0.004567125237191605	0.8793528587270695	0.8571567910779611	0.02219606764910842	0.9414922168545357	0.9307568438003221	0.01073537305421357	0.9378439278937382	0.9264255218216318	0.011418406072106313	0.9595588235294118	0.9522058823529411	0.007352941176470673	0.9161290322580645	0.9006451612903226	0.015483870967741953	0.9413886384129847	0.9308176100628931	0.010571028350091605	0.9503868912152936	0.9413902771467515	0.00899661406854213	0.04389610562539572	0.05883556487183839	-0.014939459246442674	0.018190939623255836	0.08331791584785393	-0.0651269762245981	0.14969711341865202	0.22145356315657497	-0.07175644973792294
12	0.9916832540383307	0.9887316401510402	0.002951613887290483	0.9874074091934956	0.982275129723578	0.005132279469917567	0.8768243421896093	0.85320205461368	0.023622287575929213	0.9407008086253369	0.9293800539083558	0.01132075471698113	0.9376525095966513	0.925382419320615	0.012270090276036205	0.9537624660018132	0.9465095194922938	0.0072529465095194645	0.9215425531914894	0.9042553191489362	0.017287234042553168	0.946894689468947	0.9354838709677419	0.011410818501205067	0.950316169828365	0.9409643983776476	0.009351771450717417	0.04378254777212633	0.0584199253240758	-0.014637377551949465	0.01994571419690123	0.0810954243766089	-0.06114971017970766	0.14560079220767985	0.21915780100121185	-0.073557008793532
13	0.9916797282785689	0.9891248202287197	0.002554908049849147	0.9878744110056118	0.9839663296474321	0.00390808135817966	0.8841508896430712	0.8730948733558292	0.011056016287241954	0.9435787211176787	0.938205265986029	0.005373455131649663	0.9408726588213009	0.9351922667108659	0.0056803921104350286	0.95817843866171	0.9544609665427509	0.0037174721189591198	0.9235668789808917	0.9159235668789809	0.007643312101910826	0.9450045829514208	0.939615736505032	0.0053888464463887065	0.951545916012921	0.9469801751959428	0.004565740816978248	0.04244311413908572	0.05627867421067786	-0.013835560071592139	0.024160055624036947	0.08951915745492789	-0.06535910183089094	0.1436336773594293	0.21457076686812362	-0.07093708950869432
14	0.9934135366211003	0.9908567848544486	0.0025567517666517103	0.9898912893770946	0.9856917103015337	0.0041995790755609	0.8967126326267543	0.8642955111809553	0.032417121445799	0.9504577275175013	0.934841141626279	0.01561658589122239	0.9479498660145802	0.9322443343135574	0.015705531701022846	0.9605026929982047	0.9452423698384201	0.015260323159784539	0.9353970390309556	0.9192462987886945	0.016150740242261152	0.9570661896243292	0.9460916442048517	0.01097454541947751	0.9587813620071685	0.9456668163448586	0.013114545662309851	0.03881592611137502	0.05416356356589897	-0.01534763745452395	0.022202921519714265	0.08171870264454911	-0.05951578112483485	0.13092961884363905	0.20825618091221668	-0.07732656206857763
15	0.9928079285354797	0.9906064048061716	0.0022015237293081524	0.9891808623925963	0.9851404559322582	0.004040406460338097	0.9023242752715152	0.8820412138229097	0.020283061448605477	0.9526372443487621	0.9429494079655544	0.009687836383207693	0.9520421840954365	0.9410206069114548	0.011021577183981668	0.9553327256153145	0.9516864175022789	0.003646308113035568	0.9487516425755584	0.9303547963206308	0.018396846254927657	0.9641214351425943	0.9516864175022789	0.012435017640315404	0.9597069597069597	0.9516864175022789	0.008020542204680847	0.03763209422965448	0.05294660891195244	-0.015314514682297962	0.018119210744734843	0.08483414571352335	-0.06671493496878851	0.1308634515518985	0.2049048285508874	-0.07404137699898891
16	0.9915521632266537	0.987672308964014	0.0038798542626397037	0.9862330043017359	0.9801056709940082	0.006127333307727634	0.8707164081115408	0.848695559140881	0.022020848970659812	0.9384368308351178	0.9277301927194861	0.010706638115631661	0.9335199339376248	0.9244483599631279	0.009071573974496872	0.9567137809187279	0.9399293286219081	0.016784452296819796	0.9103260869565217	0.9089673913043478	0.0013586956521739468	0.9425587467362925	0.9407603890362511	0.0017983577000413309	0.9495835160017536	0.9403446752098984	0.009238840791855218	0.04626012489204356	0.05990136694516413	-0.013641242053120575	0.021743639326954608	0.07439259786145837	-0.052648958534503756	0.15301443295048575	0.22039916352669933	-0.06738473057621358
17	0.9928281491906581	0.9901811611322369	0.002646988058421229	0.9889201110617291	0.9850193306667048	0.0039007803950242836	0.8770011731143194	0.8725585583632129	0.004442614751106411	0.9411134903640257	0.9389721627408993	0.0021413276231263545	0.9372792743712157	0.9352721346886305	0.002007139682585257	0.9563279857397504	0.9536541889483066	0.002673796791443861	0.9182305630026809	0.9168900804289544	0.0013404825737265424	0.9462081128747796	0.9452296819787986	0.0009784308959809307	0.9512411347517731	0.9494232475598935	0.0018178871918795858	0.041319755972078924	0.055920417399642666	-0.014600661427563742	0.016700316652753087	0.08887476606745212	-0.07217444941469903	0.13760797508596204	0.21312173406993284	-0.07551375898397081
18	0.990170594137656	0.9895166333635699	0.000653960774086082	0.9860772799768016	0.9845137982697791	0.0015634817070224738	0.8813911371923128	0.86903922819658	0.012351908995732797	0.942671714440238	0.9367225527312061	0.005949161709031925	0.9396047798559761	0.9331629694069885	0.006441810448987617	0.9568411386593205	0.953168044077135	0.0036730945821855654	0.9223684210526316	0.9131578947368421	0.009210526315789558	0.9464123524069028	0.9402173913043478	0.006194961102555019	0.9515981735159817	0.9466484268125855	0.004949746703396207	0.0430125771400652	0.05552019771259315	-0.012507620572527953	0.020533058604526463	0.08364926751566025	-0.06311620891113379	0.1491269738148859	0.21286054516461206	-0.06373357134972615
19	0.9899552807524616	0.9874253961894741	0.0025298845629875277	0.9848462991994564	0.9805151376064758	0.004331161592980637	0.8741500706776686	0.8477170205504271	0.02643305012724151	0.9394426580921758	0.9265809217577706	0.012861736334405127	0.9364125154237278	0.9241259887578162	0.012286526665911679	0.9522952295229523	0.936993699369937	0.015301530153015275	0.9205298013245033	0.9112582781456954	0.009271523178807972	0.9463327370304114	0.9395306859205776	0.006802051109833784	0.949304620906236	0.9382604776926543	0.011044143213581714	0.04668074139899372	0.060448455002522355	-0.013767713603528638	0.015263194949247017	0.08096617940056666	-0.06570298445131964	0.15804386048500893	0.2240215503536701	-0.06597768986866118
20	0.9917291274909246	0.9893349790455274	0.002394148445397204	0.9879685506601394	0.9833437175493249	0.004624833110814519	0.8841801998189265	0.8527149935645076	0.03146520625441884	0.9445037353255069	0.9290288153681964	0.01547491995731054	0.9412834890965732	0.9277252633140484	0.013558225782524858	0.9573333333333334	0.9342222222222222	0.023111111111111193	0.9252336448598131	0.9212283044058746	0.004005340453938522	0.9505736981465137	0.9468468468468468	0.003726851299666878	0.953941541186891	0.9404921700223714	0.013449371164519608	0.04162125562807028	0.0580598795962672	-0.016438623968196918	0.023957305669395468	0.07971784845933824	-0.055760542789942774	0.1397539991335891	0.21674028791556055	-0.07698628878197145
21	0.9906944454288277	0.9894062320939021	0.0012882133349255698	0.9859376948890803	0.9836711905681109	0.0022665043209694202	0.8864421619348223	0.8529953107255334	0.03344685120928892	0.9454545454545454	0.9294117647058824	0.016042780748663055	0.9410031776200517	0.9247705877112227	0.01623258990882903	0.9641255605381166	0.9488789237668162	0.015246636771300448	0.9178807947019868	0.9006622516556292	0.017218543046357615	0.9454705364995603	0.9338040600176523	0.011666476481907995	0.9547069271758437	0.9412811387900356	0.013425788385808102	0.043711362981787856	0.057094136504153535	-0.013382773522365679	0.014728784865587008	0.07850396612136157	-0.06377518125577455	0.15083623172571894	0.21437678954318096	-0.06354055781746201
22	0.9930611898340957	0.9882700905679803	0.004791099266115428	0.989632664901911	0.9824334288235366	0.007199236078374471	0.8971921045315541	0.8537030894090377	0.04348901512251635	0.9502433747971877	0.9291508923742564	0.02109248242293127	0.948596052265777	0.9271053172329597	0.021490735032817287	0.9577981651376147	0.9385321100917431	0.019266055045871644	0.9393939393939394	0.9156785243741765	0.02371541501976293	0.9577981651376147	0.9411223551057958	0.01667581003181895	0.9577981651376147	0.9398254478640331	0.01797271727358163	0.0395974531299438	0.058036707459678975	-0.018439254329735172	0.01908254333930143	0.07660183634210063	-0.057519293002799204	0.1335143526012948	0.21631317963242838	-0.08279882703113359
23	0.9924954858227962	0.9913660054080536	0.0011294804147425896	0.988762443108309	0.9869673327939686	0.0017951103143403202	0.8921400500128122	0.8776922257985781	0.014447824214234073	0.9480728051391863	0.9411134903640257	0.006959314775160652	0.9442084228809442	0.9375156671193053	0.006692755761638858	0.9648331830477908	0.9567177637511272	0.008115419296663595	0.9235836627140975	0.9183135704874835	0.005270092226614009	0.9485815602836879	0.9447907390917186	0.0037908211919692736	0.9566383549396513	0.9507168458781362	0.005921509061515118	0.03905666758980327	0.05261993976760146	-0.013563272177798187	0.01913238856269728	0.08722281456806315	-0.06809042600536587	0.13528510101589603	0.2048429360783492	-0.06955783506245317
24	0.9913534665593557	0.987883282022211	0.0034701845371447604	0.9875744463056021	0.9824155499720827	0.005158896333519403	0.8841785776787549	0.8502185530307205	0.03396002464803438	0.9434968017057569	0.9269722814498934	0.016524520255863484	0.9410152614926484	0.9233598548297041	0.017655406662944295	0.9574074074074074	0.9472222222222222	0.010185185185185186	0.9246231155778895	0.8994974874371859	0.025125628140703515	0.9451553930530164	0.927470534904805	0.017684858148211413	0.9512419503219871	0.9372423270728355	0.013999623249151605	0.04297238437878988	0.05853557849620446	-0.01556319411741458	0.021119311152211707	0.07689335499800788	-0.05577404384579618	0.14558730076125692	0.21902072516477947	-0.07343342440352255
