metric	direction	observed_delta_ESMCHalo_minus_DeepSaltPro	bootstrap_mean	ci_2_5	median	ci_97_5	fraction_gt_zero
ap	higher_is_better	0.002534671853645	0.002528045198564	0.0006539552752161	0.0025204300879906	0.004471901254321	0.9958
auroc	higher_is_better	0.0041818316160295	0.0041562539734339	0.0013078255303174	0.0041202913616695	0.0070779057792876	0.9976
mcc	higher_is_better	0.0211017933972864	0.0209279989400097	2.777344597267039e-05	0.0210135863774213	0.0419494341558217	0.9756
accuracy	higher_is_better	0.0101876675603217	0.0101050355616932	0.0	0.0101658640984483	0.0202777519784889	0.9718
balanced_accuracy	higher_is_better	0.0102454278720448	0.0101723188760091	-0.0001915754722528	0.0101251625850252	0.0207605084989473	0.9716
sensitivity	higher_is_better	0.009936766034327	0.0098012804077442	-0.0027297543221109	0.0098654708520179	0.0218181818181818	0.9366
specificity	higher_is_better	0.0105540897097625	0.010543357344274	-0.006289704727688	0.0105471370814952	0.0278154917701618	0.8666
ppv	higher_is_better	0.0073187510145957	0.00731746216394	-0.0033455589154838	0.0073279294992006	0.0185555784379823	0.901
f1	higher_is_better	0.0086178693245313	0.008553203335722	0.0001029550990264	0.008516156133791	0.0170783113863161	0.9754
brier	lower_is_better	-0.0145785225369534	-0.0145593275562216	-0.0188727568089616	-0.0146202247864215	-0.0100838066015319	0.0
ece_10_bins	lower_is_better	-0.0661163296367741	-0.0631154153501433	-0.0739449279178826	-0.0632185650481066	-0.051293142660533	0.0
log_loss	lower_is_better	-0.0712669424433112	-0.0712181377839183	-0.0840853630415802	-0.0713738964803289	-0.0572865455520576	0.0
