arm	mode	fold	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
Focal	raw	0	2114	1254	0.9290444654683065	0.8526080251008984	0.059343396784117555	0.22524092490600245	0.9874455367882955	0.9819461444308445	775	85	65	1189
Focal	raw	1	2114	1254	0.9366130558183539	0.86838642126598	0.055625741528821875	0.2108614455393058	0.9897353054081155	0.9849347205222359	785	75	59	1195
Focal	raw	2	2113	1254	0.9380028395646001	0.8713711661495056	0.05569241587777242	0.21329879119474016	0.9903781064517536	0.9854389121284532	790	69	62	1192
Focal	raw	3	2113	1254	0.9403691433980123	0.8771187240077574	0.056381060984059324	0.2210688070212505	0.9909150626592317	0.9866169816540507	807	52	74	1180
Focal	raw	4	2113	1253	0.9375295787979177	0.8707387074450084	0.05409144322255683	0.20740698686107062	0.9889736625874712	0.9843306297444273	797	63	69	1184
Focal	crossfit_Platt	0	2114	1254	0.9290444654683065	0.8526565962175675	0.05123048739282435	0.17067739809751692	0.9874455367882955	0.9819461444308445	777	83	67	1187
Focal	crossfit_Platt	1	2114	1254	0.9370860927152318	0.8693804273087277	0.046581152040055356	0.15655230517882612	0.9897353054081155	0.9849347205222359	786	74	59	1195
Focal	crossfit_Platt	2	2113	1254	0.9380028395646001	0.8714487555123365	0.04572095028542431	0.15251823455210542	0.9903781064517536	0.9854389121284532	792	67	64	1190
Focal	crossfit_Platt	3	2113	1254	0.9403691433980123	0.8774714775446474	0.044009129941645166	0.14943835766064678	0.9909150626592317	0.9866169816540507	811	48	78	1176
Focal	crossfit_Platt	4	2113	1253	0.9380028395646001	0.8718702860310876	0.04653881793069255	0.1570940944171553	0.9889736625874712	0.9843306297444273	800	60	71	1182
H0	raw	0	2114	1254	0.9337748344370861	0.8624470630672901	0.05278330681833969	0.1985471660423719	0.9871318329292121	0.9825590668001929	780	80	60	1194
H0	raw	1	2114	1254	0.9370860927152318	0.8693419107569783	0.05025586179676373	0.18773149919083304	0.9896339131902208	0.9847084677868032	784	76	57	1197
H0	raw	2	2113	1254	0.9365830572645528	0.868343911727404	0.05019987867341065	0.19003018846929737	0.9899016045739523	0.9847148032001902	786	73	61	1193
H0	raw	3	2113	1254	0.942262186464742	0.8806662758310536	0.0461821674997833	0.17869820697153274	0.9912590220655114	0.987142424799431	804	55	67	1187
H0	raw	4	2113	1253	0.9375295787979177	0.8706832465266201	0.04849090442941938	0.18478205317900487	0.9889914585887394	0.9846507915885594	796	64	68	1185
H0	crossfit_Platt	0	2114	1254	0.9328287606433302	0.8604987143618023	0.05016993303592487	0.1696897011677057	0.9871318329292121	0.9825590668001929	780	80	62	1192
H0	crossfit_Platt	1	2114	1254	0.9375591296121097	0.8703526493970315	0.04704802798658234	0.1592039630354643	0.9896339131902208	0.9847084677868032	786	74	58	1196
H0	crossfit_Platt	2	2113	1254	0.9365830572645528	0.8684070542975556	0.04669373296136925	0.1577633389004835	0.9899016045739523	0.9847148032001902	788	71	63	1191
H0	crossfit_Platt	3	2113	1254	0.9408424041646948	0.8779774774886778	0.04313312324776304	0.14646777912676756	0.9912590220655114	0.987142424799431	806	53	72	1182
H0	crossfit_Platt	4	2113	1253	0.9370563180312352	0.8697884625616917	0.04619974354354273	0.15699317289777837	0.9889914585887394	0.9846507915885594	797	63	70	1183
Mixup	raw	0	2114	1254	0.9351939451277199	0.8654070915282309	0.05563117982398094	0.21303552587127697	0.9873824271124214	0.9828465190460295	782	78	59	1195
Mixup	raw	1	2114	1254	0.9366130558183539	0.8684094341449256	0.05007665920189373	0.18470543750022825	0.9897846133504482	0.9848772300730686	786	74	60	1194
Mixup	raw	2	2113	1254	0.9356365357311879	0.8663505342489625	0.052827961927915744	0.20236013759579535	0.9899384747980053	0.9849348209130084	784	75	61	1193
Mixup	raw	3	2113	1254	0.938949361097965	0.8738488323690821	0.04779446926383569	0.18414551278813684	0.9913748293966987	0.987354087409231	801	58	71	1183
Mixup	raw	4	2113	1253	0.938949361097965	0.8738273492753816	0.05058832708113889	0.19453499392882673	0.9885162749206233	0.9842526772954212	801	59	70	1183
Mixup	crossfit_Platt	0	2114	1254	0.934720908230842	0.8644539650038768	0.04926367320387921	0.16659939722792763	0.9873824271124214	0.9828465190460295	783	77	61	1193
Mixup	crossfit_Platt	1	2114	1254	0.9361400189214759	0.8675733513364196	0.047504021149539506	0.15894106087632512	0.9897846133504482	0.9848772300730686	790	70	65	1189
Mixup	crossfit_Platt	2	2113	1254	0.9361097964978703	0.8674075599995874	0.04746422314436798	0.15845254179310753	0.9899384747980053	0.9849348209130084	787	72	63	1191
Mixup	crossfit_Platt	3	2113	1254	0.9394226218646474	0.8754260982397216	0.04318185607175297	0.1442970308737959	0.9913748293966987	0.987354087409231	809	50	78	1176
Mixup	crossfit_Platt	4	2113	1253	0.9398958826313298	0.8763103802893907	0.045641065538270076	0.1560712800007127	0.9885162749206233	0.9842526772954212	809	51	76	1177
