arm	mode	subset	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
Focal	raw	strict25	10458	6205	0.9366035570854848	0.8685441486192288	0.05610882761468131	0.21531382106778474	0.9894325234389977	0.9845731685251138	3912	341	322	5883
Focal	raw	clean_core	7934	4922	0.9976052432568692	0.994919875158276	0.01703131770435882	0.11278816475720525	0.999977834262703	0.9999620237727136	3006	6	13	4909
Focal	crossfit_Platt	strict25	10458	6205	0.9367947982405814	0.8690413345566752	0.046681389925065084	0.15690640460127092	0.9893385581376042	0.9844710080934479	3924	329	332	5873
Focal	crossfit_Platt	clean_core	7934	4922	0.9978573229140408	0.9954565337829901	0.0036437948621029052	0.02516245647181101	0.9999767565127461	0.999960067626015	3008	4	13	4909
H0	raw	strict25	10458	6205	0.9377510040160643	0.8708548065906986	0.04945685023293162	0.18763540427739717	0.9894537500390481	0.9847030289848014	3909	344	307	5898
H0	raw	clean_core	7934	4922	0.9979833627426267	0.9957186019567943	0.009664524267272965	0.07993881335351644	0.9999573082667791	0.9999182465586657	3004	8	8	4914
H0	crossfit_Platt	strict25	10458	6205	0.9371772805507745	0.869733858556448	0.04651773830730057	0.1575889181702991	0.9894107602798486	0.9846570264758838	3915	338	319	5886
H0	crossfit_Platt	clean_core	7934	4922	0.9979833627426267	0.9957192960396363	0.0030970543689564024	0.025546351836082434	0.9999554257307138	0.9999139969985964	3005	7	9	4913
Mixup	raw	strict25	10458	6205	0.9370816599732262	0.869507153997525	0.051270014254042984	0.19547133275107395	0.9894510356388584	0.9848052273098026	3911	342	316	5889
Mixup	raw	clean_core	7934	4922	0.9976052432568692	0.9949151777996033	0.012242455136489121	0.090776058411839	0.9999783163275183	0.9999642497327499	3001	11	8	4914
Mixup	crossfit_Platt	strict25	10458	6205	0.9372729011283228	0.8701202687268862	0.04648836935988993	0.1564330728994686	0.9893942222073233	0.984724362932512	3935	318	338	5867
Mixup	crossfit_Platt	clean_core	7934	4922	0.9974792034282833	0.9946502005510461	0.0036230166896292207	0.02603377390063442	0.9999774665090566	0.9999628332127268	3004	8	12	4910
