arm	mode	fold	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
B0	raw	0	2114	1254	0.9285714285714286	0.8525777619840015	0.06250695145723427	0.3390027904721847	0.9855780606404364	0.9800271688735581	793	67	84	1170
B0	raw	1	2114	1254	0.9295175023651845	0.8536026338419891	0.053635868740183834	0.18122134898250467	0.9874927369744517	0.9811060420607545	776	84	65	1189
B0	raw	2	2113	1254	0.9351632749645055	0.8653545201163653	0.048247258856549576	0.1629135435882239	0.9894131207071173	0.9837586080769709	783	76	61	1193
B0	raw	3	2113	1254	0.938949361097965	0.8736599961803718	0.04616929798070762	0.15674619776320903	0.9903821632386243	0.9851167764898542	798	61	68	1186
B0	raw	4	2113	1253	0.9323237103644108	0.8594307306098041	0.056729331491345854	0.27564924859408657	0.987061149563559	0.9815094934946826	769	91	52	1201
B0	crossfit_Platt	0	2114	1254	0.9285714285714286	0.8527468006253934	0.05881173752484411	0.24637783278838002	0.9851203688833637	0.9799325878120249	795	65	86	1168
B0	crossfit_Platt	1	2114	1254	0.9290444654683065	0.8526858276014875	0.05558464785142114	0.1885988480020811	0.9874927369744517	0.9811060420607545	778	82	68	1186
B0	crossfit_Platt	2	2113	1254	0.9337434926644581	0.8625943945497437	0.054318556048316556	0.19113307341820984	0.9894131207071173	0.9837586080769709	787	72	68	1186
B0	crossfit_Platt	3	2113	1254	0.9398958826313298	0.8758747796833328	0.04983239681652579	0.17285705128976728	0.9903821632386243	0.9851167764898542	803	56	71	1183
B0	crossfit_Platt	4	2113	1253	0.9318504495977283	0.8584361715620006	0.05208073863382019	0.19368807831295004	0.9870609945117781	0.9815094934946826	769	91	53	1200
H0	raw	0	2114	1254	0.9337748344370861	0.8624470630672901	0.05278330681833969	0.1985471660423719	0.9871318329292121	0.9825590668001929	780	80	60	1194
H0	raw	1	2114	1254	0.9370860927152318	0.8693419107569783	0.05025586179676373	0.18773149919083304	0.9896339131902208	0.9847084677868032	784	76	57	1197
H0	raw	2	2113	1254	0.9365830572645528	0.868343911727404	0.05019987867341065	0.19003018846929737	0.9899016045739523	0.9847148032001902	786	73	61	1193
H0	raw	3	2113	1254	0.942262186464742	0.8806662758310536	0.0461821674997833	0.17869820697153274	0.9912590220655114	0.987142424799431	804	55	67	1187
H0	raw	4	2113	1253	0.9375295787979177	0.8706832465266201	0.04849090442941938	0.18478205317900487	0.9889914585887394	0.9846507915885594	796	64	68	1185
H0	crossfit_Platt	0	2114	1254	0.9328287606433302	0.8604987143618023	0.05016993303592487	0.1696897011677057	0.9871318329292121	0.9825590668001929	780	80	62	1192
H0	crossfit_Platt	1	2114	1254	0.9375591296121097	0.8703526493970315	0.04704802798658234	0.1592039630354643	0.9896339131902208	0.9847084677868032	786	74	58	1196
H0	crossfit_Platt	2	2113	1254	0.9365830572645528	0.8684070542975556	0.04669373296136925	0.1577633389004835	0.9899016045739523	0.9847148032001902	788	71	63	1191
H0	crossfit_Platt	3	2113	1254	0.9408424041646948	0.8779774774886778	0.04313312324776304	0.14646777912676756	0.9912590220655114	0.987142424799431	806	53	72	1182
H0	crossfit_Platt	4	2113	1253	0.9370563180312352	0.8697884625616917	0.04619974354354273	0.15699317289777837	0.9889914585887394	0.9846507915885594	797	63	70	1183
M0	raw	0	2114	1254	0.9276253547776726	0.8496267612722932	0.05301362821222331	0.17817683547862645	0.9844838009787367	0.980393902303327	772	88	65	1189
M0	raw	1	2114	1254	0.9276253547776726	0.8500695231573262	0.05102001659243403	0.1758527308170363	0.9859164255135098	0.9802362672007716	784	76	77	1177
M0	raw	2	2113	1254	0.930430667297681	0.8559652754611933	0.05007225708283125	0.1721818908316623	0.9883937948312101	0.9824487135926386	788	71	76	1178
M0	raw	3	2113	1254	0.9413156649313772	0.8780930185954566	0.04709204834609774	0.16937238223968057	0.9868621539469807	0.9824134364910052	782	77	47	1207
M0	raw	4	2113	1253	0.9370563180312352	0.8695341837646186	0.04760370078536149	0.17589303304168905	0.9833823642051482	0.9817999591677649	792	68	65	1188
M0	crossfit_Platt	0	2114	1254	0.9290444654683065	0.8526858276014875	0.054146172924327975	0.18358856497287415	0.9844838009787367	0.980393902303327	778	82	68	1186
M0	crossfit_Platt	1	2114	1254	0.9276253547776726	0.8503916731941419	0.051446889446397935	0.1753264354806553	0.9859164255135098	0.9802362672007716	789	71	82	1172
M0	crossfit_Platt	2	2113	1254	0.9280643634642688	0.8515411979647146	0.04992784872853972	0.16860326616887614	0.9883937948312101	0.9824487135926386	792	67	85	1169
M0	crossfit_Platt	3	2113	1254	0.9408424041646948	0.8771011965201356	0.04655719027426758	0.16456150772865405	0.9868621539469807	0.9824134364910052	783	76	49	1205
M0	crossfit_Platt	4	2113	1253	0.9365830572645528	0.8688393827673275	0.046484004556917334	0.16791320755768827	0.9833823642051482	0.9817999591677649	797	63	71	1182
Mixup_KD	raw	0	2114	1254	0.9351939451277199	0.8654070915282309	0.055631179823980935	0.21303552587127692	0.9873824271124214	0.9828465190460295	782	78	59	1195
Mixup_KD	raw	1	2114	1254	0.9366130558183539	0.8684094341449256	0.05007665920189372	0.18470543750022828	0.9897846133504482	0.9848772300730686	786	74	60	1194
Mixup_KD	raw	2	2113	1254	0.9356365357311879	0.8663505342489625	0.05282796192791574	0.20236013759579533	0.9899384747980053	0.9849348209130084	784	75	61	1193
