arm	mode	subset	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
B0	raw	strict25	10458	6205	0.9330655957161981	0.8610709559264893	0.053247379930453496	0.22158667704616042	0.985325456607053	0.9790866114699714	3876	377	323	5882
B0	raw	clean_core	7934	4922	0.9948323670279808	0.9890254246432316	0.005102101040312594	0.023537122294213297	0.9997713347481179	0.9995603391661579	2987	25	16	4906
B0	crossfit_Platt	strict25	10458	6205	0.9327787339835533	0.8605862593463756	0.0539139586803286	0.19756341911147585	0.983663933775999	0.9770785110117085	3889	364	339	5866
B0	crossfit_Platt	clean_core	7934	4922	0.9950844466851525	0.9895616161546329	0.010183110547621835	0.052836678298269435	0.9997114378358438	0.9994418911108918	2990	22	17	4905
H0	raw	strict25	10458	6205	0.9377510040160643	0.8708548065906986	0.04945685023293162	0.18763540427739717	0.9894537500390481	0.9847030289848014	3909	344	307	5898
H0	raw	clean_core	7934	4922	0.9979833627426267	0.9957186019567943	0.009664524267272965	0.07993881335351644	0.9999573082667791	0.9999182465586657	3004	8	8	4914
H0	crossfit_Platt	strict25	10458	6205	0.9371772805507745	0.869733858556448	0.04651773830730057	0.1575889181702991	0.9894107602798486	0.9846570264758838	3915	338	319	5886
H0	crossfit_Platt	clean_core	7934	4922	0.9979833627426267	0.9957192960396363	0.0030970543689564024	0.025546351836082434	0.9999554257307138	0.9999139969985964	3005	7	9	4913
M0	raw	strict25	10458	6205	0.9331612162937464	0.8612795783725583	0.049571812301608495	0.1737993322023468	0.985743907854825	0.981068338166944	3878	375	324	5881
M0	raw	clean_core	7934	4922	0.996218805142425	0.9919708781625942	0.006682733907612408	0.04806455800535093	0.9999414181328297	0.9999039464517657	2995	17	13	4909
M0	crossfit_Platt	strict25	10458	6205	0.932683113406005	0.8604760956235645	0.04951134096920387	0.17141706503918067	0.9854826481693022	0.9807529898315129	3898	355	349	5856
M0	crossfit_Platt	clean_core	7934	4922	0.9959667254852533	0.9914384489101254	0.005125687337022605	0.0347420124072223	0.9999419554453949	0.9999049582517823	2997	15	17	4905
Mixup_KD	raw	strict25	10458	6205	0.9370816599732262	0.869507153997525	0.051270014254042984	0.19547133275107395	0.9894510356388584	0.9848052273098026	3911	342	316	5889
Mixup_KD	raw	clean_core	7934	4922	0.9976052432568692	0.9949151777996033	0.012242455136489118	0.090776058411839	0.9999783163275183	0.9999642497327499	3001	11	8	4914
Mixup_KD	crossfit_Platt	strict25	10458	6205	0.9372729011283228	0.8701202687268862	0.04648836935988993	0.15643307289946862	0.9893942222073233	0.984724362932512	3935	318	338	5867
Mixup_KD	crossfit_Platt	clean_core	7934	4922	0.9974792034282833	0.9946502005510461	0.0036230166896292207	0.02603377390063442	0.9999774665090566	0.9999628332127268	3004	8	12	4910
