arm	mode	fold	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
G0	raw	0	2114	1254	0.924787133396405	0.8437934260642863	0.05410871825008047	0.2010138663700467	0.9857198488112513	0.9806489002633434	772	88	71	1183
G0	raw	1	2114	1254	0.934720908230842	0.8646512709132088	0.04991970188851461	0.18497232910945097	0.9893641443282157	0.9840612366010162	789	71	67	1187
G0	raw	2	2113	1254	0.9337434926644581	0.8626398144223746	0.049601017639919844	0.18764774238608886	0.9897153648155246	0.9844270163184446	788	71	69	1185
G0	raw	3	2113	1254	0.9408424041646948	0.8779774774886778	0.046433525143827654	0.18258993458264128	0.99139202217507	0.9872426860356521	806	53	72	1182
G0	raw	4	2113	1253	0.9408424041646948	0.8771868031835051	0.04742449180080484	0.18296944435222548	0.9869531560311101	0.9841867889159042	789	71	54	1199
G0	crossfit_Platt	0	2114	1254	0.924787133396405	0.8438245275550648	0.05339011069379785	0.18019069007237803	0.9857198488112513	0.9806489002633434	773	87	72	1182
G0	crossfit_Platt	1	2114	1254	0.934247871333964	0.8636924362291467	0.0480444337246924	0.16195733850002225	0.9893641443282157	0.9840612366010162	789	71	68	1186
G0	crossfit_Platt	2	2113	1254	0.9332702318977757	0.86163535260335	0.047100738303265555	0.1595870722656187	0.9897153648155246	0.9844270163184446	787	72	69	1185
G0	crossfit_Platt	3	2113	1254	0.9403691433980123	0.8772020187055933	0.042445197557468776	0.1471080974165987	0.99139202217507	0.9872426860356521	808	51	75	1179
G0	crossfit_Platt	4	2113	1253	0.9413156649313772	0.8781630315369869	0.04470328744278244	0.15535603420276678	0.9869531560311101	0.9841867889159042	789	71	53	1200
H0	raw	0	2114	1254	0.9337748344370861	0.8624470630672901	0.05278330681833969	0.1985471660423719	0.9871318329292121	0.9825590668001929	780	80	60	1194
H0	raw	1	2114	1254	0.9370860927152318	0.8693419107569783	0.05025586179676373	0.18773149919083304	0.9896339131902208	0.9847084677868032	784	76	57	1197
H0	raw	2	2113	1254	0.9365830572645528	0.868343911727404	0.05019987867341065	0.19003018846929737	0.9899016045739523	0.9847148032001902	786	73	61	1193
H0	raw	3	2113	1254	0.942262186464742	0.8806662758310536	0.0461821674997833	0.17869820697153274	0.9912590220655114	0.987142424799431	804	55	67	1187
H0	raw	4	2113	1253	0.9375295787979177	0.8706832465266201	0.04849090442941938	0.18478205317900487	0.9889914585887394	0.9846507915885594	796	64	68	1185
H0	crossfit_Platt	0	2114	1254	0.9328287606433302	0.8604987143618023	0.05016993303592487	0.1696897011677057	0.9871318329292121	0.9825590668001929	780	80	62	1192
H0	crossfit_Platt	1	2114	1254	0.9375591296121097	0.8703526493970315	0.04704802798658234	0.1592039630354643	0.9896339131902208	0.9847084677868032	786	74	58	1196
H0	crossfit_Platt	2	2113	1254	0.9365830572645528	0.8684070542975556	0.04669373296136925	0.1577633389004835	0.9899016045739523	0.9847148032001902	788	71	63	1191
H0	crossfit_Platt	3	2113	1254	0.9408424041646948	0.8779774774886778	0.04313312324776304	0.14646777912676756	0.9912590220655114	0.987142424799431	806	53	72	1182
H0	crossfit_Platt	4	2113	1253	0.9370563180312352	0.8697884625616917	0.04619974354354273	0.15699317289777837	0.9889914585887394	0.9846507915885594	797	63	70	1183
