arm	mode	fold	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
H0	raw	0	2114	1254	0.9337748344370861	0.8624470630672901	0.05278330681833969	0.1985471660423719	0.9871318329292121	0.9825590668001929	780	80	60	1194
H0	raw	1	2114	1254	0.9370860927152318	0.8693419107569783	0.05025586179676373	0.18773149919083304	0.9896339131902208	0.9847084677868032	784	76	57	1197
H0	raw	2	2113	1254	0.9365830572645528	0.868343911727404	0.05019987867341065	0.19003018846929737	0.9899016045739523	0.9847148032001902	786	73	61	1193
H0	raw	3	2113	1254	0.942262186464742	0.8806662758310536	0.0461821674997833	0.17869820697153274	0.9912590220655114	0.987142424799431	804	55	67	1187
H0	raw	4	2113	1253	0.9375295787979177	0.8706832465266201	0.04849090442941938	0.18478205317900487	0.9889914585887394	0.9846507915885594	796	64	68	1185
H0	crossfit_Platt	0	2114	1254	0.9328287606433302	0.8604987143618023	0.05016993303592487	0.1696897011677057	0.9871318329292121	0.9825590668001929	780	80	62	1192
H0	crossfit_Platt	1	2114	1254	0.9375591296121097	0.8703526493970315	0.04704802798658234	0.1592039630354643	0.9896339131902208	0.9847084677868032	786	74	58	1196
H0	crossfit_Platt	2	2113	1254	0.9365830572645528	0.8684070542975556	0.04669373296136925	0.1577633389004835	0.9899016045739523	0.9847148032001902	788	71	63	1191
H0	crossfit_Platt	3	2113	1254	0.9408424041646948	0.8779774774886778	0.04313312324776304	0.14646777912676756	0.9912590220655114	0.987142424799431	806	53	72	1182
H0	crossfit_Platt	4	2113	1253	0.9370563180312352	0.8697884625616917	0.04619974354354273	0.15699317289777837	0.9889914585887394	0.9846507915885594	797	63	70	1183
S0	raw	0	2114	1254	0.9323557237464523	0.8594603386675086	0.055541630094746844	0.21322249162416157	0.9866355507565281	0.982368050146508	776	84	59	1195
S0	raw	1	2114	1254	0.934720908230842	0.864572224818687	0.050831707140221664	0.19100583352222386	0.9896813404171364	0.9847743036237528	787	73	65	1189
S0	raw	2	2113	1254	0.9351632749645055	0.8654786869119728	0.05277172505017028	0.20317281872211926	0.9899532868976837	0.9849756680833208	787	72	65	1189
S0	raw	3	2113	1254	0.9417889256980596	0.8798584630278715	0.04794230545599453	0.1883566618072912	0.9914709229383443	0.987370797615268	806	53	70	1184
S0	raw	4	2113	1253	0.942262186464742	0.8803866070268564	0.051968042764608265	0.20428074376048888	0.9892960818751435	0.9849189851333544	799	61	61	1192
S0	crossfit_Platt	0	2114	1254	0.9328287606433302	0.8604792554740118	0.05019719351577015	0.1695041172671218	0.9866355507565281	0.982368050146508	779	81	61	1193
S0	crossfit_Platt	1	2114	1254	0.9337748344370861	0.8627832795519454	0.04743136071192857	0.1588042209164096	0.9896813404171364	0.9847743036237528	790	70	70	1184
S0	crossfit_Platt	2	2113	1254	0.9375295787979177	0.8705348936952393	0.046942427770937746	0.15728649307748924	0.9899532868976837	0.9849756680833208	793	66	66	1188
S0	crossfit_Platt	3	2113	1254	0.9394226218646474	0.8753356644246651	0.04281197310373029	0.14458165186513283	0.9914709229383443	0.987370797615268	808	51	77	1177
S0	crossfit_Platt	4	2113	1253	0.9413156649313772	0.8784717420911304	0.04498771009470314	0.15451262781823585	0.9892960818751435	0.9849189851333544	799	61	63	1190
