dataset	subset	system	n	positive	ACC	MCC	Brier	log_loss	AP	AUROC	TN	FP	FN	TP
haloclass_newtest1402	all	E0_raw	1402	548	0.6476462196861626	0.40186579249593624	0.2437094497350412	0.7276053196756843	0.7049981964977556	0.8261829262038667	412	442	52	496
haloclass_newtest1402	all	E0_Platt	1402	548	0.6504992867332382	0.4058471212521104	0.27502430344859546	0.9967219394850566	0.7049981964977556	0.8261829262038667	416	438	52	496
haloclass_newtest1402	all	H0_frozen	1402	548	0.6654778887303852	0.44361407059496355	0.2635886237568566	0.9174907478776814	0.7445881073699621	0.8445870869587514	422	432	37	511
haloclass_newtest1402	all	DeepSaltPro_raw	1402	548	0.6740370898716119	0.40430852676357104	0.22552573257949277	0.6704183222907899	0.7206648539185456	0.8185097181148395	485	369	88	460
haloclass_newtest1402	all	DeepSaltPro_R2_Platt	1402	548	0.6740370898716119	0.40430852676357104	0.257426705149453	0.9063238330614384	0.7206648539185456	0.8185097181148395	485	369	88	460
haloclass_newtest1402	historical_strict40	E0_raw	1367	521	0.6415508412582297	0.39310551984607456	0.24808507127196236	0.7401039659250378	0.6895834690879512	0.8202016489475141	408	438	52	469
haloclass_newtest1402	historical_strict40	E0_Platt	1367	521	0.6444769568397952	0.39712280985436405	0.27999301732848225	1.0159526374767058	0.6895834690879512	0.8202016489475141	412	434	52	469
haloclass_newtest1402	historical_strict40	H0_frozen	1367	521	0.6598390636430139	0.4360294108918055	0.2684036835864519	0.9351988498583758	0.7293024883537126	0.8386082411075264	418	428	37	484
haloclass_newtest1402	historical_strict40	DeepSaltPro_raw	1367	521	0.667885881492319	0.3926919930864014	0.22985295159490757	0.6822768708271394	0.7073546550234423	0.81253544964902	480	366	88	433
haloclass_newtest1402	historical_strict40	DeepSaltPro_R2_Platt	1367	521	0.667885881492319	0.3926919930864014	0.2624488511329075	0.92475240156859	0.7073546550234423	0.81253544964902	480	366	88	433
haloclass_newtest1402	historical_strict25	E0_raw	1319	500	0.6398786959818044	0.3887850099634775	0.24997240364315632	0.74624355522612	0.6799325838920172	0.8149743589743589	396	423	52	448
haloclass_newtest1402	historical_strict25	E0_Platt	1319	500	0.6429112964366944	0.3929453173084409	0.2820883368613633	1.0267029989514809	0.6799325838920172	0.8149743589743589	400	419	52	448
haloclass_newtest1402	historical_strict25	H0_frozen	1319	500	0.6580742987111448	0.4322029198527935	0.2705979911492807	0.9455708366764295	0.7188735554558819	0.833157509157509	405	414	37	463
haloclass_newtest1402	historical_strict25	DeepSaltPro_raw	1319	500	0.6664139499620925	0.38835806704450415	0.23243803121940876	0.6903787161342739	0.6955720752487793	0.8061391941391942	466	353	87	413
haloclass_newtest1402	historical_strict25	DeepSaltPro_R2_Platt	1319	500	0.6664139499620925	0.38835806704450415	0.2651832299563259	0.9382024710386667	0.6955720752487793	0.8061391941391942	466	353	87	413
haloclass_zhang278	all	E0_raw	278	139	0.8489208633093526	0.7254782791843406	0.10693260495255599	0.3456484333678292	0.9787576333701032	0.972568707623829	99	40	2	137
haloclass_zhang278	all	E0_Platt	278	139	0.8489208633093526	0.7254782791843406	0.10418218567291933	0.33299804495662017	0.9787576333701032	0.972568707623829	99	40	2	137
haloclass_zhang278	all	H0_frozen	278	139	0.8561151079136691	0.7373905334966201	0.10298539484351164	0.3306248116875009	0.9781841599049103	0.9722064075358418	101	38	2	137
haloclass_zhang278	all	DeepSaltPro_raw	278	139	0.8489208633093526	0.7084823116466947	0.1130365899979688	0.3713900769855102	0.9576329610386111	0.9472077014647275	106	33	9	130
haloclass_zhang278	all	DeepSaltPro_R2_Platt	278	139	0.8489208633093526	0.7084823116466947	0.10933718134170202	0.3613543284887288	0.9576329610386111	0.9472077014647275	106	33	9	130
haloclass_zhang278	historical_strict40	E0_raw	275	138	0.8545454545454545	0.7344810003311161	0.10559136627565674	0.34286427836257316	0.9786874396429793	0.9724426108113826	99	38	2	136
haloclass_zhang278	historical_strict40	E0_Platt	275	138	0.8545454545454545	0.7344810003311161	0.10241213063591346	0.3293286289178021	0.9786874396429793	0.9724426108113826	99	38	2	136
haloclass_zhang278	historical_strict40	H0_frozen	275	138	0.8618181818181818	0.7466123865818425	0.10134550946142357	0.32721961647056397	0.9781016651342849	0.9720723579815932	101	36	2	136
haloclass_zhang278	historical_strict40	DeepSaltPro_raw	275	138	0.850909090909091	0.7116723056540156	0.11171679911581252	0.36867648249783636	0.9576881629751843	0.9472654183856977	105	32	9	129
haloclass_zhang278	historical_strict40	DeepSaltPro_R2_Platt	275	138	0.850909090909091	0.7116723056540156	0.10746818363697565	0.3573918469454674	0.9576881629751843	0.9472654183856977	105	32	9	129
haloclass_zhang278	historical_strict25	E0_raw	269	135	0.8550185873605948	0.735129334835227	0.1052737141090212	0.34257613512941004	0.9781243570901573	0.9718076285240463	97	37	2	133
haloclass_zhang278	historical_strict25	E0_Platt	269	135	0.8550185873605948	0.735129334835227	0.10173770517996267	0.32855102876951675	0.9781243570901573	0.9718076285240463	97	37	2	133
haloclass_zhang278	historical_strict25	H0_frozen	269	135	0.862453531598513	0.747544785359573	0.10052380868931943	0.32596792273277464	0.9775538669940516	0.9714759535655058	99	35	2	133
haloclass_zhang278	historical_strict25	DeepSaltPro_raw	269	135	0.8513011152416357	0.7120187039465581	0.11105531052848047	0.3674239175214265	0.9577598531629744	0.9473189607517964	103	31	9	126
haloclass_zhang278	historical_strict25	DeepSaltPro_R2_Platt	269	135	0.8513011152416357	0.7120187039465581	0.10641859263040725	0.3540313003089	0.9577598531629744	0.9473189607517964	103	31	9	126
