representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-0.23957541058133458	0.44039098677187777	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.31700752992964576	0.5785947916495808	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.0414577214582765	0.260868823523798	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-1.2496751966521005	0.22275636890369352	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.36328882182865024	0.4101636687042127	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.17792183499648412	0.45563651109802866	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.2147184844666066	0.22886723449042068	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-1.4144805678945438	0.1955283149130338	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-1.8235980305016255	0.13900269768180581	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-1.610314723193215	0.16654492298442392	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-0.5464291565181933	0.36669326809362307	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-1.2687360088897295	0.21947370330236507	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.24380145957631144	0.43934975451315367	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-1.1711093679680222	0.23665451933933584	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-0.8636124833549311	0.29658514732661484	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-1.588668307362532	0.16957133925535495	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-1.563732766671087	0.17311167163443547	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-2.0216392313923666	0.11694959720814715	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-1.5241697377014933	0.178848324798949	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-1.9013232910829445	0.12995877722987387	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	0.15253835679206296	0.5380608180331506	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.2797861761826832	0.21758662331939504	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-1.6883564628690773	0.15599210354570356	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-2.084283736517464	0.11063376944886416	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-1.9784104615002704	0.12148838563359277	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.28172841151111844	0.43003008398682013	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	0.14766977049498684	0.5368505023352513	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-1.6829301554908518	0.15670785773695614	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-1.3979079104075174	0.19814830435374353	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-1.3927525132366598	0.19896869733859512	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.026426212502794255	0.5066061686815952	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-0.6517330804690062	0.3425990979444494	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-1.3068310127610139	0.2130176135114001	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-2.0439297336958835	0.11466718639297593	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	-0.9536541634168691	0.27815053431039233	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000039	0	HPCLAS_TRAIN_N_000039	4	A_clean_core	-1.4262573039944235	0.19368250954283522	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-1.3832094245839544	0.200494046684737	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000041	0	HPCLAS_TRAIN_N_000041	4	A_clean_core	-1.9143843414658983	0.12848909493323346	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	A_clean_core	-2.0324359063101975	0.11583920181303117	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000043	0	HPCLAS_TRAIN_N_000043	4	A_clean_core	-0.2564971966072279	0.4362249689731543	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000044	0	HPCLAS_TRAIN_N_000044	4	A_clean_core	-1.5050511533724862	0.18167337034364608	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	-0.7317948981957936	0.3248009730126588	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000046	0	HPCLAS_TRAIN_N_000046	4	A_clean_core	0.0919011132675217	0.5229591215506565	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	-1.5359990877521947	0.17711764257601093	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	-0.7451118582537537	0.3218873340033668	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	B_ambiguous	1.0288398752573997	0.7366909196439143	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000051	0	HPCLAS_TRAIN_P_003059	4	B_ambiguous	-2.4590915602012333	0.07877623791746295	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-1.6461379017474196	0.16163160660517734	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000054	0	HPCLAS_TRAIN_N_000054	0	A_clean_core	-1.276156238725053	0.21820522709538873	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000055	0	HPCLAS_TRAIN_N_000055	1	A_clean_core	-2.266842837094969	0.09390650494451146	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000056	0	HPCLAS_TRAIN_N_000056	1	A_clean_core	-1.620274443062545	0.16516702461587787	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000058	0	HPCLAS_TRAIN_N_000058	4	A_clean_core	-2.467384461667915	0.07817651592731296	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	-0.7524930757685544	0.3202783149319068	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000060	0	HPCLAS_TRAIN_N_000060	4	A_clean_core	-1.8281222187404516	0.13846212234609195	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000061	0	HPCLAS_TRAIN_N_000061	0	A_clean_core	-1.2745706211650887	0.21847584115868596	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000062	0	HPCLAS_TRAIN_N_000062	4	A_clean_core	-1.4830977156201826	0.18495998352107232	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000063	0	HPCLAS_TRAIN_N_000063	4	A_clean_core	-2.1983987940864864	0.09989437011756362	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-1.5115166629925074	0.18071413253632748	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000066	0	HPCLAS_TRAIN_N_000066	3	A_clean_core	-1.1402219305442451	0.24227961661146227	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000067	0	HPCLAS_TRAIN_N_000067	1	A_clean_core	-1.555987628723409	0.17422315030190202	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000069	0	HPCLAS_TRAIN_N_000069	0	D_hard_sample	0.6609899549433387	0.6594827330242761	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000070	0	HPCLAS_TRAIN_N_000070	3	A_clean_core	-1.916037619321921	0.12830407514512118	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-1.1160677867024198	0.24674139699258818	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000072	0	HPCLAS_TRAIN_N_000072	1	A_clean_core	-2.680523048202932	0.06413247615478677	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000073	0	HPCLAS_TRAIN_N_000073	3	A_clean_core	-0.9596574712848387	0.2769467800719365	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000075	0	HPCLAS_TRAIN_N_000075	3	D_hard_sample	-1.4431710941301656	0.19105476673954874	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-0.2874351419408106	0.42863190241594934	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	-1.2212022512347638	0.22772494589390097	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000079	0	HPCLAS_TRAIN_N_000079	0	A_clean_core	-2.224465142859001	0.09757492324633983	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000080	0	HPCLAS_TRAIN_N_000080	3	A_clean_core	-1.2251014178180561	0.2270399420130136	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000082	0	HPCLAS_TRAIN_N_000082	1	A_clean_core	-1.1161532611649227	0.2467255110460442	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000083	0	HPCLAS_TRAIN_N_000083	4	A_clean_core	-2.523568032720533	0.07422240061060327	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000084	0	HPCLAS_TRAIN_N_000084	3	A_clean_core	-0.814449598509432	0.30694312461323947	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000085	0	HPCLAS_TRAIN_N_000085	3	A_clean_core	-2.2544563974214875	0.09496575778567654	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000086	0	HPCLAS_TRAIN_N_000086	0	A_clean_core	-1.3361807309856555	0.20813883759512383	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000088	0	HPCLAS_TRAIN_N_000088	0	D_hard_sample	0.45807777517949166	0.612558072038765	1
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000090	0	HPCLAS_TRAIN_N_000090	3	A_clean_core	-1.8369700730923304	0.1374100309183654	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	-0.14928512800115962	0.4627478758728792	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000094	0	HPCLAS_TRAIN_N_000094	4	A_clean_core	-1.5713410978348588	0.17202529166889313	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	-0.3241154998007742	0.41967309775191775	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000096	0	HPCLAS_TRAIN_N_000096	1	A_clean_core	-2.0657648137524682	0.11246910066304368	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000097	0	HPCLAS_TRAIN_N_000097	4	A_clean_core	-0.5060134189693106	0.3761285371653936	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000098	0	HPCLAS_TRAIN_N_000098	1	A_clean_core	-1.4179546990116298	0.19498242251524311	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000099	0	HPCLAS_TRAIN_N_000099	3	A_clean_core	-2.2234307386117123	0.09766604466051723	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000101	0	HPCLAS_TRAIN_N_000101	0	D_hard_sample	-0.5846040014003075	0.35787390246647227	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000102	0	HPCLAS_TRAIN_N_000102	0	D_hard_sample	-0.24737287863360785	0.4384702284901429	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000103	0	HPCLAS_TRAIN_N_000103	1	A_clean_core	-0.628830719637295	0.347775715831277	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000105	0	HPCLAS_TRAIN_N_000105	4	A_clean_core	-2.1788111250503457	0.10166945974300283	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000107	0	HPCLAS_TRAIN_N_000107	0	D_hard_sample	-0.5527213810337108	0.36523325857016925	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000109	0	HPCLAS_TRAIN_N_000109	4	D_hard_sample	-0.7227874658729249	0.3267794595285847	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000110	0	HPCLAS_TRAIN_N_000110	3	D_hard_sample	-0.48749980582617397	0.3804827261227183	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	-1.4680542639463094	0.18723853642267363	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000112	0	HPCLAS_TRAIN_N_000112	3	A_clean_core	-1.9979724040355435	0.11941597101487111	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000113	0	HPCLAS_TRAIN_N_000113	3	A_clean_core	-2.085595681491727	0.11050474794192698	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000114	0	HPCLAS_TRAIN_N_000114	0	A_clean_core	-0.8928781587487378	0.2905162337931743	0
layer36_mean_max	rbf_svm	HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	-1.3690635338841648	0.20277118875631123	0
