representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	0.7746555890003344	0.6845271295853662	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.6044561097234958	0.6466751309395244	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.1987707846327047	0.23169395925510775	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-0.36280757693456617	0.4102801010403556	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.6953452065181062	0.3328450621890997	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	0.2736506148441534	0.5679889051347535	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.05996391800468	0.25731635007387876	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-0.9704541689229816	0.274789985966268	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-1.1692096073268572	0.2369978811775992	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-0.6815120668958812	0.33592390852866366	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-0.7308496291571129	0.3250083098453175	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-0.053862641051044095	0.4865375943229823	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.3777021891632466	0.40668122042466487	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-1.0400516707715988	0.26114002412855924	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-0.7048155188939662	0.33074543137357687	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	0.15840973232271402	0.5395198262543343	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-0.014100609797126018	0.49647490595757215	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	0.45707260814546247	0.6123194880894245	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-0.272801627997249	0.4322194291556186	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-1.596013878441757	0.16853946789082225	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	-0.02748685409583536	0.4931287190905328	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.1764978415660499	0.23568247783015506	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-1.43754589903707	0.19192566785547036	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-1.0944382694087027	0.25078344500231115	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-1.0625079196076874	0.2568304797802992	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.3935898600870115	0.4028534144929002	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	-0.42098113312467556	0.39628199744930354	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-1.4586167116899467	0.188678986733534	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-1.7078702784938897	0.15344015451503534	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-1.9888573588212766	0.12037780082529749	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.2691322875416219	0.5668798704330184	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-1.3421391548965034	0.20715849542004328	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-1.275265060597002	0.21835729287068373	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-1.6397165374521918	0.1625036370671284	0
