representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-2.1339698494631505	0.10583870922248027	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-4.862985307060654	0.007668126286907036	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-2.149592344857627	0.10436932309557444	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	-2.0317725250392886	0.11590716295904578	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	-3.272888510677184	0.03651307468856135	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	-5.278500894111479	0.005074191873855804	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	-2.079235906789202	0.1111314223541399	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000066	0	HPCLAS_TRAIN_N_000066	3	A_clean_core	-3.7617138011898112	0.022715866187091274	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000070	0	HPCLAS_TRAIN_N_000070	3	A_clean_core	-5.4054891736651065	0.004471770016218509	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000073	0	HPCLAS_TRAIN_N_000073	3	A_clean_core	-3.754586280476895	0.022874635555616103	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000075	0	HPCLAS_TRAIN_N_000075	3	D_hard_sample	-4.060992479219016	0.016939999791527282	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000080	0	HPCLAS_TRAIN_N_000080	3	A_clean_core	-4.19206951675948	0.014889911207369872	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000084	0	HPCLAS_TRAIN_N_000084	3	A_clean_core	-4.513100741438693	0.010845495161451188	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000085	0	HPCLAS_TRAIN_N_000085	3	A_clean_core	-5.50074684253356	0.004067111457152527	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000090	0	HPCLAS_TRAIN_N_000090	3	A_clean_core	-3.3859361083380013	0.03273789894531667	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000099	0	HPCLAS_TRAIN_N_000099	3	A_clean_core	-5.680707821557451	0.0033995467675290584	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000110	0	HPCLAS_TRAIN_N_000110	3	D_hard_sample	-1.4016501611529213	0.1975543863571727	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000112	0	HPCLAS_TRAIN_N_000112	3	A_clean_core	-4.28697249200057	0.01356007661887325	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000113	0	HPCLAS_TRAIN_N_000113	3	A_clean_core	-4.909908106274163	0.007319200171182508	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000138	0	HPCLAS_TRAIN_N_000138	3	A_clean_core	-1.3937357181167749	0.19881204037182013	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000141	0	HPCLAS_TRAIN_N_000141	3	A_clean_core	-1.9165383204873694	0.12824808607677007	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000142	0	HPCLAS_TRAIN_N_000142	3	D_hard_sample	-0.393976470405493	0.40276041402639673	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000144	0	HPCLAS_TRAIN_N_000144	3	A_clean_core	-4.912260006025908	0.007302131924469176	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000152	0	HPCLAS_TRAIN_N_000152	3	D_hard_sample	-4.485725446676344	0.011143140886934773	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000153	0	HPCLAS_TRAIN_N_000153	3	A_clean_core	-5.585378779077406	0.0037383008653969992	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000157	0	HPCLAS_TRAIN_N_000157	3	D_hard_sample	-1.3627930362958771	0.20378673567661318	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000159	0	HPCLAS_TRAIN_N_000159	3	D_hard_sample	-1.2968798388925251	0.21469060328086126	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000163	0	HPCLAS_TRAIN_N_000163	3	A_clean_core	-3.5765570219780827	0.027210705603635442	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000174	0	HPCLAS_TRAIN_N_000174	3	D_hard_sample	-0.16304321984708214	0.45932925133245417	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000183	0	HPCLAS_TRAIN_N_000183	3	A_clean_core	-1.6392463421984138	0.16256763901201743	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000186	0	HPCLAS_TRAIN_N_000186	3	A_clean_core	-4.505234826977934	0.010930205169816118	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000189	0	HPCLAS_TRAIN_N_000189	3	D_hard_sample	-0.940211474910389	0.28085762761648314	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000193	0	HPCLAS_TRAIN_N_000193	3	A_clean_core	-4.173493953711283	0.01516485094319141	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000194	0	HPCLAS_TRAIN_N_000194	3	A_clean_core	-4.289371010318657	0.013528030960046754	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000223	0	HPCLAS_TRAIN_N_000223	3	A_clean_core	-5.895700379006453	0.0027437001496445645	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000227	0	HPCLAS_TRAIN_N_000227	3	D_hard_sample	-1.1930578146242872	0.23271249418590081	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000229	0	HPCLAS_TRAIN_N_000229	3	D_hard_sample	-2.5679157575151805	0.07123207036331425	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000251	0	HPCLAS_TRAIN_N_000251	3	D_hard_sample	-1.4523275884597655	0.18964360633841262	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000253	0	HPCLAS_TRAIN_N_000253	3	D_hard_sample	-1.2095866323031528	0.22977419977667746	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000264	0	HPCLAS_TRAIN_N_000264	3	A_clean_core	-5.200448141264575	0.0054838542931358305	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000270	0	HPCLAS_TRAIN_N_000270	3	A_clean_core	-4.528289275480584	0.010683759269245186	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000297	0	HPCLAS_TRAIN_N_000297	3	A_clean_core	-6.267723852680426	0.001892950422519532	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000301	0	HPCLAS_TRAIN_N_000301	3	A_clean_core	-5.746674395399247	0.0031832178526588033	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000306	0	HPCLAS_TRAIN_N_000306	3	D_hard_sample	-3.6251660041146367	0.025953160350950712	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000311	0	HPCLAS_TRAIN_N_000311	3	D_hard_sample	-0.5706043071165497	0.361097395833902	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000314	0	HPCLAS_TRAIN_N_000314	3	A_clean_core	-5.142213421762428	0.005810776047407103	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000329	0	HPCLAS_TRAIN_N_000329	3	D_hard_sample	1.8138146995653224	0.8598222834920992	1
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000335	0	HPCLAS_TRAIN_N_000335	3	A_clean_core	-6.015964891193961	0.0024335567373427454	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000338	0	HPCLAS_TRAIN_N_000338	3	A_clean_core	-4.008168179074861	0.017842504407695997	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000341	0	HPCLAS_TRAIN_N_000341	3	A_clean_core	-5.962515098643168	0.0025668258417930164	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000346	0	HPCLAS_TRAIN_N_000346	3	A_clean_core	-3.3118310476935293	0.035167537418857184	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000347	0	HPCLAS_TRAIN_N_000347	3	A_clean_core	-3.787782818815541	0.022144281968556025	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000352	0	HPCLAS_TRAIN_N_000352	3	A_clean_core	-4.779423230256839	0.008330856703869939	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000358	0	HPCLAS_TRAIN_N_000358	3	A_clean_core	-0.3976725568018984	0.4018716613440107	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000360	0	HPCLAS_TRAIN_N_000360	3	A_clean_core	-4.306288907146153	0.013304109465227929	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000372	0	HPCLAS_TRAIN_N_000372	3	D_hard_sample	-0.5142327460544504	0.37420179643294865	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000378	0	HPCLAS_TRAIN_N_000378	3	A_clean_core	-6.174643788493339	0.002077223417782961	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000379	0	HPCLAS_TRAIN_N_000379	3	A_clean_core	-2.537076808566604	0.0732994885874957	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000380	0	HPCLAS_TRAIN_N_000380	3	D_hard_sample	1.3007204040240496	0.7859562008941032	1
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000394	0	HPCLAS_TRAIN_N_000394	3	A_clean_core	-3.019287054779018	0.046562114835062784	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000418	0	HPCLAS_TRAIN_N_000418	3	A_clean_core	-4.322179535084093	0.013097116660152099	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000425	0	HPCLAS_TRAIN_N_000425	3	A_clean_core	-1.1862978131683752	0.2339217227035858	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000426	0	HPCLAS_TRAIN_N_000426	3	A_clean_core	-3.970017298784848	0.018523510462024502	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000438	0	HPCLAS_TRAIN_N_000438	3	D_hard_sample	-0.6889164420241348	0.33427415944728656	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000439	0	HPCLAS_TRAIN_N_000439	3	A_clean_core	-0.7893568080251129	0.31230679188850086	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000443	0	HPCLAS_TRAIN_N_000443	3	B_ambiguous	-3.2576622848585246	0.037052527918257666	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000444	0	HPCLAS_TRAIN_N_000444	3	A_clean_core	-4.412863561770475	0.011975275632120102	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000446	0	HPCLAS_TRAIN_N_000446	3	D_hard_sample	-2.2365992794796847	0.09651166828722389	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000447	0	HPCLAS_TRAIN_N_000447	3	A_clean_core	-2.8566426282026556	0.054338965288373	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000457	0	HPCLAS_TRAIN_N_000457	3	D_hard_sample	-0.7250263843317845	0.3262871006140685	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000459	0	HPCLAS_TRAIN_N_000459	3	A_clean_core	-4.533628494453711	0.010627472957434518	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000463	0	HPCLAS_TRAIN_N_000463	3	A_clean_core	-4.571114031482224	0.010240474724775302	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000475	0	HPCLAS_TRAIN_N_000475	3	A_clean_core	-4.1687990144679095	0.015235129132282725	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000477	0	HPCLAS_TRAIN_N_000477	3	A_clean_core	-2.060916312713306	0.11295398720180251	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000481	0	HPCLAS_TRAIN_N_000481	3	A_clean_core	-1.2735030784705152	0.21865817260691822	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000492	0	HPCLAS_TRAIN_N_000492	3	D_hard_sample	-1.6723637471069843	0.15810928438853888	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000494	0	HPCLAS_TRAIN_N_000494	3	D_hard_sample	-0.6539402240437932	0.34210216696859025	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000495	0	HPCLAS_TRAIN_N_000495	3	A_clean_core	-4.285837631369637	0.013575265125768881	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000500	0	HPCLAS_TRAIN_N_000500	3	A_clean_core	-4.559421396922805	0.010359667889276038	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000501	0	HPCLAS_TRAIN_N_000501	3	A_clean_core	-4.05955096539981	0.016964022096815502	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000505	0	HPCLAS_TRAIN_N_000505	3	A_clean_core	-6.146441728223258	0.002136512341990235	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000509	0	HPCLAS_TRAIN_N_000509	3	D_hard_sample	-1.8991545590270604	0.13020419151861232	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000510	0	HPCLAS_TRAIN_N_000510	3	A_clean_core	-2.0224949794204563	0.11686125102976583	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000511	0	HPCLAS_TRAIN_N_000511	3	A_clean_core	-6.36397627832017	0.0017195420038719485	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000512	0	HPCLAS_TRAIN_N_000512	3	A_clean_core	-5.0205666749713735	0.006557500497652028	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000524	0	HPCLAS_TRAIN_N_000524	3	A_clean_core	-6.229363202706549	0.0019668303923627882	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000532	0	HPCLAS_TRAIN_P_006028	3	B_ambiguous	-4.68043925287047	0.009189704995817503	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000546	0	HPCLAS_TRAIN_N_000546	3	A_clean_core	-3.3120966318976914	0.03515852705159688	0
