representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-5.5408398006638855	0.003907899132754997	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-1.7689958844225158	0.14566724495778918	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-2.613373517139435	0.06828266724521076	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-6.360028582874584	0.0017263319066905328	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-5.197903644025305	0.005497748901469308	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-2.7204469792063324	0.06177755378743004	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-4.799308743173021	0.008168169432547678	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-4.831664301305234	0.007910170651226347	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	-0.20456805675380924	0.44903559223332257	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-3.2820231596352367	0.03619307595776899	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-5.446936980979483	0.004290992562420768	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000055	0	HPCLAS_TRAIN_N_000055	1	A_clean_core	-5.846020028040069	0.002883047916956497	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000056	0	HPCLAS_TRAIN_N_000056	1	A_clean_core	-4.03852796242395	0.017318190312063532	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000067	0	HPCLAS_TRAIN_N_000067	1	A_clean_core	-4.354480906615175	0.012686102640528956	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000072	0	HPCLAS_TRAIN_N_000072	1	A_clean_core	-6.6365326210105	0.0013098491137760473	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000082	0	HPCLAS_TRAIN_N_000082	1	A_clean_core	-3.8953037647635975	0.01993183809359729	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000096	0	HPCLAS_TRAIN_N_000096	1	A_clean_core	-5.705084111235413	0.003317951914087422	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000098	0	HPCLAS_TRAIN_N_000098	1	A_clean_core	-4.928375722333659	0.007186234897645163	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000103	0	HPCLAS_TRAIN_N_000103	1	A_clean_core	-3.7698094123030645	0.02253683751716035	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000116	0	HPCLAS_TRAIN_N_000116	1	A_clean_core	-3.4859675820062077	0.029714143468928193	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000117	0	HPCLAS_TRAIN_N_000117	1	A_clean_core	-4.26905412483239	0.013801857240148095	0
layers24_30_36_concat	catboost	HPCLAS_TRAIN_N_000123	0	HPCLAS_TRAIN_N_000123	1	A_clean_core	-5.400113423303525	0.004495765500336712	0
