representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-2.5149548261296175	0.07481641840449176	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-4.2098087653566445	0.014631935105372052	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	0.11731456866587894	0.5292950516005278	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.558290444433855	0.010371269227684238	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-5.173811293363392	0.005631056135962073	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-2.064616425863058	0.11258378354023306	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-6.541847759240198	0.0014397460390631893	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	1.4650683967932034	0.8123066491200096	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-3.973966485578697	0.018451849058879182	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-6.408715433267831	0.0016444303981903306	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-6.702589017442463	0.001226223701527651	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-2.8271628952927554	0.05587387238438798	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-5.069884886082282	0.006243911982208739	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-4.771599583269372	0.008395740654513617	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	-3.6104197043054502	0.026328558212890606	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-4.9139373976613445	0.007289982873275682	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-2.0834831757461756	0.11071256433321487	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-1.2321004333972798	0.22581401220871725	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	-4.015103539313147	0.01772137365742267	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	-1.4496548034345649	0.1900546977870184	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	-0.5751241348285323	0.36005530017918536	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	-3.982094529443433	0.018305213725907755	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	-3.690369994309679	0.024354801094545124	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000118	0	HPCLAS_TRAIN_N_000118	2	A_clean_core	-2.3991189787627403	0.08323990344384445	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000119	0	HPCLAS_TRAIN_N_000119	2	A_clean_core	-5.528979912144314	0.003954337943364831	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000129	0	HPCLAS_TRAIN_N_000129	2	A_clean_core	-0.89191667061008	0.2907144523219547	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000131	0	HPCLAS_TRAIN_N_000131	2	A_clean_core	-4.801256222961259	0.008152407124192837	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000132	0	HPCLAS_TRAIN_N_000132	2	D_hard_sample	-3.0970000046459485	0.04323117156460152	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000151	0	HPCLAS_TRAIN_N_000151	2	A_clean_core	-4.5669882804828354	0.010282376325164438	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000154	0	HPCLAS_TRAIN_N_000154	2	D_hard_sample	-0.6692257343532961	0.3386702335019362	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000178	0	HPCLAS_TRAIN_N_000178	2	A_clean_core	-1.8903663239939905	0.1312027070535563	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000182	0	HPCLAS_TRAIN_N_000182	2	D_hard_sample	-3.9969854753005416	0.01803953206513165	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000190	0	HPCLAS_TRAIN_N_000190	2	A_clean_core	-4.764256744970413	0.008457092826772702	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000222	0	HPCLAS_TRAIN_N_000222	2	A_clean_core	-1.5698566440794042	0.17223682921406894	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000228	0	HPCLAS_TRAIN_N_000228	2	A_clean_core	-4.238655524699456	0.014221797990516562	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000236	0	HPCLAS_TRAIN_N_000236	2	B_ambiguous	2.248149688838094	0.9044908115193135	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000239	0	HPCLAS_TRAIN_N_000239	2	A_clean_core	-4.081945979320734	0.016594569410620704	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000242	0	HPCLAS_TRAIN_N_000242	2	D_hard_sample	-0.7363817489736494	0.3237958618038901	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000265	0	HPCLAS_TRAIN_N_000265	2	D_hard_sample	0.3947247054591004	0.5974195566699945	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000269	0	HPCLAS_TRAIN_N_000269	2	A_clean_core	-0.7395839587978474	0.3230951272159611	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000275	0	HPCLAS_TRAIN_N_000275	2	B_ambiguous	-3.6046351669973866	0.026477253946745057	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000291	0	HPCLAS_TRAIN_N_000291	2	A_clean_core	-7.70382272505353	0.0004508960545272758	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000294	0	HPCLAS_TRAIN_N_000294	2	A_clean_core	-4.6842903653579935	0.00915470583468034	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000295	0	HPCLAS_TRAIN_N_000295	2	A_clean_core	-7.109894938462562	0.0008163139080507196	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000298	0	HPCLAS_TRAIN_N_000298	2	A_clean_core	-5.71587305686553	0.003282463997151679	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000302	0	HPCLAS_TRAIN_N_000302	2	D_hard_sample	-0.4867202780819706	0.3806664901006595	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000303	0	HPCLAS_TRAIN_N_000303	2	A_clean_core	-1.0866493463737688	0.25224975326682453	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000304	0	HPCLAS_TRAIN_N_000304	2	A_clean_core	-2.9206752888633574	0.05114092223395158	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000312	0	HPCLAS_TRAIN_N_000312	2	A_clean_core	-6.697851109663045	0.0012320400462886947	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000320	0	HPCLAS_TRAIN_N_000320	2	A_clean_core	-7.102257505941097	0.0008225671711511422	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000325	0	HPCLAS_TRAIN_N_000325	2	B_ambiguous	1.2591833340934824	0.7788854912572452	1
