representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	1.3678626277204464	0.7970346094214237	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.03994479365983703	0.5099848708064751	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-0.5243205890063349	0.37184249174855566	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-1.5072145669937707	0.1813519610990221	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	0.30447884703039174	0.5755370414326161	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	1.0358327388909618	0.7380451302734331	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.573466834750639	0.01021665509308789	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-2.1572713953976907	0.10365369100084285	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-2.423423926198983	0.0814038563812044	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-1.1893893514222786	0.23336816757273915	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-1.4669996081726733	0.18739908716348685	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-0.3763180944209591	0.4070152339555708	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-1.5273355678074592	0.17838385853564312	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-1.881849721223119	0.13217655518486948	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-0.60240203601272	0.3537943382575678	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	0.5000302036802304	0.622466429152577	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-0.2701817640652564	0.4328624727658134	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	0.048784214555484234	0.5121936354324572	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	0.6878052612854235	0.6654785184880331	1
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-1.8164494821474197	0.13986045259898597	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	-0.3295777835865112	0.41834335846042514	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-2.658429089964956	0.06547138378597059	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-3.7145827910728864	0.023786043219747133	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-2.0118579813209823	0.11796352106637989	0
layers24_30_36_fixed_mean	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-1.4619892825507668	0.18816325817333254	0
