representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-0.6240983365278214	0.348849923562938	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.32510977022938414	0.580569035055274	1
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.2032777178065925	0.2308926419988048	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-1.2091880625432014	0.22984474545949393	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-1.17082371801131	0.23670612564516008	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.043021882481326046	0.48924618799859304	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.2196146842902782	0.22800426608920216	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-2.590366842568898	0.06976097309798263	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-1.81663338251658	0.1398383309405249	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-1.6697084746245605	0.1584630506155335	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-0.5243971916441739	0.3718245994130563	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-1.8782760257624527	0.13258701829945035	0
streamed_layer36_mean	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.2022914292174709	0.44959890098709365	0
