homology_group	records	negative_records	positive_records	member_ids
HPCLAS_TRAIN_N_000535	3	1	2	HPCLAS_TRAIN_N_000535;HPCLAS_TRAIN_P_000782;HPCLAS_TRAIN_P_003599
HPCLAS_TRAIN_N_002087	3	1	2	HPCLAS_TRAIN_N_002087;HPCLAS_TRAIN_P_000113;HPCLAS_TRAIN_P_002652
HPCLAS_TRAIN_N_002503	3	1	2	HPCLAS_TRAIN_N_002503;HPCLAS_TRAIN_P_005729;HPCLAS_TRAIN_P_006813
HPCLAS_TRAIN_N_004968	3	2	1	HPCLAS_TRAIN_N_000202;HPCLAS_TRAIN_N_004968;HPCLAS_TRAIN_P_001708
HPCLAS_TRAIN_N_005070	3	2	1	HPCLAS_TRAIN_N_004303;HPCLAS_TRAIN_N_005070;HPCLAS_TRAIN_P_007152
HPCLAS_TRAIN_P_001050	3	2	1	HPCLAS_TRAIN_N_001109;HPCLAS_TRAIN_N_001481;HPCLAS_TRAIN_P_001050
HPCLAS_TRAIN_P_001569	3	2	1	HPCLAS_TRAIN_N_000049;HPCLAS_TRAIN_N_005002;HPCLAS_TRAIN_P_001569
HPCLAS_TRAIN_P_001674	3	2	1	HPCLAS_TRAIN_N_003642;HPCLAS_TRAIN_N_004111;HPCLAS_TRAIN_P_001674
HPCLAS_TRAIN_P_003186	3	2	1	HPCLAS_TRAIN_N_003055;HPCLAS_TRAIN_N_004344;HPCLAS_TRAIN_P_003186
HPCLAS_TRAIN_N_000093	2	1	1	HPCLAS_TRAIN_N_000093;HPCLAS_TRAIN_P_002306
HPCLAS_TRAIN_N_000198	2	1	1	HPCLAS_TRAIN_N_000198;HPCLAS_TRAIN_P_005529
HPCLAS_TRAIN_N_000210	2	1	1	HPCLAS_TRAIN_N_000210;HPCLAS_TRAIN_P_006829
HPCLAS_TRAIN_N_000237	2	1	1	HPCLAS_TRAIN_N_000237;HPCLAS_TRAIN_P_006498
HPCLAS_TRAIN_N_000275	2	1	1	HPCLAS_TRAIN_N_000275;HPCLAS_TRAIN_P_000845
HPCLAS_TRAIN_N_000277	2	1	1	HPCLAS_TRAIN_N_000277;HPCLAS_TRAIN_P_004856
HPCLAS_TRAIN_N_000351	2	1	1	HPCLAS_TRAIN_N_000351;HPCLAS_TRAIN_P_007011
HPCLAS_TRAIN_N_000443	2	1	1	HPCLAS_TRAIN_N_000443;HPCLAS_TRAIN_P_006357
HPCLAS_TRAIN_N_000458	2	1	1	HPCLAS_TRAIN_N_000458;HPCLAS_TRAIN_P_001279
HPCLAS_TRAIN_N_000464	2	1	1	HPCLAS_TRAIN_N_000464;HPCLAS_TRAIN_P_002493
