clean_id	label	fold	homology_group	ESMCHalo	DeepSaltPro
HPCLAS_TRAIN_N_000001	0	4	HPCLAS_TRAIN_N_000001	-1.486267328262329	-0.7683322104944428
HPCLAS_TRAIN_N_000002	0	4	HPCLAS_TRAIN_N_000002	1.4332212209701538	2.003015763842648
HPCLAS_TRAIN_N_000003	0	2	HPCLAS_TRAIN_N_000003	-2.487292766571045	-3.5027927601262965
HPCLAS_TRAIN_N_000004	0	2	HPCLAS_TRAIN_N_000004	-2.6891040802001958	-3.0823769666329928
HPCLAS_TRAIN_N_000005	0	3	HPCLAS_TRAIN_N_000005	-1.1044069528579712	-0.9633590292771032
HPCLAS_TRAIN_N_000006	0	2	HPCLAS_TRAIN_N_000006	-0.2450699210166931	-0.2025646654486284
HPCLAS_TRAIN_N_000007	0	2	HPCLAS_TRAIN_N_000007	-2.2583200931549072	-2.581399457916582
HPCLAS_TRAIN_N_000009	0	3	HPCLAS_TRAIN_N_000009	-2.2977099418640137	-1.5675697387492986
HPCLAS_TRAIN_N_000010	0	2	HPCLAS_TRAIN_N_000010	-3.0982041358947754	-3.165329507749276
HPCLAS_TRAIN_N_000012	0	1	HPCLAS_TRAIN_N_000012	-2.7862658500671387	-3.265044906623668
HPCLAS_TRAIN_N_000013	0	1	HPCLAS_TRAIN_N_000013	-2.176792860031128	-2.3591361134319166
HPCLAS_TRAIN_N_000014	0	4	HPCLAS_TRAIN_N_000014	-3.154707431793213	-2.162537814080148
HPCLAS_TRAIN_N_000015	0	2	HPCLAS_TRAIN_N_000015	-0.2216897308826446	-0.7688677212869881
HPCLAS_TRAIN_N_000016	0	0	HPCLAS_TRAIN_N_000016	-2.614297389984131	-2.787128456038448
HPCLAS_TRAIN_N_000017	0	1	HPCLAS_TRAIN_N_000017	-1.8889939785003664	-2.297764052080107
HPCLAS_TRAIN_N_000018	0	1	HPCLAS_TRAIN_N_000018	-2.656390905380249	-3.99851412394299
HPCLAS_TRAIN_N_000019	0	1	HPCLAS_TRAIN_P_002956	-2.5560901165008545	-3.1853690255796043
HPCLAS_TRAIN_N_000020	0	2	HPCLAS_TRAIN_N_000020	-2.98290491104126	-2.3982782232987487
HPCLAS_TRAIN_N_000021	0	1	HPCLAS_TRAIN_N_000021	-2.227299451828003	-0.0313423300827139
HPCLAS_TRAIN_N_000022	0	1	HPCLAS_TRAIN_N_000022	-3.09277892112732	-2.266001269595605
HPCLAS_TRAIN_N_000023	0	2	HPCLAS_TRAIN_N_000023	1.1258817911148071	-0.3549560534549026
HPCLAS_TRAIN_N_000024	0	2	HPCLAS_TRAIN_N_000024	-2.6239676475524902	-2.8485699505378084
HPCLAS_TRAIN_N_000025	0	2	HPCLAS_TRAIN_N_000025	-3.288936138153076	-3.629721319759809
HPCLAS_TRAIN_N_000026	0	0	HPCLAS_TRAIN_N_000026	-3.010028600692749	-2.256240182115824
HPCLAS_TRAIN_N_000027	0	2	HPCLAS_TRAIN_N_000027	-3.081009864807129	-4.585918900311893
HPCLAS_TRAIN_N_000028	0	0	HPCLAS_TRAIN_N_000028	-1.1543757915496826	-0.9460567940931542
HPCLAS_TRAIN_N_000030	0	4	HPCLAS_TRAIN_N_000030	0.4611537158489227	0.0394488464076143
HPCLAS_TRAIN_N_000031	0	0	HPCLAS_TRAIN_N_000031	-2.7797107696533203	-2.432187364290284
HPCLAS_TRAIN_N_000032	0	1	HPCLAS_TRAIN_N_000032	-2.3268673419952397	-2.4923394004989703
HPCLAS_TRAIN_N_000033	0	2	HPCLAS_TRAIN_N_000033	-2.2415599822998047	-2.5931189369394576
HPCLAS_TRAIN_N_000034	0	1	HPCLAS_TRAIN_N_000034	0.514049768447876	0.2080760540370933
HPCLAS_TRAIN_N_000035	0	3	HPCLAS_TRAIN_N_000035	-2.558462619781494	-2.0008683941575565
HPCLAS_TRAIN_N_000036	0	1	HPCLAS_TRAIN_N_000036	-2.1415393352508545	-1.1261845051703323
HPCLAS_TRAIN_N_000037	0	1	HPCLAS_TRAIN_N_000037	-3.005638599395752	-2.566181678488462
HPCLAS_TRAIN_N_000038	0	3	HPCLAS_TRAIN_N_000038	-1.790690302848816	-2.188535232905444
HPCLAS_TRAIN_N_000039	0	4	HPCLAS_TRAIN_N_000039	-3.037198066711426	-1.9812690037424536
HPCLAS_TRAIN_N_000040	0	2	HPCLAS_TRAIN_N_000040	-1.9032695293426516	-2.535767764216514
HPCLAS_TRAIN_N_000041	0	4	HPCLAS_TRAIN_N_000041	-2.496616840362549	-1.071145639531475
HPCLAS_TRAIN_N_000042	0	0	HPCLAS_TRAIN_N_000042	-3.078132152557373	-2.643034990027592
