positive_clean_id	positive_fold	positive_homology_group	negative_clean_id	negative_fold	negative_homology_group	negative_quality_tier	negative_mean_label_support	aac_physchem_scaled_distance	pair_status
HPCLAS_TRAIN_P_000001	2	HPCLAS_TRAIN_P_000001	HPCLAS_TRAIN_N_001168	3	HPCLAS_TRAIN_N_001168	D_hard_sample	0.6864893265683628	3.2086885550935866	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000001	2	HPCLAS_TRAIN_P_000001	HPCLAS_TRAIN_N_003031	0	HPCLAS_TRAIN_N_003031	D_hard_sample	0.7416846140938255	3.311848312846823	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000001	2	HPCLAS_TRAIN_P_000001	HPCLAS_TRAIN_N_002183	1	HPCLAS_TRAIN_N_002183	D_hard_sample	0.47538866677300246	3.6192874649101356	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000002	1	HPCLAS_TRAIN_P_000002	HPCLAS_TRAIN_N_002204	0	HPCLAS_TRAIN_N_002204	D_hard_sample	0.7017152047420124	3.208860467531397	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000002	1	HPCLAS_TRAIN_P_000002	HPCLAS_TRAIN_N_004064	1	HPCLAS_TRAIN_N_004064	B_ambiguous	0.9919380920577009	3.491048187189158	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000002	1	HPCLAS_TRAIN_P_000002	HPCLAS_TRAIN_N_000585	0	HPCLAS_TRAIN_N_000585	B_ambiguous	0.11007654957506703	3.517617859593362	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000003	3	HPCLAS_TRAIN_P_000003	HPCLAS_TRAIN_N_003972	1	HPCLAS_TRAIN_N_003972	D_hard_sample	0.3534912161968176	4.126367718864535	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000003	3	HPCLAS_TRAIN_P_000003	HPCLAS_TRAIN_N_001598	3	HPCLAS_TRAIN_N_001598	B_ambiguous	0.07078353677263897	4.74755706165352	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000003	3	HPCLAS_TRAIN_P_000003	HPCLAS_TRAIN_N_003155	2	HPCLAS_TRAIN_N_003155	D_hard_sample	0.7615246460248256	5.267738933574832	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000004	0	HPCLAS_TRAIN_P_000004	HPCLAS_TRAIN_N_002204	0	HPCLAS_TRAIN_N_002204	D_hard_sample	0.7017152047420124	6.201623383472037	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000004	0	HPCLAS_TRAIN_P_000004	HPCLAS_TRAIN_N_002495	2	HPCLAS_TRAIN_N_002495	D_hard_sample	0.4085988576219009	6.578202956151928	CANDIDATE_NOT_YET_USED
