utc	arm	fold	state	selected_epochs	best_inner_ap
2026-09-13T11:55:19.228178+00:00	Mixup	0	PASS	16	0.9897653432239436
2026-09-13T11:55:24.848361+00:00	Mixup	1	PASS	10	0.9905888666072262
2026-09-13T11:55:34.025495+00:00	Mixup	2	PASS	21	0.991529058745994
2026-09-13T11:55:40.593506+00:00	Mixup	3	PASS	13	0.9894448260090586
2026-09-13T11:55:45.982559+00:00	Mixup	4	PASS	9	0.9867726285197149
2026-09-13T11:55:53.595164+00:00	Focal	0	PASS	16	0.9893848815792534
2026-09-13T11:55:58.443975+00:00	Focal	1	PASS	8	0.9907172276739793
2026-09-13T11:56:04.146582+00:00	Focal	2	PASS	11	0.9911438606683749
2026-09-13T11:56:10.118707+00:00	Focal	3	PASS	11	0.9896362805474896
2026-09-13T11:56:18.214143+00:00	Focal	4	PASS	17	0.9869497761158408
