embedding_row	input_index	clean_id	label	split	cluster_id	sequence_length	record_file
0	0	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	0	existing_challenge	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	289	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/ec/ece37366c96c228d34868d51c72fadefd2404a0bf8d6fc3e99385fb4927fa319.npy
1	1	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	0	existing_challenge	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	75	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/7d/7d030053c1af7bc91bedeab510f76aefebaf94eab1b18724672bbf314fa24962.npy
2	2	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	0	existing_challenge	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	394	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/01/01a653dddac6afb63b40c7659456b3c2ad3ec96dc88d9b9e9d046039a8787c30.npy
3	3	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	0	existing_challenge	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	166	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/75/7502019bebde09de811e83a893d9357a14c71e882e4e9d83ed2cffc4ba74f350.npy
4	4	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	0	existing_challenge	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	141	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/f2/f226ed65e27c5fb934be58b75abcb591c6fd5907349b42df333af70a7960389d.npy
5	5	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	0	existing_challenge	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	118	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/c4/c490a93a94ad195b9b56666db12fe97a2c952a79282c1500946c49ac973ff0ba.npy
6	6	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	0	existing_challenge	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	86	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/55/55aac094e4a073aae8f0c52d6b7888477575b8b59b6432aba55b100869ed4225.npy
7	7	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	0	existing_challenge	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	542	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/8c/8c91357347ed8ea643727ea2d71740a7a9878f5b2b28383138da50798ed377d4.npy
8	8	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	0	existing_challenge	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	282	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/2e/2ecbdb65045cc850940bb0f1ac070e19f28a7f0e24cbd5b0c707832f330749f2.npy
9	9	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	0	existing_challenge	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	265	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/57/5727dea0e8800d73b6773b103d074cebb648aaf565bb2f458aa7998e5423474d.npy
