representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-1.6980435063982195	0.15472096717420963	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.5124549142089667	0.6253817871078544	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-3.2448905949926035	0.037510921265965516	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-3.32807789346674	0.03462041319168807	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-1.310752336988729	0.21236097815246208	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.5140132366477329	0.37425320142627977	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.30872199596772	0.013272207833126947	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-5.105543898635671	0.00602650141763348	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-5.037087744840586	0.0064507466994518075	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-5.458503954206433	0.004241854045480095	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-1.5225571002073648	0.1790852819930711	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-5.507935980325888	0.004038094929309425	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-1.1111715800173978	0.24765253435478418	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-5.142183102810024	0.005810951202950894	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-2.1257477505159965	0.106619348511901	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-6.3010366941863545	0.0018310432075087594	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-5.295361377191066	0.004989779059931432	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-6.686118331207005	0.0012465623064661952	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-2.7561983388315467	0.059737544309599364	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-4.826882721989217	0.007947783001295724	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	1.428460077673225	0.8066612646305704	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-3.757851599675967	0.022801764738859927	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-5.7284499356607546	0.0032415723512817223	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-4.955230801383316	0.006997148676059771	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-6.1602284543904196	0.0021073205952725454	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.5995090519392328	0.35445602298376055	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	1.0515381740552712	0.7410701614107753	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-4.950794484467004	0.007028040556111223	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-4.614740691156788	0.00980760952880224	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-3.7020478359086657	0.024078852267219536	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.2295759896156964	0.5571432390810226	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-2.400020614272904	0.08317112456606861	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-2.6531595972727944	0.06579453626203538	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-5.635644507707488	0.003555688609479976	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	-2.2618531792142282	0.09433192645507299	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000039	0	HPCLAS_TRAIN_N_000039	4	A_clean_core	-1.9062327849756178	0.12940467100845596	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-4.540521765247441	0.010555237420180616	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000041	0	HPCLAS_TRAIN_N_000041	4	A_clean_core	-4.149789089127868	0.015522979392513707	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	A_clean_core	-5.924343029438333	0.0026664346783177332	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000043	0	HPCLAS_TRAIN_N_000043	4	A_clean_core	-2.737366644523608	0.06080411246155427	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000044	0	HPCLAS_TRAIN_N_000044	4	A_clean_core	-2.641102476615655	0.06653952579594662	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	-2.6163738332919624	0.06809203376609989	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000046	0	HPCLAS_TRAIN_N_000046	4	A_clean_core	0.950376665469628	0.7211909221821692	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	-5.409280307238845	0.00445492441559204	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	-0.4164366444395054	0.39736974346061876	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	B_ambiguous	1.8289249492289361	0.8616336078775634	1
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000051	0	HPCLAS_TRAIN_P_003059	4	B_ambiguous	-5.65885321535199	0.0034743993478604574	0
layer36_mean_max	catboost	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-4.750096452881072	0.008576665225760812	0
