utc	candidate	fold	state	selected_epochs	best_inner_ap
2026-09-03T07:55:54.420287+00:00	K0	0	PASS	5	0.9871490578489128
2026-09-03T07:55:56.865077+00:00	K0	1	PASS	7	0.9888081074354285
2026-09-03T07:55:58.818679+00:00	K0	2	PASS	4	0.9896738822377945
2026-09-03T07:56:00.683904+00:00	K0	3	PASS	4	0.9887728511960622
2026-09-03T07:56:04.556451+00:00	K0	4	PASS	14	0.984754225444156
2026-09-03T07:56:07.682630+00:00	K1	0	PASS	10	0.9893436525964994
2026-09-03T07:56:10.710919+00:00	K1	1	PASS	9	0.9903202337819554
2026-09-03T07:56:16.935593+00:00	K1	2	PASS	25	0.99072935179831
2026-09-03T07:56:20.273585+00:00	K1	3	PASS	11	0.9892877829550759
2026-09-03T07:56:26.900073+00:00	K1	4	PASS	27	0.9856552186047624
2026-09-03T07:56:31.325507+00:00	K2	0	PASS	16	0.9898626058579106
2026-09-03T07:56:34.046000+00:00	K2	1	PASS	8	0.9907103082918552
2026-09-03T07:56:37.473158+00:00	K2	2	PASS	11	0.9912479346887558
2026-09-03T07:56:42.698899+00:00	K2	3	PASS	20	0.98974513685486
2026-09-03T07:56:47.333521+00:00	K2	4	PASS	17	0.9871735081059687
2026-09-03T07:56:52.075922+00:00	K3	0	PASS	18	0.9895218775105818
2026-09-03T07:56:55.096925+00:00	K3	1	PASS	9	0.9902479792710444
2026-09-03T07:56:59.328215+00:00	K3	2	PASS	15	0.9910495812899022
2026-09-03T07:57:04.480762+00:00	K3	3	PASS	20	0.9898298893552828
2026-09-03T07:57:09.120031+00:00	K3	4	PASS	17	0.9861967054564522
2026-09-03T07:57:15.239595+00:00	K4	0	PASS	20	0.9891706826096418
2026-09-03T07:57:18.351445+00:00	K4	1	PASS	8	0.9906529491237516
2026-09-03T07:57:21.556750+00:00	K4	2	PASS	8	0.9910862210053185
2026-09-03T07:57:26.610440+00:00	K4	3	PASS	16	0.9897398206540567
2026-09-03T07:57:33.303019+00:00	K4	4	PASS	23	0.9871180156592805
2026-09-03T07:57:39.990713+00:00	K5	0	PASS	23	0.9890999397390714
2026-09-03T07:57:43.341820+00:00	K5	1	PASS	9	0.990823738836671
2026-09-03T07:57:49.567341+00:00	K5	2	PASS	21	0.9909788550291208
2026-09-03T07:57:54.404968+00:00	K5	3	PASS	15	0.9902041006578116
2026-09-03T07:57:58.219768+00:00	K5	4	PASS	11	0.9860074329168713
