representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.6953452065181062	0.3328450621890997	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-0.9704541689229816	0.274789985966268	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-1.3421391548965034	0.20715849542004328	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	0.8003103359790098	0.6900408610886776	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	-1.0555189056987238	0.2581667285074444	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	-0.6670892664399677	0.3391489088084618	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	-0.95555978939704	0.2777680791658495	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000066	0	HPCLAS_TRAIN_N_000066	3	A_clean_core	0.48093174012288403	0.6179678674798487	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000070	0	HPCLAS_TRAIN_N_000070	3	A_clean_core	-1.7854866636586983	0.14362696359397278	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000073	0	HPCLAS_TRAIN_N_000073	3	A_clean_core	-0.18348106845383866	0.4542579874989111	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000075	0	HPCLAS_TRAIN_N_000075	3	D_hard_sample	-0.8809192520707795	0.2929873235155145	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000080	0	HPCLAS_TRAIN_N_000080	3	A_clean_core	-0.896591509218695	0.28975144659561564	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000084	0	HPCLAS_TRAIN_N_000084	3	A_clean_core	-1.3883288919423302	0.1996746737465157	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000085	0	HPCLAS_TRAIN_N_000085	3	A_clean_core	-1.139749888698706	0.2423662846917354	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000090	0	HPCLAS_TRAIN_N_000090	3	A_clean_core	-1.2917423639302341	0.21555804366070286	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000099	0	HPCLAS_TRAIN_N_000099	3	A_clean_core	0.9000785581713062	0.710965646085817	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000110	0	HPCLAS_TRAIN_N_000110	3	D_hard_sample	0.5171014293723526	0.6264697341443913	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000112	0	HPCLAS_TRAIN_N_000112	3	A_clean_core	-1.276947525486805	0.218070270236581	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000113	0	HPCLAS_TRAIN_N_000113	3	A_clean_core	-2.013394990619547	0.11780369200704034	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000138	0	HPCLAS_TRAIN_N_000138	3	A_clean_core	-1.2286169205760724	0.22642358864933043	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000141	0	HPCLAS_TRAIN_N_000141	3	A_clean_core	-1.3388309778749794	0.20770236955487717	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000142	0	HPCLAS_TRAIN_N_000142	3	D_hard_sample	-0.23954445400237384	0.44039861593471225	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000144	0	HPCLAS_TRAIN_N_000144	3	A_clean_core	0.4482703853007965	0.6102279239502146	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000152	0	HPCLAS_TRAIN_N_000152	3	D_hard_sample	-0.11721349434450616	0.47073013031236954	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000153	0	HPCLAS_TRAIN_N_000153	3	A_clean_core	-1.2392304342152827	0.22456996820081393	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000157	0	HPCLAS_TRAIN_N_000157	3	D_hard_sample	-0.8089672820535254	0.30811060528170164	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000159	0	HPCLAS_TRAIN_N_000159	3	D_hard_sample	-0.7175225348810454	0.32793877075686445	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000163	0	HPCLAS_TRAIN_N_000163	3	A_clean_core	-1.2503457292964446	0.22264029716674769	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000174	0	HPCLAS_TRAIN_N_000174	3	D_hard_sample	-0.28431468581176195	0.4293962923104137	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000183	0	HPCLAS_TRAIN_N_000183	3	A_clean_core	-1.0349781595253833	0.26212012302172016	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000186	0	HPCLAS_TRAIN_N_000186	3	A_clean_core	-0.11453962974184394	0.47139635744010105	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000189	0	HPCLAS_TRAIN_N_000189	3	D_hard_sample	-0.7832859007315625	0.31361213167891105	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000193	0	HPCLAS_TRAIN_N_000193	3	A_clean_core	0.35597314045713874	0.5880652965952635	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000194	0	HPCLAS_TRAIN_N_000194	3	A_clean_core	-1.2525548497102756	0.22225819544977313	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000223	0	HPCLAS_TRAIN_N_000223	3	A_clean_core	0.12231458588756529	0.5305405798563599	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000227	0	HPCLAS_TRAIN_N_000227	3	D_hard_sample	-1.4166869209782509	0.19518149533190476	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000229	0	HPCLAS_TRAIN_N_000229	3	D_hard_sample	0.9699156033184111	0.7251026754213802	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000251	0	HPCLAS_TRAIN_N_000251	3	D_hard_sample	-1.0316805845577102	0.26275841754705437	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000253	0	HPCLAS_TRAIN_N_000253	3	D_hard_sample	0.2510846291268698	0.5624434470524465	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000264	0	HPCLAS_TRAIN_N_000264	3	A_clean_core	-1.0665817732005056	0.256053679713077	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000270	0	HPCLAS_TRAIN_N_000270	3	A_clean_core	-0.1894705069226038	0.45277357089540915	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000297	0	HPCLAS_TRAIN_N_000297	3	A_clean_core	-1.5181399572097316	0.17973558348396224	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000301	0	HPCLAS_TRAIN_N_000301	3	A_clean_core	-2.333665296613234	0.08837292954323875	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000306	0	HPCLAS_TRAIN_N_000306	3	D_hard_sample	-0.494078251892796	0.3789333074207771	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000311	0	HPCLAS_TRAIN_N_000311	3	D_hard_sample	0.08495004210631953	0.5212247480116038	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000314	0	HPCLAS_TRAIN_N_000314	3	A_clean_core	-0.6534910599326408	0.3422032667284771	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000329	0	HPCLAS_TRAIN_N_000329	3	D_hard_sample	-0.3478094236809151	0.4139137307331604	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000335	0	HPCLAS_TRAIN_N_000335	3	A_clean_core	-1.4145465392874552	0.19551793801974449	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000338	0	HPCLAS_TRAIN_N_000338	3	A_clean_core	-0.04020934146018822	0.4899490187932444	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000341	0	HPCLAS_TRAIN_N_000341	3	A_clean_core	0.31576252390052834	0.5782912010530054	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000346	0	HPCLAS_TRAIN_N_000346	3	A_clean_core	-0.5925172100870644	0.3560574980862586	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000347	0	HPCLAS_TRAIN_N_000347	3	A_clean_core	0.5062094006352281	0.6239174499645473	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000352	0	HPCLAS_TRAIN_N_000352	3	A_clean_core	-0.8468533735281504	0.3000933505374817	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000358	0	HPCLAS_TRAIN_N_000358	3	A_clean_core	-0.9609795376848405	0.2766821179814329	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000360	0	HPCLAS_TRAIN_N_000360	3	A_clean_core	-1.0264062866761607	0.263781413397222	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000372	0	HPCLAS_TRAIN_N_000372	3	D_hard_sample	-1.1508184346052501	0.24033962438004153	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000378	0	HPCLAS_TRAIN_N_000378	3	A_clean_core	-0.8562478561592851	0.298123871679489	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000379	0	HPCLAS_TRAIN_N_000379	3	A_clean_core	-0.9799124297485162	0.272909159856447	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000380	0	HPCLAS_TRAIN_N_000380	3	D_hard_sample	0.6932187137659845	0.6666825627451524	1
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000394	0	HPCLAS_TRAIN_N_000394	3	A_clean_core	-0.8749252567357708	0.2942304930290522	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000418	0	HPCLAS_TRAIN_N_000418	3	A_clean_core	-1.0203364560265424	0.2649618681596721	0
layers24_30_36_fixed_mean	rbf_svm	HPCLAS_TRAIN_N_000425	0	HPCLAS_TRAIN_N_000425	3	A_clean_core	-0.9872477400660183	0.27145604315255895	0
