representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-0.9885126516106177	0.27120595688679966	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-0.24619237393495796	0.43876090645695875	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	0.2996177236086596	0.5743490635121127	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.0739436257655344	0.25465383928970375	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-0.9399692624027787	0.28090655147683524	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.6078503131924229	0.3525497263540324	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	0.6366279376043276	0.6539908040333284	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	0.13114248383214228	0.5327387134113678	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.1692639839518302	0.23698804839935442	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-1.406619459291205	0.1967678039732277	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-1.0277852597767374	0.26351370299255894	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-1.7458871745947186	0.14856669676612372	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-0.21184688451216224	0.44723546683316956	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-1.8009165627207437	0.14173952894642555	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	0.1278236267645665	0.5319124673555492	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-1.3948887224831432	0.1986284469109895	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-1.2858868743100103	0.21654981364636866	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-0.3938876063328926	0.40278178997171094	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	0.1284480955973421	0.5320679454977297	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	-0.5033137891498823	0.37676223265163217	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	-0.867898457192472	0.29569177742300606	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	-2.010352333288928	0.1181202710616323	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	-1.1179234725888343	0.24639666117914993	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000118	0	HPCLAS_TRAIN_N_000118	2	A_clean_core	-0.6798829142384122	0.3362874354254798	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000119	0	HPCLAS_TRAIN_N_000119	2	A_clean_core	-0.28502018650481714	0.4292234425929225	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000129	0	HPCLAS_TRAIN_N_000129	2	A_clean_core	0.24894724204429708	0.5619173643337089	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000131	0	HPCLAS_TRAIN_N_000131	2	A_clean_core	-1.5763350482514924	0.1713151549745085	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000132	0	HPCLAS_TRAIN_N_000132	2	D_hard_sample	-1.2000938114702966	0.2314585283823454	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000151	0	HPCLAS_TRAIN_N_000151	2	A_clean_core	0.9055723134924308	0.7120932673319201	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000154	0	HPCLAS_TRAIN_N_000154	2	D_hard_sample	-0.5887148390956833	0.3569297841929316	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000178	0	HPCLAS_TRAIN_N_000178	2	A_clean_core	-0.3579957916676887	0.4114448146950392	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000182	0	HPCLAS_TRAIN_N_000182	2	D_hard_sample	0.13004815576132112	0.5324662945873141	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000190	0	HPCLAS_TRAIN_N_000190	2	A_clean_core	-1.2459649541988966	0.22339940604287378	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000222	0	HPCLAS_TRAIN_N_000222	2	A_clean_core	-0.30088648584852534	0.4253407886688199	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000228	0	HPCLAS_TRAIN_N_000228	2	A_clean_core	0.7384671735942515	0.6766605784105442	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000236	0	HPCLAS_TRAIN_N_000236	2	B_ambiguous	1.579644876638055	0.8291542179698136	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000239	0	HPCLAS_TRAIN_N_000239	2	A_clean_core	-0.7947876837349453	0.3111415864740535	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000242	0	HPCLAS_TRAIN_N_000242	2	D_hard_sample	0.2720873435520702	0.5676052728232843	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000265	0	HPCLAS_TRAIN_N_000265	2	D_hard_sample	-0.08662198822087606	0.47835803355751144	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000269	0	HPCLAS_TRAIN_N_000269	2	A_clean_core	-0.7215787843363498	0.3270454186444409	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000275	0	HPCLAS_TRAIN_N_000275	2	B_ambiguous	0.4023706726685647	0.5992571062036071	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000291	0	HPCLAS_TRAIN_N_000291	2	A_clean_core	-1.9531877192094977	0.12420618565778736	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000294	0	HPCLAS_TRAIN_N_000294	2	A_clean_core	-1.3709632432491774	0.2024642645713046	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000295	0	HPCLAS_TRAIN_N_000295	2	A_clean_core	-1.299526268321598	0.21424475601906837	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000298	0	HPCLAS_TRAIN_N_000298	2	A_clean_core	-1.5829921978301102	0.17037213117937372	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000302	0	HPCLAS_TRAIN_N_000302	2	D_hard_sample	-1.0470201591894517	0.25979772245954896	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000303	0	HPCLAS_TRAIN_N_000303	2	A_clean_core	-0.732731156911549	0.3245956802027475	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000304	0	HPCLAS_TRAIN_N_000304	2	A_clean_core	-0.895168662151915	0.2900443497573174	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000312	0	HPCLAS_TRAIN_N_000312	2	A_clean_core	-0.9948410741095982	0.26995693601823434	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000320	0	HPCLAS_TRAIN_N_000320	2	A_clean_core	-1.2597565234285346	0.22101580820349828	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000325	0	HPCLAS_TRAIN_N_000325	2	B_ambiguous	0.9455049216872555	0.7202102835846161	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000327	0	HPCLAS_TRAIN_N_000327	2	A_clean_core	-1.0574413184225326	0.2577987256256336	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000330	0	HPCLAS_TRAIN_N_000330	2	D_hard_sample	-0.39173163615158363	0.40330051414623913	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000332	0	HPCLAS_TRAIN_N_000332	2	D_hard_sample	-1.4956758315173708	0.18307134405715583	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000334	0	HPCLAS_TRAIN_N_000334	2	A_clean_core	0.9957029537971926	0.7302128897114797	1
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000349	0	HPCLAS_TRAIN_N_000349	2	A_clean_core	-0.0071479282961643825	0.4982130255344249	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000354	0	HPCLAS_TRAIN_N_000354	2	A_clean_core	-0.32691483373872143	0.4189914804359781	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000359	0	HPCLAS_TRAIN_N_000359	2	D_hard_sample	-0.32896035970760273	0.41849360513700185	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000362	0	HPCLAS_TRAIN_N_000362	2	A_clean_core	-0.926551801212877	0.28362480262085665	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000367	0	HPCLAS_TRAIN_N_000367	2	A_clean_core	-0.5356434774478348	0.36920160113241635	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000369	0	HPCLAS_TRAIN_N_000369	2	A_clean_core	-0.49773281816959747	0.3780736126814884	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000375	0	HPCLAS_TRAIN_N_000375	2	A_clean_core	-1.0681298755462887	0.2557588927850249	0
layer24_mean	rbf_svm	HPCLAS_TRAIN_N_000382	0	HPCLAS_TRAIN_N_000382	2	A_clean_core	-1.4332763821847865	0.19258869919994395	0
