review_id	clean_id	current_label	original_id	source_file	recomputed_sequence_sha256	automated_semantic_level	automated_evidence_level	automated_label_rule	reviewer_semantic_level	reviewer_evidence_level	traceable_yes_no	incompatible_rule_yes_no	direct_protein_phenotype_yes_no	reviewer_notes
R001	HPCLAS_TRAIN_N_001740	0	WP_066379506.1	train_N.fasta	a014720c9223bd69b2daab831c17cd68e42d3d5bdc07673841e561595d80dd7e	L1	E1	HPClas_train_N_inherited						
R002	HPCLAS_TRAIN_P_001354	1	ELY44689.1	train_P.fasta	662afb3d1d7315cb5af893c38c71a0eacbb0bd9a8139dafad57df15d8d15697d	L1	E1	HPClas_train_P_inherited						
R003	HPCLAS_TRAIN_N_004075	0	QYO72229.1	train_N.fasta	717beddb3804797edd26bf913a7b2912fd38bb5f8d579e3ed818123929eabc55	L1	E1	HPClas_train_N_inherited						
R004	HPCLAS_TRAIN_N_003346	0	WP_283346796.1	train_N.fasta	487f942a627434987421967005e1f8315cc4dbd9c97ac4ba0399660b0ddc2277	L1	E1	HPClas_train_N_inherited						
R005	HPCLAS_TRAIN_P_002905	1	PWG64597.1	train_P.fasta	ecd0ccea1ded2ea9c05c5564c0348d3720edf3015940ae41ab98e6e265712647	L1	E1	HPClas_train_P_inherited						
R006	HPCLAS_TRAIN_N_002558	0	WP_283346459.1	train_N.fasta	921ba1898bdc91583749855aa262c4529b7287437eade47cc703793533178ea4	L1	E1	HPClas_train_N_inherited						
R007	HPCLAS_TRAIN_N_005020	0	QFZ14466.1	train_N.fasta	7961198584cb452874c80b1468b3d6f03e7660274bba599289a8a6e36729425e	L1	E1	HPClas_train_N_inherited						
R008	HPCLAS_TRAIN_P_006587	1	AHK79015.1	train_P.fasta	fc413b1c17bcd64c65a646d076c57af616e9fb19d5d08403ee4daa8fa5848fa1	L1	E1	HPClas_train_P_inherited						
R009	HPCLAS_TRAIN_P_001492	1	ELY60951.1	train_P.fasta	b3f82018da6c45a968ac013078d0be62ae278649aa83867eb7af567d2d92d9fe	L1	E1	HPClas_train_P_inherited						
R010	HPCLAS_TRAIN_P_004200	1	EMA38912.1	train_P.fasta	405928ef8888f1d626246226fc9296cc119fd9ed7dfbeae66f32eb3e9568f711	L1	E1	HPClas_train_P_inherited						
R011	HPCLAS_TRAIN_N_002594	0	WP_190407903.1	train_N.fasta	3900252cae3a0fdebb2281a58189927c2283ee46c5a043308d1c87d3d07eaa7b	L1	E1	HPClas_train_N_inherited						
R012	HPCLAS_TRAIN_N_004083	0	WP_190469442.1	train_N.fasta	2da6f59736ed37012b8d1dafca5dbf916b386b5c979952c7f3aa28b01e46442b	L1	E1	HPClas_train_N_inherited						
R013	HPCLAS_TRAIN_P_001090	1	EJN60990.1	train_P.fasta	19b224a5c9b28dd432247fc724c0199f8faa92ca09342bb34fa42f5a3e3aa41d	L1	E1	HPClas_train_P_inherited						
R014	HPCLAS_TRAIN_P_001695	1	PYZ93568.1	train_P.fasta	861e98a5195a36dc0dd9d6994095d6e370224c35bf48f57d62e365d6267ae0d1	L1	E1	HPClas_train_P_inherited						
R015	HPCLAS_TRAIN_N_001333	0	OQY45432.1	train_N.fasta	78e62020d167a08df8bdddfadcc4c1f7407d7758e38db6fd182b8b7757fb3137	L1	E1	HPClas_train_N_inherited						
R016	HPCLAS_TRAIN_P_000866	1	UWM53896.1	train_P.fasta	fda8d9f2cabbcdab34c39420096b17a9fb70ae50ec32b4086ea9a9cedf6a27c2	L1	E1	HPClas_train_P_inherited						
R017	HPCLAS_TRAIN_N_000486	0	PAC32536.1	train_N.fasta	9afbeec262e8dee68d145118f9bc5145ceb0179ae4746a4fc7b974372dbfa44d	L1	E1	HPClas_train_N_inherited						
R018	HPCLAS_TRAIN_N_001467	0	WP_283369282.1	train_N.fasta	ec387852620296dbb2bc609f384cf3527f4aa59f079ff020d9841ea87d0e497e	L1	E1	HPClas_train_N_inherited						
R019	HPCLAS_TRAIN_N_001239	0	PAC30083.1	train_N.fasta	1e369d76d57c3ff6a952a07a577d19b2908d6ba3b4c1ced2ed21de583e0ae861	L1	E1	HPClas_train_N_inherited						
