representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-1.1135314844820947	0.2472130970652983	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.09350127008781733	0.5233583025286834	1
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-2.58695511263027	0.06998270044564849	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-3.4288686048087214	0.03140532995819485	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.9575919697310811	0.2773605815990197	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.10230427356607842	0.47444621523105135	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.538816448714578	0.010573062319947426	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-4.731520699935928	0.008736067350868742	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-4.422543707744405	0.011861280837540516	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-5.03414729551289	0.006469619811007592	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-2.6305402846138044	0.06719857604635322	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-5.697421601096636	0.003343388080491418	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-1.3143571245690795	0.21175865289820536	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-5.2678377405192816	0.00512830930276322	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-2.424845187688034	0.08129764153792382	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-6.0400412415007505	0.002375802815550417	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-5.328055557211644	0.004830055526789401	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-6.4494499192388215	0.0015788949711455572	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-2.313446748607768	0.09001541317806085	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-4.301195317240421	0.013371139605668663	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	1.5455184038067604	0.8242655073008825	1
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-3.8104062061782398	0.021659656925637375	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-5.520782569099233	0.00398675646838556	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-5.4522173084190495	0.004268490891835398	0
