clean_id	original_id	current_label	source_file	homology_group	v2_role	recorded_sequence_hash	recomputed_sequence_sha256	recorded_hash_matches	exact_in_raw_train_P	exact_in_raw_train_N	registry_label_matches	lineage_bridge_matches	source_file_class_matches	original_id_found_in_expected_raw_fasta	traceable	semantic_level	evidence_level	label_rule	direct_protein_phenotype_supported	claim_boundary
HPCLAS_TRAIN_N_000001	QYO70856.1	0	train_N.fasta	HPCLAS_TRAIN_N_000001	development	97f8551bfa7457cda27d87f9504e9a7d1bf84c9801c18d9abf303f99b2f78f2c	97f8551bfa7457cda27d87f9504e9a7d1bf84c9801c18d9abf303f99b2f78f2c	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000002	WP_095160722.1	0	train_N.fasta	HPCLAS_TRAIN_N_000002	development	8a7318e16b64aebb4344b27b35495f00268811f494f42659774ddcff1dd47e26	8a7318e16b64aebb4344b27b35495f00268811f494f42659774ddcff1dd47e26	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000003	WP_190477262.1	0	train_N.fasta	HPCLAS_TRAIN_N_000003	development	fb3dd36268711c448f2c235f2d44efeac60e201d18e03467eb1354ec8ce8310e	fb3dd36268711c448f2c235f2d44efeac60e201d18e03467eb1354ec8ce8310e	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000004	WP_081681331.1	0	train_N.fasta	HPCLAS_TRAIN_N_000004	development	b25d89bde1f9aae68149e474ff044767a954974a41f7580eb11f4ec292ee9650	b25d89bde1f9aae68149e474ff044767a954974a41f7580eb11f4ec292ee9650	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000005	AEV37212.1	0	train_N.fasta	HPCLAS_TRAIN_N_000005	development	09297d9788beff1a151bc475a7d5d48915b67853c14f8cb9c9ba7b6cb428ae06	09297d9788beff1a151bc475a7d5d48915b67853c14f8cb9c9ba7b6cb428ae06	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000006	OQY46480.1	0	train_N.fasta	HPCLAS_TRAIN_N_000006	development	2ecb285044299068879af61acd7657fc6aa99a0e122571e599e859b277ed61b2	2ecb285044299068879af61acd7657fc6aa99a0e122571e599e859b277ed61b2	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000007	PAC31081.1	0	train_N.fasta	HPCLAS_TRAIN_N_000007	development	651487801be053dc1594492a88351cc60b2ea51f3a5b09b6574b6fc119d5d376	651487801be053dc1594492a88351cc60b2ea51f3a5b09b6574b6fc119d5d376	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000009	OQW95532.1	0	train_N.fasta	HPCLAS_TRAIN_N_000009	development	a61cfb8bd6a8caa18bc5b55f62d2f5986b572857c2d609076d6a3be9a7261688	a61cfb8bd6a8caa18bc5b55f62d2f5986b572857c2d609076d6a3be9a7261688	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000010	WP_283380513.1	0	train_N.fasta	HPCLAS_TRAIN_N_000010	development	dd397e462d1e74abe15d31adf1c74a72fd9b41d8510ae3d6803fe8ba65e6c85d	dd397e462d1e74abe15d31adf1c74a72fd9b41d8510ae3d6803fe8ba65e6c85d	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000012	PAC31674.1	0	train_N.fasta	HPCLAS_TRAIN_N_000012	development	255dddfc3a9acfa15af5b23320e0d50e75e8a47d60b9f044a175caa45a4c9d98	255dddfc3a9acfa15af5b23320e0d50e75e8a47d60b9f044a175caa45a4c9d98	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000013	WP_206759012.1	0	train_N.fasta	HPCLAS_TRAIN_N_000013	development	ce19f4a8ab7f5f8e77d7361f27f0adca97b3dab95e9555e9bb866b52d51a1295	ce19f4a8ab7f5f8e77d7361f27f0adca97b3dab95e9555e9bb866b52d51a1295	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000014	WP_283344854.1	0	train_N.fasta	HPCLAS_TRAIN_N_000014	development	66a26f3ce510b4ccf2a2908176e32ee261a332560caa41e6d93937e99f0fcacf	66a26f3ce510b4ccf2a2908176e32ee261a332560caa41e6d93937e99f0fcacf	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
HPCLAS_TRAIN_N_000015	EDN71340.1	0	train_N.fasta	HPCLAS_TRAIN_N_000015	development	155031f31bd3b2de1c9feebeb114f11ccaba9bb9672ba82f3cd30da48f582cce	155031f31bd3b2de1c9feebeb114f11ccaba9bb9672ba82f3cd30da48f582cce	true	false	true	true	true	true	true	true	L1	E1	HPClas_train_N_inherited	false	dataset-defined halophile-associated protein; not direct salt phenotype
