relative_path	bytes	token_hits
v2_01a_package/v2_01a_fold_and_cache_preflight.py	13996	ankh|bigru|calibrat|deepsaltpro|embedding_row|ensemble|esm-2|esm2|kan|pca
deepsaltpro_paper_reproduction/multiseed_code/independent_test_result.py	20276	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
deepsaltpro_paper_reproduction/seed2_official_features/Code/independent_test_result.py	20233	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
deepsaltpro_paper_reproduction/seed2_repeat/Code/independent_test_result.py	20233	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
external/DeepSaltPro/Code/independent_test_result.py	19590	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
scripts/deepsaltpro_fair_stage4b/train_deepsaltpro_fair.py	35278	ankh|bigru|calibrat|deepsaltpro|esm-2|esm2|kan|pca
work/deepsaltpro_fair_v1/code_original/independent_test_result.py	19590	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
work/deepsaltpro_official_repro/code/independent_test_result.py	19621	ankh|bigru|deepsaltpro|ensemble|esm-2|esm2|kan|pca
scripts/benchmark_downstream_efficiency.py	16139	ankh|calibrat|deepsaltpro|embedding_row|esm2|kan|pca
scripts/module4_manuscript/build_Figure3_FINAL_v2.py	15800	ankh|calibrat|deepsaltpro|ensemble|esm-2|pca
scripts/module4_manuscript/build_Figure3_FINAL_v3.py	7970	ankh|calibrat|deepsaltpro|ensemble|esm-2|pca
scripts/module4_manuscript/build_Figure3_FINAL_v4.py	9346	ankh|calibrat|deepsaltpro|ensemble|esm-2|pca
scripts/module4_manuscript/build_Figure3_FINAL_v5.py	10845	ankh|calibrat|deepsaltpro|ensemble|esm-2|pca
scripts/deepsaltpro_id_safe_stage3/validate_deepsaltpro_feature_alignment.py	4102	ankh|deepsaltpro|embedding_row|esm-2|esm2
ESMCHalo_M3_run_all.py	43696	calibrat|deepsaltpro|embedding_row|ensemble
