representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-1.3308132486296673	0.20902487617178206	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.33617496873166264	0.5832610789319125	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-2.5149548261296175	0.07481641840449176	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-4.2098087653566445	0.014631935105372052	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.8148300259887177	0.30686220258391594	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	0.11731456866587894	0.5292950516005278	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.558290444433855	0.010371269227684238	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-4.697713713864938	0.009033742836154487	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-5.173811293363392	0.005631056135962073	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-5.147499413122915	0.005780318452231744	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-1.3691806328489542	0.20275225977805242	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-5.932162705253314	0.002645720284028123	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-2.064616425863058	0.11258378354023306	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-5.204623580992447	0.005461129312692894	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-1.7769512963077827	0.14467999561063882	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-6.408197646638813	0.0016452806814791373	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-5.080833743037256	0.00617634110753928	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-6.541847759240198	0.0014397460390631893	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-2.715029886569189	0.06209228072649845	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-5.360453768897287	0.004676798250972426	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	1.4650683967932034	0.8123066491200096	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-3.973966485578697	0.018451849058879182	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-6.408715433267831	0.0016444303981903306	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-4.7311397963706865	0.008739366497248328	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-6.702589017442463	0.001226223701527651	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.722086076790469	0.3269337801131891	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	0.42038927251675146	0.60357639560562	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-5.310820486708794	0.004913610806426407	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-5.220502376900793	0.005375560465893467	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-2.8271628952927554	0.05587387238438798	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.08362370613115898	0.5208937522494246	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-2.050459215745701	0.11400598830713732	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-3.0309639497931666	0.04604646586314934	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-5.463438594607283	0.004221061720016333	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	-1.9764699476705039	0.12169564682198022	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000039	0	HPCLAS_TRAIN_N_000039	4	A_clean_core	-1.7092792352661763	0.15325722563300714	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-5.069884886082282	0.006243911982208739	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000041	0	HPCLAS_TRAIN_N_000041	4	A_clean_core	-3.598516261605728	0.026635433954476113	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	A_clean_core	-6.073280838224919	0.002298308659376456	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000043	0	HPCLAS_TRAIN_N_000043	4	A_clean_core	-2.6784151295310865	0.06425910868269998	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000044	0	HPCLAS_TRAIN_N_000044	4	A_clean_core	-3.81413229715185	0.021580839704791476	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	-2.6888551866897528	0.06363419783942366	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000046	0	HPCLAS_TRAIN_N_000046	4	A_clean_core	1.2764718136593785	0.7818486025836389	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	-5.113507900132272	0.005978982783393213	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	-1.4748561174374153	0.18620562988689965	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	B_ambiguous	2.1298354810762126	0.8937693889775525	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000051	0	HPCLAS_TRAIN_P_003059	4	B_ambiguous	-5.777619014101953	0.0030865222434086547	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-4.771599583269372	0.008395740654513617	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000054	0	HPCLAS_TRAIN_N_000054	0	A_clean_core	-5.404352497194991	0.00447683309342639	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000055	0	HPCLAS_TRAIN_N_000055	1	A_clean_core	-5.552931471904251	0.0038611119878899885	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000056	0	HPCLAS_TRAIN_N_000056	1	A_clean_core	-4.286978300515863	0.013559998923225043	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000058	0	HPCLAS_TRAIN_N_000058	4	A_clean_core	-6.734630022820257	0.0011876029494625802	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	-3.6104197043054502	0.026328558212890606	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000060	0	HPCLAS_TRAIN_N_000060	4	A_clean_core	-4.217879946691858	0.014516020814274144	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000061	0	HPCLAS_TRAIN_N_000061	0	A_clean_core	-4.959781209702878	0.006965602405120951	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000062	0	HPCLAS_TRAIN_N_000062	4	A_clean_core	-5.3915001300026875	0.004534479746201378	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000063	0	HPCLAS_TRAIN_N_000063	4	A_clean_core	-5.586664428080568	0.003733515743078595	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-4.9139373976613445	0.007289982873275682	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000066	0	HPCLAS_TRAIN_N_000066	3	A_clean_core	-3.698199308823241	0.02416945487599813	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000067	0	HPCLAS_TRAIN_N_000067	1	A_clean_core	-4.452558438282047	0.011514595891049475	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000069	0	HPCLAS_TRAIN_N_000069	0	D_hard_sample	0.5724413220355503	0.639326306418637	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000070	0	HPCLAS_TRAIN_N_000070	3	A_clean_core	-5.620783337154104	0.0036087327858094556	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-2.0834831757461756	0.11071256433321487	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000072	0	HPCLAS_TRAIN_N_000072	1	A_clean_core	-6.187473621900872	0.0020507975244084507	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000073	0	HPCLAS_TRAIN_N_000073	3	A_clean_core	-3.100612004192779	0.04308201742590511	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000075	0	HPCLAS_TRAIN_N_000075	3	D_hard_sample	-3.7159145197210273	0.023755139727660066	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-1.2321004333972798	0.22581401220871725	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	-4.015103539313147	0.01772137365742267	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000079	0	HPCLAS_TRAIN_N_000079	0	A_clean_core	-5.7613162742404125	0.003137094269108628	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000080	0	HPCLAS_TRAIN_N_000080	3	A_clean_core	-4.365457993202715	0.012549345740079789	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000082	0	HPCLAS_TRAIN_N_000082	1	A_clean_core	-4.2361864592719725	0.014256454698497373	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000083	0	HPCLAS_TRAIN_N_000083	4	A_clean_core	-6.592371234568677	0.0013689091714014785	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000084	0	HPCLAS_TRAIN_N_000084	3	A_clean_core	-4.7322021774675385	0.008730167902128728	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000085	0	HPCLAS_TRAIN_N_000085	3	A_clean_core	-5.324555840718171	0.004846906890813727	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000086	0	HPCLAS_TRAIN_N_000086	0	A_clean_core	-5.94155114685831	0.002621062130635961	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000088	0	HPCLAS_TRAIN_N_000088	0	D_hard_sample	3.331651676747744	0.9654988307725789	1
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000090	0	HPCLAS_TRAIN_N_000090	3	A_clean_core	-2.8977807116428864	0.05226337952394399	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	-1.4496548034345649	0.1900546977870184	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000094	0	HPCLAS_TRAIN_N_000094	4	A_clean_core	-2.5875928781970394	0.0699412027780257	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	-0.5751241348285323	0.36005530017918536	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000096	0	HPCLAS_TRAIN_N_000096	1	A_clean_core	-5.931587171230787	0.0026472393922161454	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000097	0	HPCLAS_TRAIN_N_000097	4	A_clean_core	-0.9782454097641562	0.27324007141061657	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000098	0	HPCLAS_TRAIN_N_000098	1	A_clean_core	-4.727052822770317	0.008774843087984055	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000099	0	HPCLAS_TRAIN_N_000099	3	A_clean_core	-5.5940977699827945	0.003705968604444936	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000101	0	HPCLAS_TRAIN_N_000101	0	D_hard_sample	-4.043331618267065	0.0172366296634702	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000102	0	HPCLAS_TRAIN_N_000102	0	D_hard_sample	-2.369592659836679	0.08552099097043694	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000103	0	HPCLAS_TRAIN_N_000103	1	A_clean_core	-2.8100251769299773	0.05678483230943736	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000105	0	HPCLAS_TRAIN_N_000105	4	A_clean_core	-6.081289761400476	0.002280016996147269	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000107	0	HPCLAS_TRAIN_N_000107	0	D_hard_sample	-1.3644158865005191	0.20352354230903735	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000109	0	HPCLAS_TRAIN_N_000109	4	D_hard_sample	-1.3638284470983142	0.2036187838253864	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000110	0	HPCLAS_TRAIN_N_000110	3	D_hard_sample	-1.268826339856603	0.219458229548487	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	-3.982094529443433	0.018305213725907755	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000112	0	HPCLAS_TRAIN_N_000112	3	A_clean_core	-3.8022831968534994	0.021832458166177703	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000113	0	HPCLAS_TRAIN_N_000113	3	A_clean_core	-5.216855817218417	0.0053950926026309935	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000114	0	HPCLAS_TRAIN_N_000114	0	A_clean_core	-3.5264953948875575	0.028567685471282044	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	-3.690369994309679	0.024354801094545124	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000116	0	HPCLAS_TRAIN_N_000116	1	A_clean_core	-3.9189666383402275	0.019474807371088275	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000117	0	HPCLAS_TRAIN_N_000117	1	A_clean_core	-3.3382729901404335	0.03428128625564578	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000118	0	HPCLAS_TRAIN_N_000118	2	A_clean_core	-2.3991189787627403	0.08323990344384445	0
layer36_mean_std	catboost	HPCLAS_TRAIN_N_000119	0	HPCLAS_TRAIN_N_000119	2	A_clean_core	-5.528979912144314	0.003954337943364831	0
