representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-0.8602624546888274	0.2972845142657908	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.11824038379815326	0.5295257045768057	1
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-2.970670699032849	0.048768599702839414	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-3.115531841299583	0.04247110884277482	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-2.1339698494631505	0.10583870922248027	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-1.3902760509050303	0.19936369055109038	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.565369365845074	0.010298864519716072	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-4.862985307060654	0.007668126286907036	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-5.111560814136234	0.005990565910319935	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-5.312844233498171	0.004903725670390335	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-1.9735247294119396	0.12201079979205073	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-5.288367858227832	0.005024621528363231	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-1.9899146521358806	0.12026589215044355	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-5.726591980171392	0.0032475810694656787	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-2.7249228979531974	0.061518632960712506	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-6.279572684942181	0.001870695238127121	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-5.469445427915709	0.004195888574668402	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-6.019652136560079	0.00242462185563824	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-2.729324112272867	0.06126502269300767	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-5.355572428671077	0.004699575554246552	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	1.374971742065157	0.7981822257818469	1
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-3.4221989650300673	0.03160884928167682	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-6.211270483824046	0.002002667655360931	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-5.288389997642385	0.005024510846346998	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-6.831234258719888	0.0010783607647175163	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.9236598358631509	0.2842127647781281	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	1.0273197750589862	0.7363959484746452	1
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-5.076731538956541	0.006201572308790684	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-4.746322036874382	0.00860881908727293	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-3.833030005108512	0.021185399531114972	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	-0.22697292637733787	0.4434991220034798	0
streamed_layer36_mean	catboost	HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	-2.149592344857627	0.10436932309557444	0
