representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-1.47557233733209	0.1860971232618306	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-0.5518083636153109	0.36544495666786486	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-1.1878964602209046	0.23363536326273388	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-1.824459846695636	0.13889958678850148	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-1.8475384751253354	0.13616216735013623	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-1.4334858585817012	0.19255612807553008	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-2.1804301376403084	0.1015216861529616	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-1.6156706505033414	0.16580280613683032	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.07993536065213708	0.5199732061259595	1
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	-1.7406416706179517	0.1492314487779434	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	-2.431204486722044	0.08082393898336031	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000055	0	HPCLAS_TRAIN_N_000055	1	A_clean_core	-2.0773954840736897	0.11131335172477254	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000056	0	HPCLAS_TRAIN_N_000056	1	A_clean_core	-1.6757051353163306	0.15766501767513885	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000067	0	HPCLAS_TRAIN_N_000067	1	A_clean_core	-1.15818419645177	0.2389973826761534	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000072	0	HPCLAS_TRAIN_N_000072	1	A_clean_core	-2.721145288388927	0.06173709141142947	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000082	0	HPCLAS_TRAIN_N_000082	1	A_clean_core	-1.3563358436160067	0.2048364691066161	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000096	0	HPCLAS_TRAIN_N_000096	1	A_clean_core	-2.528770468698573	0.0738657142532726	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000098	0	HPCLAS_TRAIN_N_000098	1	A_clean_core	-1.5419845828751944	0.17624696000843496	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000103	0	HPCLAS_TRAIN_N_000103	1	A_clean_core	-0.5332969473157262	0.36974825623887264	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000116	0	HPCLAS_TRAIN_N_000116	1	A_clean_core	-1.3057476969033042	0.21319927824454896	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000117	0	HPCLAS_TRAIN_N_000117	1	A_clean_core	-1.112805920968867	0.2473481483153832	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000123	0	HPCLAS_TRAIN_N_000123	1	A_clean_core	-1.8482965536094833	0.13607302521001266	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000134	0	HPCLAS_TRAIN_N_000134	1	D_hard_sample	-0.9066457586429291	0.28768670887245246	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000145	0	HPCLAS_TRAIN_N_000145	1	A_clean_core	-0.6351664962152654	0.34633997529168414	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000156	0	HPCLAS_TRAIN_N_000156	1	D_hard_sample	-1.6185074890783728	0.16541080855292803	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000161	0	HPCLAS_TRAIN_N_000161	1	D_hard_sample	-0.20441005732744255	0.4490746820214916	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000162	0	HPCLAS_TRAIN_N_000162	1	A_clean_core	-1.9489494940392043	0.12466795035303505	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000167	0	HPCLAS_TRAIN_N_000167	1	A_clean_core	-0.7715625404288573	0.3161411943586394	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000168	0	HPCLAS_TRAIN_N_000168	1	D_hard_sample	-0.5124995223079938	0.3746077621915904	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000169	0	HPCLAS_TRAIN_N_000169	1	A_clean_core	-2.1478249723801683	0.1045346462100865	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000176	0	HPCLAS_TRAIN_N_000176	1	A_clean_core	-1.143350793395473	0.24170568260337455	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000184	0	HPCLAS_TRAIN_N_000184	1	A_clean_core	-1.1961734117032086	0.2321566446445715	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000187	0	HPCLAS_TRAIN_N_000187	1	A_clean_core	-1.1536206367120403	0.23982838048324034	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000188	0	HPCLAS_TRAIN_N_000188	1	A_clean_core	-1.523776101911704	0.17890614208978126	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000197	0	HPCLAS_TRAIN_N_000197	1	A_clean_core	-1.4029626424643753	0.19734640567930836	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000198	0	HPCLAS_TRAIN_N_000198	1	B_ambiguous	-1.123820400006961	0.24530332639710478	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000206	0	HPCLAS_TRAIN_N_000206	1	A_clean_core	-2.3152216706467525	0.0898701303896662	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000218	0	HPCLAS_TRAIN_N_000218	1	A_clean_core	-1.7672963153034391	0.14587888084212794	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000219	0	HPCLAS_TRAIN_N_000219	1	A_clean_core	-0.8256238716387416	0.3045711738056056	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000220	0	HPCLAS_TRAIN_N_000220	1	A_clean_core	-0.1133786481388443	0.4716856625372634	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000224	0	HPCLAS_TRAIN_N_000224	1	A_clean_core	-0.9358697371258278	0.28173539091853034	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000240	0	HPCLAS_TRAIN_N_000240	1	A_clean_core	-0.9766001645731908	0.2735669059536419	0
layer36_mean_std	rbf_svm	HPCLAS_TRAIN_N_000248	0	HPCLAS_TRAIN_N_000248	1	A_clean_core	-1.7940671631475504	0.1425748009163545	0
