representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.0131473976163519	0.26636435189947083	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-1.2550633001967206	0.22182488809110698	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.08680675780091185	0.47831192788839877	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.255084755012175	0.22182118461285052	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-1.85823801397494	0.13490855798577303	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.5286968609945126	0.370820875766827	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-2.0874271660428225	0.11032485338817948	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	0.29520596594773746	0.573270159195449	1
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.2985747324654064	0.21440498486981643	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-1.9604960240135494	0.12341337641551287	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-2.16307913949935	0.10311533653951797	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-1.1990412250371296	0.23164582114663096	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-1.2695236171341815	0.21933881188505494	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-1.9644723072695447	0.12298385582930481	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	-0.7229345014781795	0.32674711330680184	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-1.4964853692719293	0.18295030370635	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-1.1745032459085754	0.23604196621257903	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-0.26020066093702376	0.4353143819339804	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	-1.4046751034800322	0.19707529106151142	0
