representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-0.2556068178975471	0.4364439546740889	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.5615038224425509	0.6368004243258882	1
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.0131473976163519	0.26636435189947083	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-1.2550633001967206	0.22182488809110698	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core	-0.37149275934552256	0.40818036758742166	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.08680675780091185	0.47831192788839877	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-1.255084755012175	0.22182118461285052	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core	-1.2689272571557022	0.21944094327644362	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-1.85823801397494	0.13490855798577303	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core	-1.5054529946331883	0.18161363698577285	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000013	0	HPCLAS_TRAIN_N_000013	1	A_clean_core	-0.6476639717619609	0.3435161488627722	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-1.3137222922813985	0.21186463654192544	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-0.5286968609945126	0.370820875766827	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	-1.1980094820492917	0.23182950783136239	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	-0.9524851019551933	0.2783853226280154	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	-1.5743923285802919	0.17159113178115937	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	-1.6282158040433692	0.16407492480353178	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-2.0874271660428225	0.11032485338817948	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	-1.4209404790374505	0.19451418848672947	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	-1.8390412780471959	0.1371647183891604	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	0.29520596594773746	0.573270159195449	1
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.2985747324654064	0.21440498486981643	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-1.9604960240135494	0.12341337641551287	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	-2.033203749729904	0.11576058211528238	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-2.16307913949935	0.10311533653951797	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	-0.3220460081579966	0.42017720107163775	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	0.18234818485605192	0.5454611474454214	1
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	-1.6888373533085805	0.15592880067289044	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	-1.4220119295035731	0.1943463702668245	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-1.1990412250371296	0.23164582114663096	0
layer36_mean_max_std	rbf_svm	HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	0.04820455379765154	0.5120488054100829	1
