representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core	-1.1135314844820947	0.2472130970652983	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	0.09350127008781733	0.5233583025286834	1
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000014	0	HPCLAS_TRAIN_N_000014	4	A_clean_core	-5.697421601096636	0.003343388080491418	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	0.6449484168313508	0.6558711987651906	1
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000039	0	HPCLAS_TRAIN_N_000039	4	A_clean_core	-1.9346643627418834	0.12623520392504753	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000041	0	HPCLAS_TRAIN_N_000041	4	A_clean_core	-4.139929983108392	0.015674368297805	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000043	0	HPCLAS_TRAIN_N_000043	4	A_clean_core	-1.6058652660170991	0.16716345865020404	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000044	0	HPCLAS_TRAIN_N_000044	4	A_clean_core	-2.283205423271504	0.09252346481192966	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000046	0	HPCLAS_TRAIN_N_000046	4	A_clean_core	1.4533656618922275	0.8105158722600839	1
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000051	0	HPCLAS_TRAIN_P_003059	4	B_ambiguous	-6.005809796143309	0.0024583345822480063	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000058	0	HPCLAS_TRAIN_N_000058	4	A_clean_core	-6.235836986467208	0.0019541634853966036	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000060	0	HPCLAS_TRAIN_N_000060	4	A_clean_core	-3.4189699651610157	0.031707837723180435	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000062	0	HPCLAS_TRAIN_N_000062	4	A_clean_core	-4.5903397091575755	0.010047434409501095	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000063	0	HPCLAS_TRAIN_N_000063	4	A_clean_core	-5.8491895187913965	0.0028739508090329497	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000083	0	HPCLAS_TRAIN_N_000083	4	A_clean_core	-6.564165744312124	0.00140801446064217	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000094	0	HPCLAS_TRAIN_N_000094	4	A_clean_core	-2.417102103772974	0.08187783770816902	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000097	0	HPCLAS_TRAIN_N_000097	4	A_clean_core	-1.0574500496937833	0.2577970550004496	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000105	0	HPCLAS_TRAIN_N_000105	4	A_clean_core	-5.655686663204503	0.003485380245504743	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000109	0	HPCLAS_TRAIN_N_000109	4	D_hard_sample	-1.2579726904385131	0.22132307967754475	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000126	0	HPCLAS_TRAIN_N_000126	4	D_hard_sample	-1.4237122207079251	0.19408028406073358	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000130	0	HPCLAS_TRAIN_N_000130	4	A_clean_core	-1.2137070452124492	0.22904578934445213	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000133	0	HPCLAS_TRAIN_N_000133	4	A_clean_core	-6.0002041243372775	0.002472119733188434	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000135	0	HPCLAS_TRAIN_N_000135	4	D_hard_sample	-2.114851310764572	0.10766171023581317	0
layer36_mean_max_std	catboost	HPCLAS_TRAIN_N_000148	0	HPCLAS_TRAIN_N_000148	4	A_clean_core	-3.6216532851923784	0.026042108482876157	0
