dataset	subset	baseline	corrected	introduced
haloclass_newtest1402	all	H0_frozen	2	23
haloclass_newtest1402	all	DeepSaltPro_raw	73	106
haloclass_newtest1402	all	DeepSaltPro_R2_Platt	73	106
haloclass_newtest1402	historical_strict40	H0_frozen	2	23
haloclass_newtest1402	historical_strict40	DeepSaltPro_raw	73	105
haloclass_newtest1402	historical_strict40	DeepSaltPro_R2_Platt	73	105
haloclass_newtest1402	historical_strict25	H0_frozen	2	22
haloclass_newtest1402	historical_strict25	DeepSaltPro_raw	71	102
haloclass_newtest1402	historical_strict25	DeepSaltPro_R2_Platt	71	102
haloclass_zhang278	all	H0_frozen	0	2
haloclass_zhang278	all	DeepSaltPro_raw	16	16
haloclass_zhang278	all	DeepSaltPro_R2_Platt	16	16
haloclass_zhang278	historical_strict40	H0_frozen	0	2
haloclass_zhang278	historical_strict40	DeepSaltPro_raw	16	15
haloclass_zhang278	historical_strict40	DeepSaltPro_R2_Platt	16	15
haloclass_zhang278	historical_strict25	H0_frozen	0	2
haloclass_zhang278	historical_strict25	DeepSaltPro_raw	16	15
haloclass_zhang278	historical_strict25	DeepSaltPro_R2_Platt	16	15
