representation	head	clean_id	label	homology_group	fold	quality_tier	raw_score	probability_uncalibrated	prediction_at_fixed_boundary
layer36_max	catboost	HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core	-1.6626188586183737	0.15941075950090655	0
layer36_max	catboost	HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core	-2.253461797069404	0.09505127540683732	0
layer36_max	catboost	HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	-0.30187622553108046	0.42509888844955473	0
layer36_max	catboost	HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core	-4.174409230135462	0.015151187465475103	0
layer36_max	catboost	HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core	-3.168926355824613	0.04035197037440952	0
layer36_max	catboost	HPCLAS_TRAIN_N_000015	0	HPCLAS_TRAIN_N_000015	2	D_hard_sample	-1.4485707981607512	0.19022161902312523	0
layer36_max	catboost	HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	-3.200808218383381	0.039135319434827225	0
layer36_max	catboost	HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	0.5854065293706396	0.6423104975568711	1
layer36_max	catboost	HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	-1.39936242464589	0.19791730451406633	0
layer36_max	catboost	HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	-4.360247415324626	0.01261407875880984	0
layer36_max	catboost	HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	-4.401545950194679	0.012109926398803329	0
layer36_max	catboost	HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	-2.5205543728900506	0.07442974542940098	0
layer36_max	catboost	HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	-3.643842893684578	0.025485173200014664	0
layer36_max	catboost	HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	-4.464103980304143	0.011383922841788859	0
layer36_max	catboost	HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	-2.239346631195116	0.09627237241897667	0
layer36_max	catboost	HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	-2.6774147732465243	0.06431928620781288	0
layer36_max	catboost	HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	-1.217999349676857	0.22828871949204843	0
layer36_max	catboost	HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	-1.744483319174936	0.14874436456804757	0
layer36_max	catboost	HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	-3.669771653337783	0.02484907674570687	0
layer36_max	catboost	HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	-1.2233431951047553	0.2273486455267278	0
layer36_max	catboost	HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	-1.570066740734185	0.17220687752269867	0
layer36_max	catboost	HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	-3.4242474459600993	0.03154620596121088	0
layer36_max	catboost	HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	-2.734700121313728	0.060956567983118125	0
layer36_max	catboost	HPCLAS_TRAIN_N_000118	0	HPCLAS_TRAIN_N_000118	2	A_clean_core	-0.9417552709154171	0.28054592243168874	0
layer36_max	catboost	HPCLAS_TRAIN_N_000119	0	HPCLAS_TRAIN_N_000119	2	A_clean_core	-4.220683337707091	0.014475971980840599	0
layer36_max	catboost	HPCLAS_TRAIN_N_000129	0	HPCLAS_TRAIN_N_000129	2	A_clean_core	-0.8813754647400206	0.29289282992495963	0
layer36_max	catboost	HPCLAS_TRAIN_N_000131	0	HPCLAS_TRAIN_N_000131	2	A_clean_core	-4.165668054176877	0.015282174357912747	0
layer36_max	catboost	HPCLAS_TRAIN_N_000132	0	HPCLAS_TRAIN_N_000132	2	D_hard_sample	-1.2646552301555767	0.2201735612928511	0
layer36_max	catboost	HPCLAS_TRAIN_N_000151	0	HPCLAS_TRAIN_N_000151	2	A_clean_core	-3.447749746261309	0.030836037636109894	0
layer36_max	catboost	HPCLAS_TRAIN_N_000154	0	HPCLAS_TRAIN_N_000154	2	D_hard_sample	1.928119758403339	0.8730411594845114	1
layer36_max	catboost	HPCLAS_TRAIN_N_000178	0	HPCLAS_TRAIN_N_000178	2	A_clean_core	-1.439315594769531	0.19165135500635105	0
layer36_max	catboost	HPCLAS_TRAIN_N_000182	0	HPCLAS_TRAIN_N_000182	2	D_hard_sample	-3.1880061204031263	0.039619576799626986	0
layer36_max	catboost	HPCLAS_TRAIN_N_000190	0	HPCLAS_TRAIN_N_000190	2	A_clean_core	-3.606699860467914	0.02642408597650219	0
layer36_max	catboost	HPCLAS_TRAIN_N_000222	0	HPCLAS_TRAIN_N_000222	2	A_clean_core	-1.4084164991215435	0.19648393616694448	0
layer36_max	catboost	HPCLAS_TRAIN_N_000228	0	HPCLAS_TRAIN_N_000228	2	A_clean_core	-2.5614034245383928	0.07166411856792158	0
layer36_max	catboost	HPCLAS_TRAIN_N_000236	0	HPCLAS_TRAIN_N_000236	2	B_ambiguous	2.9268751857046467	0.9491590951622927	1
layer36_max	catboost	HPCLAS_TRAIN_N_000239	0	HPCLAS_TRAIN_N_000239	2	A_clean_core	-2.479704812595124	0.07729325198201302	0
layer36_max	catboost	HPCLAS_TRAIN_N_000242	0	HPCLAS_TRAIN_N_000242	2	D_hard_sample	-0.7288177916818794	0.32545420848873996	0
layer36_max	catboost	HPCLAS_TRAIN_N_000265	0	HPCLAS_TRAIN_N_000265	2	D_hard_sample	0.08783163570475032	0.521943803806515	1
layer36_max	catboost	HPCLAS_TRAIN_N_000269	0	HPCLAS_TRAIN_N_000269	2	A_clean_core	-0.4081493659207405	0.39935595139094315	0
layer36_max	catboost	HPCLAS_TRAIN_N_000275	0	HPCLAS_TRAIN_N_000275	2	B_ambiguous	-3.8597225343336663	0.020638904878017405	0
layer36_max	catboost	HPCLAS_TRAIN_N_000291	0	HPCLAS_TRAIN_N_000291	2	A_clean_core	-4.789297707302161	0.008249673970462456	0
layer36_max	catboost	HPCLAS_TRAIN_N_000294	0	HPCLAS_TRAIN_N_000294	2	A_clean_core	-3.6839196221972905	0.024508543708119005	0
layer36_max	catboost	HPCLAS_TRAIN_N_000295	0	HPCLAS_TRAIN_N_000295	2	A_clean_core	-5.211246706336758	0.005425274665506182	0
layer36_max	catboost	HPCLAS_TRAIN_N_000298	0	HPCLAS_TRAIN_N_000298	2	A_clean_core	-5.297311019746299	0.004980108652236617	0
layer36_max	catboost	HPCLAS_TRAIN_N_000302	0	HPCLAS_TRAIN_N_000302	2	D_hard_sample	-0.8525165030457689	0.2989052301688099	0
layer36_max	catboost	HPCLAS_TRAIN_N_000303	0	HPCLAS_TRAIN_N_000303	2	A_clean_core	-0.5082520472310496	0.3756033757715647	0
layer36_max	catboost	HPCLAS_TRAIN_N_000304	0	HPCLAS_TRAIN_N_000304	2	A_clean_core	-1.9195290894237742	0.12791408816682295	0
layer36_max	catboost	HPCLAS_TRAIN_N_000312	0	HPCLAS_TRAIN_N_000312	2	A_clean_core	-4.579345798503372	0.010157376253922625	0
layer36_max	catboost	HPCLAS_TRAIN_N_000320	0	HPCLAS_TRAIN_N_000320	2	A_clean_core	-4.517965175836921	0.010793434119502036	0
layer36_max	catboost	HPCLAS_TRAIN_N_000325	0	HPCLAS_TRAIN_N_000325	2	B_ambiguous	0.6576218454363696	0.6587259668587614	1
layer36_max	catboost	HPCLAS_TRAIN_N_000327	0	HPCLAS_TRAIN_N_000327	2	A_clean_core	-3.3369454547908517	0.03432526292916566	0
layer36_max	catboost	HPCLAS_TRAIN_N_000330	0	HPCLAS_TRAIN_N_000330	2	D_hard_sample	-2.1666349856415295	0.10278694656133802	0
layer36_max	catboost	HPCLAS_TRAIN_N_000332	0	HPCLAS_TRAIN_N_000332	2	D_hard_sample	-4.000581278007294	0.017975945895536864	0
layer36_max	catboost	HPCLAS_TRAIN_N_000334	0	HPCLAS_TRAIN_N_000334	2	A_clean_core	-4.833205318436915	0.007898086531419922	0
