mode	fold	contrast	ACC	MCC	Brier	log_loss	AP	AUROC
crossfit_Platt	0	S0-H0	0.0	-1.9458887790424484e-05	2.7260479845282737e-05	-0.00018558390058390217	-0.0004962821726840483	-0.00019101665368492782
crossfit_Platt	1	S0-H0	-0.0037842951750236553	-0.007569369845086049	0.00038333272534622764	-0.00039974211905469126	4.742722691564172e-05	6.58358369496348e-05
crossfit_Platt	2	S0-H0	0.0009465215333648302	0.002127839397683684	0.00024869480956849627	-0.0004768458229942596	5.168232373142789e-05	0.00026086488313059597
crossfit_Platt	3	S0-H0	-0.0014197823000473564	-0.002641813064012677	-0.0003211501440327502	-0.001886127261634729	0.00021190087283284864	0.00022837281583698577
crossfit_Platt	4	S0-H0	0.004259346900141958	0.008683279529438703	-0.0012120334488395917	-0.002480545079542512	0.0003046232864041265	0.00026819354479501456
raw	0	S0-H0	-0.001419110690633829	-0.0029867243997815374	0.002758323276407154	0.014675325581789661	-0.0004962821726840483	-0.00019101665368492782
raw	1	S0-H0	-0.002365184484389826	-0.0047696859382913015	0.0005758453434579341	0.0032743343313908213	4.742722691564172e-05	6.58358369496348e-05
raw	2	S0-H0	-0.0014197823000473564	-0.0028652248154311666	0.002571846376759633	0.01314263025282189	5.168232373142789e-05	0.00026086488313059597
raw	3	S0-H0	-0.0004732607666824151	-0.0008078128031820953	0.0017601379562112301	0.009658454835758445	0.00021190087283284864	0.00022837281583698577
raw	4	S0-H0	0.004732607666824373	0.009703360500236347	0.0034771383351888813	0.019498690581484013	0.0003046232864041265	0.00026819354479501456
