embedding_row	clean_id	original_id	split	label	cluster_id	sequence_length	completed	number_of_windows
0	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	existing_challenge	0	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	289	1	1
1	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	existing_challenge	0	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	75	1	1
2	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	existing_challenge	0	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	394	1	1
3	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	existing_challenge	0	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	166	1	1
4	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	existing_challenge	0	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	141	1	1
5	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	existing_challenge	0	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	118	1	1
6	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	existing_challenge	0	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	86	1	1
7	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	existing_challenge	0	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	542	1	1
8	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	existing_challenge	0	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	282	1	1
9	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	existing_challenge	0	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	265	1	1
10	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	existing_challenge	0	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	332	1	1
11	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	existing_challenge	0	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	442	1	1
12	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	existing_challenge	0	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	979	1	1
13	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	existing_challenge	0	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	107	1	1
14	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	existing_challenge	0	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	529	1	1
15	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	existing_challenge	0	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	158	1	1
16	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	existing_challenge	0	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	473	1	1
17	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	existing_challenge	0	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	185	1	1
18	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	existing_challenge	0	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	81	1	1
19	seq_c9cde34f2fe143ee6689ac6ab5ca4d79269b153757ad1533106a5e63677f45d4	seq_c9cde34f2fe143ee6689ac6ab5ca4d79269b153757ad1533106a5e63677f45d4	existing_challenge	0	seq_c9cde34f2fe143ee6689ac6ab5ca4d79269b153757ad1533106a5e63677f45d4	218	1	1
20	seq_36af7b0ac5462ac0fbab4c161014b4d809fa66b88329f3d72b933bb3a7003b43	seq_36af7b0ac5462ac0fbab4c161014b4d809fa66b88329f3d72b933bb3a7003b43	existing_challenge	0	seq_36af7b0ac5462ac0fbab4c161014b4d809fa66b88329f3d72b933bb3a7003b43	311	1	1
21	seq_7da4f77ea2ac2caee5affdc91e40995998a9a80776531c974cf36ecb67265db3	seq_7da4f77ea2ac2caee5affdc91e40995998a9a80776531c974cf36ecb67265db3	existing_challenge	0	seq_7da4f77ea2ac2caee5affdc91e40995998a9a80776531c974cf36ecb67265db3	312	1	1
22	seq_674e6d6f876fb97eeb57d84b64db940b31044ec78a41ad6cb4f28fc80701c705	seq_674e6d6f876fb97eeb57d84b64db940b31044ec78a41ad6cb4f28fc80701c705	existing_challenge	0	seq_674e6d6f876fb97eeb57d84b64db940b31044ec78a41ad6cb4f28fc80701c705	341	1	1
23	seq_720c211ee0cbd1beef11e02707607b6d960f6508037dc348373685c82d5ed362	seq_720c211ee0cbd1beef11e02707607b6d960f6508037dc348373685c82d5ed362	existing_challenge	0	seq_720c211ee0cbd1beef11e02707607b6d960f6508037dc348373685c82d5ed362	323	1	1
