clean_id	sequence_hash	oof_fold	embedding_row	sequence_sha256
HPCLAS_TRAIN_N_000001	97f8551bfa7457cda27d87f9504e9a7d1bf84c9801c18d9abf303f99b2f78f2c	4	7397	97f8551bfa7457cda27d87f9504e9a7d1bf84c9801c18d9abf303f99b2f78f2c
HPCLAS_TRAIN_N_000002	8a7318e16b64aebb4344b27b35495f00268811f494f42659774ddcff1dd47e26	4	7398	8a7318e16b64aebb4344b27b35495f00268811f494f42659774ddcff1dd47e26
HPCLAS_TRAIN_N_000003	fb3dd36268711c448f2c235f2d44efeac60e201d18e03467eb1354ec8ce8310e	2	7399	fb3dd36268711c448f2c235f2d44efeac60e201d18e03467eb1354ec8ce8310e
HPCLAS_TRAIN_N_000004	b25d89bde1f9aae68149e474ff044767a954974a41f7580eb11f4ec292ee9650	2	7400	b25d89bde1f9aae68149e474ff044767a954974a41f7580eb11f4ec292ee9650
HPCLAS_TRAIN_N_000005	09297d9788beff1a151bc475a7d5d48915b67853c14f8cb9c9ba7b6cb428ae06	3	7401	09297d9788beff1a151bc475a7d5d48915b67853c14f8cb9c9ba7b6cb428ae06
HPCLAS_TRAIN_N_000006	2ecb285044299068879af61acd7657fc6aa99a0e122571e599e859b277ed61b2	2	7402	2ecb285044299068879af61acd7657fc6aa99a0e122571e599e859b277ed61b2
HPCLAS_TRAIN_N_000007	651487801be053dc1594492a88351cc60b2ea51f3a5b09b6574b6fc119d5d376	2	7403	651487801be053dc1594492a88351cc60b2ea51f3a5b09b6574b6fc119d5d376
HPCLAS_TRAIN_N_000009	a61cfb8bd6a8caa18bc5b55f62d2f5986b572857c2d609076d6a3be9a7261688	3	7405	a61cfb8bd6a8caa18bc5b55f62d2f5986b572857c2d609076d6a3be9a7261688
HPCLAS_TRAIN_N_000010	dd397e462d1e74abe15d31adf1c74a72fd9b41d8510ae3d6803fe8ba65e6c85d	2	7406	dd397e462d1e74abe15d31adf1c74a72fd9b41d8510ae3d6803fe8ba65e6c85d
HPCLAS_TRAIN_N_000012	255dddfc3a9acfa15af5b23320e0d50e75e8a47d60b9f044a175caa45a4c9d98	1	7408	255dddfc3a9acfa15af5b23320e0d50e75e8a47d60b9f044a175caa45a4c9d98
HPCLAS_TRAIN_N_000013	ce19f4a8ab7f5f8e77d7361f27f0adca97b3dab95e9555e9bb866b52d51a1295	1	7409	ce19f4a8ab7f5f8e77d7361f27f0adca97b3dab95e9555e9bb866b52d51a1295
HPCLAS_TRAIN_N_000014	66a26f3ce510b4ccf2a2908176e32ee261a332560caa41e6d93937e99f0fcacf	4	7410	66a26f3ce510b4ccf2a2908176e32ee261a332560caa41e6d93937e99f0fcacf
HPCLAS_TRAIN_N_000015	155031f31bd3b2de1c9feebeb114f11ccaba9bb9672ba82f3cd30da48f582cce	2	7411	155031f31bd3b2de1c9feebeb114f11ccaba9bb9672ba82f3cd30da48f582cce
HPCLAS_TRAIN_N_000016	9f7ad208c6ff1e08eae955c7905a25ee10b48477581563b7295039989c90f8c4	0	7412	9f7ad208c6ff1e08eae955c7905a25ee10b48477581563b7295039989c90f8c4
HPCLAS_TRAIN_N_000017	57a64d25c27d770a32035754697e2f76bdec896d905f9785e52b3b6bb0522ac6	1	7413	57a64d25c27d770a32035754697e2f76bdec896d905f9785e52b3b6bb0522ac6
HPCLAS_TRAIN_N_000018	cc80548d286682d17aa3140eb08cc585d5debe46bd9021af7153f5fa4049aeb3	1	7414	cc80548d286682d17aa3140eb08cc585d5debe46bd9021af7153f5fa4049aeb3
HPCLAS_TRAIN_N_000019	a2555008c2e4159a0dc4320f3e783543c27558cc0285333933a760ed9b1b1f17	1	7415	a2555008c2e4159a0dc4320f3e783543c27558cc0285333933a760ed9b1b1f17
HPCLAS_TRAIN_N_000020	cc7f6204e4a84753937f064ed5d4b69e4fcd7edda548a6892a4e50490a4767e2	2	7416	cc7f6204e4a84753937f064ed5d4b69e4fcd7edda548a6892a4e50490a4767e2
